DateTime,AddedIPs,RemovedIPs
1552309657,0,1
1552313250,0,1
1552316843,0,1
1552324035,1,0
1552334850,1,0
1552338444,1,0
1552342055,1,0
1552345656,0,1
1552349296,0,2
1552352847,2,2
1552356452,0,1
1552360062,2,0
1552367251,2,1
1552370846,0,2
1552374455,1,0
1552378042,1,0
1552381649,1,2
1552385258,1,1
1552388857,1,1
1552392441,2,0
1552396049,1,2
1552399650,1,2
1552403250,1,1
1552406849,0,1
1552410458,0,1
1552414033,1,1
1552417663,2,0
1552421240,0,1
1552424858,1,1
1552428443,1,0
1552432040,1,0
1552435999,0,1
1552439244,0,1
1552442862,1,1
1552446467,1,0
1552450042,1,0
1552453642,0,1
1552457253,0,2
1552460854,1,1
1552464446,1,1
1552468046,1,0
1552475250,1,1
1552478837,1,0
1552482441,1,1
1552486058,2,1
1552489652,0,1
1552493255,1,1
1552496840,0,1
1552500425,2,1
1552504045,1,1
1552507642,0,1
1552511237,1,1
1552518453,1,0
1552522082,1,1
1552525659,2,0
1552529251,1,1
1552532868,1,2
1552536451,0,1
1552540055,1,1
1552543644,1,0
1552547246,1,1
1552550853,2,2
1552554431,1,2
1552558040,0,1
1552561631,1,1
1552568818,1,1
1552572449,1,0
1552576042,0,1
1552579647,1,1
1552586840,1,1
1552594047,0,1
1552597627,1,0
1552615654,1,2
1552619264,2,1
1552622897,2,1
1552626506,0,1
1552630174,1,1
1552637239,0,1
1552640836,1,1
1552644451,1,0
1552655374,1,3
1552658856,1,2
1552662444,2,0
1552666053,2,1
1552669649,1,0
1552673246,1,1
1552676828,1,2
1552680450,0,1
1552684038,0,1
1552687629,2,0
1552691244,1,0
1552694871,1,1
1552698436,1,1
1552702041,1,1
1552705649,0,1
1552709241,1,1
1552716441,0,1
1552720051,1,1
1552723622,1,0
1552727226,1,0
1552730834,0,1
1552734442,0,2
1552738028,2,1
1552741643,1,0
1552748830,1,0
1552752441,1,1
1552756047,0,1
1552759641,0,1
1552763219,0,1
1552766841,1,0
1552774034,1,0
1552777644,0,1
1552781736,1,1
1552785001,1,0
1552788455,0,1
1552792060,1,1
1552795630,1,0
1552820829,0,1
1552828044,1,1
1552831631,1,0
1552835240,1,0
1552838839,1,1
1552842440,0,1
1552846042,0,1
1552849644,1,0
1552853239,0,1
1552856831,1,1
1552860449,0,1
1552864047,2,0
1552878458,0,1
1552885641,1,0
1552896445,1,0
1552900044,1,1
1552907236,0,1
1552910848,1,1
1552914464,1,1
1552918044,1,0
1552928847,1,1
1552932444,1,0
1552936045,1,1
1552939648,0,1
1552946842,1,1
1552950456,1,1
1552954081,1,1
1552957643,1,1
1552961252,2,1
1552964862,2,2
1552968463,0,1
1552972046,1,2
1552975643,1,0
1552979274,1,1
1552982847,2,2
1552986451,1,0
1552990044,0,3
1552993660,1,2
1552997227,2,1
1553004447,2,0
1553008056,1,1
1553011639,0,1
1553015238,0,1
1553018836,1,1
1553036854,1,0
1553040482,0,1
1553044049,1,0
1553047647,1,1
1553051261,1,0
1553054841,1,1
1553058456,0,1
1553062034,1,1
1553065642,1,0
1553069268,0,1
1553072868,1,1
1553076457,0,1
1553080064,1,0
1553087265,1,0
1553094441,0,1
1553098052,0,1
1553101633,1,1
1553105239,1,0
1553108856,1,1
1553112458,1,0
1553116050,0,1
1553127074,1,1
1553130730,1,0
1553134090,1,0
1553137778,0,1
1553141252,0,2
1553144839,0,1
1553148460,1,0
1553159245,1,0
1553162837,1,1
1553166454,1,0
1553170052,0,2
1553173653,1,1
1553177241,1,0
1553180842,1,1
1553184461,0,1
1553188049,1,1
1553195241,1,1
1553206038,0,1
1553216843,1,0
1553224049,1,0
1553227656,2,0
1553231237,1,1
1553234848,1,1
1553238454,0,2
1553242036,2,2
1553245648,3,1
1553249255,2,0
1553252859,1,2
1553256424,1,1
1553260043,0,3
1553263642,1,0
1553267245,1,1
1553274449,0,1
1553278220,2,0
1553281888,0,1
1553285243,0,2
1553288842,1,0
1553292443,1,1
1553296047,1,0
1553303232,0,1
1553306849,1,1
1553310442,1,1
1553314044,1,1
1553317638,1,1
1553321244,0,1
1553324838,1,0
1553335649,0,1
1553339243,1,0
1553342832,1,1
1553346438,1,0
1553350033,1,1
1553353637,0,1
1553357217,0,1
1553371629,1,0
1553375233,1,1
1553378822,1,1
1553382435,1,0
1553389643,0,1
1553393238,4,2
1553396852,2,1
1553404050,0,2
1553407639,1,2
1553414827,1,1
1553436435,1,0
1553440039,1,1
1553447224,1,1
1553450844,0,1
1553479652,0,1
1553486844,1,0
1553490447,1,0
1553494049,2,0
1553497635,1,2
1553501251,1,1
1553504851,1,1
1553508433,0,1
1553512046,0,1
1553515643,1,0
1553522852,1,1
1553526440,1,0
1553530043,0,1
1553533645,0,1
1553537255,1,2
1553540850,1,0
1553544442,1,0
1553548043,0,1
1553551633,0,1
1553555237,1,0
1553558880,1,0
1553566052,0,2
1553569644,1,0
1553573237,1,0
1553576844,1,1
1553584039,0,1
1553587650,1,1
1553591239,1,0
1553602050,1,1
1553605634,1,1
1553609229,1,0
1553612849,1,1
1553616441,0,1
1553620033,0,1
1553623644,0,1
1553638051,1,0
1553641643,0,1
1553652447,1,0
1553659640,1,2
1553663230,1,1
1553670445,1,1
1553674048,1,0
1553677637,0,1
1553681249,0,1
1553684829,1,0
1553688458,1,0
1553692030,2,1
1553699245,0,1
1553702837,0,1
1553706437,0,1
1553710042,1,0
1553717238,1,0
1553720845,1,0
1553724441,0,1
1553728042,0,1
1553735238,1,0
1553738837,1,0
1553742439,0,1
1553749640,0,1
1553753240,1,0
1553756852,0,1
1553760440,2,1
1553764040,1,0
1553767639,1,1
1553771236,0,1
1553774834,1,1
1553778455,0,1
1553782047,1,0
1553785629,1,0
1553789245,0,2
1553792841,0,1
1553807249,1,1
1553814447,1,0
1553821655,0,1
1553825263,1,1
