DateTime,AddedIPs,RemovedIPs
1551150512,0,25
1551186512,1,0
1551200931,0,1
1551222543,1,0
1551229722,18,0
1551233316,0,1
1551236933,1,0
1551240516,0,25
1551244124,1,0
1551247725,1,0
1551251325,0,2
1551254915,3,1
1551258508,1,0
1551262137,1,1
1551265714,1,1
1551269311,1,1
1551272940,1,1
1551280121,1,1
1551283695,1,1
1551294512,0,1
1551301734,1,0
1551305302,1,1
1551308921,1,0
1551312552,11,1
1551316120,1,0
1551323344,2,16
1551326945,2,1
1551330522,1,1
1551334120,1,2
1551337738,1,2
1551344912,0,1
1551348505,1,1
1551352132,1,0
1551355739,1,1
1551359315,1,1
1551362908,1,0
1551366518,1,1
1551370139,2,1
1551377321,1,2
1551380934,0,1
1551384518,0,1
1551391716,1,1
1551395326,1,0
1551399368,6,1
1551402602,0,1
1551406238,0,1
1551409776,1,23
1551420614,0,1
1551427907,1,0
1551431315,1,1
1551434929,1,0
1551438642,0,1
1551442125,1,1
1551445710,1,0
1551452929,0,1
1551456497,0,1
1551460113,1,0
1551463737,1,1
1551467322,1,0
1551470915,0,1
1551474519,0,1
1551481730,1,1
1551485334,1,0
1551488907,13,0
1551492540,0,1
1551496115,1,1
1551499732,0,22
1551506920,1,0
1551510514,0,1
1551514111,1,1
1551517728,1,0
1551521314,0,1
1551524912,1,1
1551528501,1,0
1551535718,0,1
1551539327,1,1
1551542914,1,0
1551550126,1,1
1551553727,1,1
1551560924,1,0
1551564527,0,1
1551568114,1,1
1551571747,34,1
1551575281,2,0
1551578889,1,1
1551582488,0,17
1551586116,1,1
1551589687,2,1
1551593297,1,1
1551596891,2,1
1551600502,1,1
1551604155,1,2
1551607684,0,1
1551611279,2,0
1551614891,1,2
1551622092,2,1
1551629308,0,2
1551632876,0,1
1551636494,2,0
1551640096,0,1
1551643681,2,1
1551647279,2,0
1551650880,2,2
1551654493,1,2
1551658133,1,1
1551661682,9,1
1551665309,0,1
1551668877,1,1
1551672510,1,6
1551676098,2,1
1551679676,0,1
1551683286,1,1
1551686891,2,1
1551690509,1,1
1551694097,1,1
1551701264,0,2
1551704897,1,2
1551708490,2,1
1551715700,0,1
1551722871,1,0
1551726484,1,0
1551733689,1,0
1551737287,1,1
1551740889,1,1
1551744770,23,1
1551748077,2,1
1551751699,1,1
1551755301,0,16
1551758917,0,3
1551762493,1,1
1551766300,1,0
1551769873,1,0
1551773307,1,1
1551776891,0,2
1551784097,1,0
1551787703,0,1
1551791380,1,0
1551794920,2,0
1551798501,1,2
1551802084,2,0
1551805687,0,1
1551809313,0,1
1551812891,0,1
1551816490,1,0
1551823720,2,1
1551827303,1,1
1551830944,1,1
1551834468,9,0
1551838112,0,2
1551841707,0,1
1551845322,1,25
1551848897,1,1
1551852513,1,0
1551856096,0,1
1551859706,0,1
1551866905,1,0
1551870499,1,0
1551874099,1,1
1551877719,1,1
1551881294,1,1
1551888495,2,0
1551892140,0,1
1551895691,0,1
1551906511,0,1
1551910105,1,0
1551913700,1,0
1551917354,16,0
1551920924,1,1
1551924518,1,1
1551928110,1,12
1551931718,2,1
1551935309,1,1
1551942506,0,2
1551949700,1,0
1551953298,0,1
1551960516,1,0
1551964094,0,1
1551967707,1,0
1551971324,0,1
1551974902,0,1
1551982105,1,0
1551989299,1,1
1551996511,1,1
1552000096,1,0
1552003742,1,1
1552007310,16,1
1552010922,0,1
1552014493,0,1
1552018097,0,22
1552032520,1,0
1552054115,1,0
1552068516,0,1
1552086516,1,1
1552090387,7,0
1552097298,1,1
1552100930,0,13
1552104503,0,1
1552136910,1,0
1552144117,1,0
1552147753,1,1
1552151319,0,1
1552172909,0,1
1552176530,1,0
1552180118,5,0
1552187305,1,0
1552190917,0,17
1552201705,0,1
1552223315,3,0
1552234112,1,0
1552237711,0,3
1552241306,1,0
1552244897,0,1
1552252097,0,1
1552255717,1,0
1552266501,16,0
1552273709,1,0
1552277308,0,18
1552284755,0,1
1552295307,0,1
1552302502,1,0
1552316913,1,0
1552320562,0,1
1552349360,27,0
1552356525,0,1
1552360118,0,6
1552399712,1,0
1552406925,1,0
1552414092,0,1
1552436067,15,0
1552439301,2,0
1552442932,1,0
1552446529,1,6
1552450113,1,2
1552453704,1,1
1552457326,2,1
