DateTime,Entries,UniqueIPs
1553906894,17104,17104
1553908837,17101,17101
1553910730,17106,17106
1553912655,17126,17126
1553914727,16813,16813
1553916752,16765,16765
1553918669,16736,16736
1553920580,16728,16728
1553922511,16683,16683
1553924411,16580,16580
1553926348,16555,16555
1553928270,16498,16498
1553930191,16461,16461
1553932100,16393,16393
1553934036,16392,16392
1553935951,16356,16356
1553937861,16277,16277
1553939768,16192,16192
1553941690,16171,16171
1553944578,16148,16148
1553946503,16180,16180
1553948430,16185,16185
1553950344,16245,16245
1553952254,16224,16224
1553954192,16422,16422
1553956113,16585,16585
1553958029,16327,16327
1553959975,16325,16325
1553961881,16258,16258
1553963781,17594,17594
1553965719,20365,20365
1553967623,20204,20204
1553969568,20045,20045
1553971465,19884,19884
1553973380,20264,20264
1553975327,20163,20163
1553977214,20036,20036
1553979134,19895,19895
1553981065,19722,19722
1553982993,19712,19712
1553984903,19531,19531
1553986869,19388,19388
1553988748,19260,19260
1553990784,19181,19181
1553992604,19226,19226
1553994776,19224,19224
1553996661,19167,19167
1553998573,19122,19122
1554000504,19045,19045
1554002440,19019,19019
1554004342,19002,19002
1554006288,18997,18997
1554008181,19089,19089
1554010095,19080,19080
1554012053,19090,19090
1554014013,19093,19093
1554015875,19120,19120
1554017772,19176,19176
1554019716,19210,19210
1554021622,19218,19218
1554023535,19365,19365
1554025476,19443,19443
1554027395,19420,19420
1554029301,19400,19400
1554031233,19336,19336
1554033177,19233,19233
1554035054,19153,19153
1554036997,19076,19076
1554038903,19060,19060
1554041803,18665,18665
1554043710,18573,18573
1554045627,18488,18488
1554047537,18422,18422
1554049453,18393,18393
1554051399,14005,14005
1554053298,14033,14033
1554055243,18461,18461
1554057138,22473,22473
1554059330,25031,25031
1554061214,25569,25569
1554063171,25535,25535
1554065049,25513,25513
1554067003,25503,25503
1554068896,25350,25350
1554070812,25440,25440
1554074002,25496,25496
1554075865,25470,25470
1554077792,26086,26086
1554079696,27411,27411
1554081619,28530,28530
1554083569,30009,30009
1554085453,31111,31111
1554087371,32260,32260
1554089223,33412,33412
1554092172,35190,35190
1554094106,36043,36043
1554096032,36896,36896
1554097931,37768,37768
1554099851,38215,38215
1554101797,39000,39000
1554103696,39673,39673
1554105636,39642,39642
1554107565,39596,39596
1554109470,39601,39601
1554111371,39418,39418
1554113286,39450,39450
1554115244,39546,39546
1554117150,39574,39574
1554119310,39591,39591
1554121243,39626,39626
1554123159,39641,39641
1554125084,39610,39610
1554126999,39576,39576
1554128933,39557,39557
1554130839,39560,39560
1554132764,40211,40211
1554134683,40834,40834
1554136615,42672,42672
1554138521,44775,44775
1554140427,47223,47223
1554142334,43519,43519
1554144285,41242,41242
1554146187,39253,39253
1554148099,39920,39920
1554150018,40590,40590
1554151825,41519,41519
1554153879,42125,42125
1554155770,42752,42752
1554157696,43263,43263
1554159634,43890,43890
1554163700,43849,43849
1554165609,42849,42849
1554167563,42093,42093
1554169448,41187,41187
1554171384,40298,40298
1554173320,39300,39300
1554175225,38668,38668
1554177165,37641,37641
1554179081,36968,36968
1554180972,36486,36486
1554182891,35881,35881
1554184877,35233,35233
1554186737,34975,34975
1554188921,34475,34475
1554190821,34382,34382
1554192736,34384,34384
1554194678,34383,34383
1554196582,34378,34378
1554198492,34387,34387
1554200437,34249,34249
1554202335,34432,34432
1554204254,35390,35390
1554206201,35583,35583
1554208118,35566,35566
1554210030,35589,35589
1554211963,35736,35736
1554213878,35899,35899
1554215774,36299,36299
1554217724,37211,37211
1554220789,39255,39255
1554222751,38922,38922
1554224681,37556,37556
1554226571,35336,35336
1554228507,34579,34579
1554230441,33677,33677
1554232339,33009,33009
1554234279,32381,32381
1554236174,31814,31814
1554238098,30691,30691
1554240044,30183,30183
1554241949,29563,29563
1554245339,28585,28585
1554247217,28124,28124
1554249148,28250,28250
1554251053,28225,28225
1554252997,28236,28236
1554254902,28304,28304
1554257803,28346,28346
1554259706,28364,28364
1554261610,28349,28349
1554263561,28390,28390
1554265467,28385,28385
1554267371,28373,28373
1554269325,28375,28375
1554271503,28416,28416
1554273374,28385,28385
1554275543,28263,28263
1554277452,28267,28267
1554279407,28308,28308
1554281290,28453,28453
1554283246,28600,28600
1554285145,28735,28735
1554287050,28771,28771
1554288975,28265,28265
1554290911,26931,26931
1554292827,26886,26886
1554294745,26883,26883
1554296688,26875,26875
1554298572,26785,26785
