DateTime,AddedIPs,RemovedIPs
1553908837,11,16
1553910730,10,8
1553912655,11,3
1553914727,6,28
1553916753,4,11
1553918683,6,12
1553920580,5,7
1553922512,8,5
1553924411,2,46
1553926362,10,6
1553928271,3,10
1553930192,8,10
1553932101,4,5
1553934037,2,7
1553935952,6,10
1553937861,7,12
1553939769,9,15
1553941690,13,10
1553944578,10,23
1553946504,22,11
1553948431,12,12
1553950344,16,16
1553952254,13,62
1553954193,135,22
1553956114,97,10
1553958033,2,129
1553959975,11,7
1553961882,8,9
1553963782,427,7
1553965720,848,4
1553967630,8,11
1553969568,3,20
1553971466,6,13
1553973380,53,4
1553975327,10,7
1553977215,4,14
1553979135,5,28
1553981066,5,18
1553982994,46,14
1553984903,6,33
1553986879,8,8
1553988749,10,8
1553990785,24,8
1553992605,41,4
1553994776,10,12
1553996661,4,17
1553998574,8,9
1554000506,6,18
1554002441,6,5
1554004343,2,7
1554006289,10,3
1554008181,38,4
1554010096,3,7
1554012070,5,7
1554014014,4,12
1554015876,3,7
1554017772,5,6
1554019717,3,8
1554021623,7,3
1554023536,127,6
1554025476,14,5
1554027396,8,3
1554029302,11,12
1554031233,6,10
1554033178,5,13
1554035054,4,11
1554036997,9,15
1554038903,30,13
1554040833,20,153
1554043008,6,57
1554044919,3,7
1554046822,4,9
1554048734,3,7
1554050674,7,773
1554052583,9,522
1554054493,275,6
1554056298,1189,1
1554058115,119,4
1554060047,182,38
1554061958,7,9
1554063875,9,7
1554065780,8,5
1554067729,11,30
1554069631,9,10
1554071533,15,1
1554074002,31,10
1554075866,8,6
1554077792,287,40
1554079696,615,24
1554081619,448,5
1554083570,434,7
1554085453,370,7
1554087372,332,5
1554089224,365,3
1554092173,693,8
1554094107,204,2
1554096032,390,1
1554097932,425,2
1554099851,171,5
1554101798,142,18
1554103697,187,2
1554105647,16,1
1554107566,2,7
1554109473,7,4
1554111372,2,85
1554113291,26,4
1554115244,19,6
1554117151,4,4
1554119311,11,8
1554121259,6,4
1554123159,5,10
1554125085,1,12
1554127000,6,19
1554128934,8,5
1554131784,19,5
1554133695,9,4
1554135612,112,5
1554137560,710,3
1554139451,741,6
1554141389,476,429
1554143288,369,510
1554145241,337,273
1554147221,224,138
1554149078,280,9
1554151826,575,15
1554153880,272,14
1554155770,257,11
1554157697,264,10
1554159642,315,16
1554163701,120,174
1554165610,15,532
1554167564,3,465
1554169449,13,361
1554171385,5,318
1554173320,8,390
1554175226,16,258
1554177166,3,539
1554179081,7,299
1554180972,12,185
1554182892,9,344
1554184891,10,354
1554186738,20,98
1554188922,4,141
1554190822,10,39
1554192737,11,3
1554194679,7,3
1554196583,11,7
1554198494,16,2
1554200438,12,43
1554202335,22,7
1554204254,141,7
1554206201,30,7
1554208119,11,11
1554210040,10,2
1554211964,6,4
1554213884,3,8
1554215774,7,12
1554217725,260,14
1554220791,968,15
1554222752,53,405
1554224682,30,558
1554226572,9,854
1554228508,17,329
1554230442,10,401
1554232339,10,269
1554234279,4,241
1554236175,14,282
1554238099,18,524
1554240045,26,246
1554241950,7,247
1554245340,18,483
1554247218,12,268
1554249148,6,2
1554251053,5,12
1554252998,8,10
1554254903,13,7
1554256851,11,8
1554258743,9,9
1554260682,4,12
1554262579,11,12
1554264491,17,7
1554266439,19,13
1554268333,5,11
1554270267,9,7
1554272202,8,7
1554274094,5,42
1554276008,4,19
1554277963,7,22
1554279849,4,6
1554282076,5,12
1554283945,1,12
1554285882,34,3
1554287771,7,16
1554289704,10,162
1554291630,9,288
1554293537,20,6
1554295733,9,14
1554297619,7,8
1554299567,22,2
1554301454,19,8
1554303411,7,7
1554305312,70,139
1554307234,45,9
1554309156,8,10
1554311088,22,7
1554312970,18,6
1554314917,9,9
1554316829,9,7
1554318762,9,6
1554320678,9,2
1554322584,170,11
1554324737,704,11
1554326652,5,17
1554328582,12,7
1554330487,37,2
1554332446,27,5
1554334361,36,4
1554336271,12,1
1554338418,7,4
1554340333,4,2
1554342279,24,10
1554344174,34,8
1554346093,7,9
1554348038,66,2
1554349933,21,9
1554351860,3,8
1554353789,8,10
1554355694,10,5
1554357657,12,5
1554359560,10,8
1554361454,11,25
1554363394,6,4
1554365312,9,10
1554367210,19,19
1554369143,29,13
1554371078,32,12
1554372971,4,15
1554374910,3,14
1554376825,4,23
1554378729,5,5
1554380678,10,10
1554382566,16,6
1554384489,51,12
1554387642,49,30
1554389552,19,25
1554391481,21,686
1554393388,9,545
1554395293,11,6
1554398216,15,13
1554400109,14,8
1554402032,12,10
1554403928,32,12
1554405883,20,5
1554407787,144,10
1554409687,270,312
1554412583,34,675
1554414505,16,12
1554416409,13,35
1554418329,17,48
1554420254,7,29
1554422169,4,21
1554424097,9,3
1554426051,42,14
1554427939,84,8
1554430106,11,28
1554432014,15,31
1554434199,14,61
1554436132,8,47
1554438032,4,5
