DateTime,AddedIPs,RemovedIPs
1553755499,0,1
1553761245,0,1
1553763150,0,2
1553765054,1,5
1553766998,2,1
1553768897,1,2
1553770873,0,1
1553772765,4,0
1553774698,0,1
1553776571,0,2
1553778508,1,0
1553780453,0,4
1553782337,4,1
1553784264,2,0
1553786421,2,0
1553788331,3,1
1553790262,1,0
1553792198,2,0
1553794101,2,0
1553796059,0,2
1553797956,3,1
1553799878,0,1
1553801799,0,1
1553803720,0,1
1553805612,1,1
1553807545,3,0
1553809474,1,0
1553812640,1,2
1553816432,1,1
1553818369,1,3
1553822194,0,2
1553824096,0,1
1553826056,0,1
1553827948,2,0
1553829853,1,0
1553835676,1,1
1553837567,1,2
1553839458,1,1
1553847138,1,0
1553849085,0,1
1553850978,0,1
1553852898,3,2
1553854839,1,1
1553858655,0,2
1553860600,5,1
1553865389,1,1
1553867307,1,1
1553869211,0,2
1553871167,1,2
1553873059,0,3
1553875154,0,2
1553877150,0,1
1553879074,0,3
1553880990,2,1
1553884809,4,2
1553888689,2,0
1553890585,1,0
1553892499,1,1
1553894436,2,3
1553896330,0,1
1553898252,1,0
1553900192,2,0
1553902091,1,0
1553904065,1,3
1553905969,1,0
1553907863,1,0
1553909769,0,1
1553911740,1,0
1553913626,0,2
1553915548,2,1
1553917492,1,1
1553921547,4,1
1553923463,1,1
1553925394,1,0
1553927292,0,1
1553930194,3,0
1553932103,1,0
1553934039,2,1
1553939771,0,2
1553941692,0,1
1553944580,1,1
1553946506,2,1
1553948434,0,4
1553950346,0,1
1553952256,1,0
1553954195,3,1
1553956116,0,1
1553958070,1,0
1553959977,3,0
1553961884,2,0
1553965722,0,1
1553967637,2,1
1553969570,2,1
1553971468,1,2
1553973382,1,0
1553975329,1,2
1553977217,0,1
1553979137,4,1
1553981068,0,2
1553984905,1,3
1553986933,2,1
1553988751,3,1
1553990787,0,1
1553992607,1,1
1553994778,1,1
1553996663,1,1
1554000509,2,1
1554002443,1,2
1554004345,2,0
1554008183,1,4
1554010098,1,1
1554012109,1,1
1554015877,2,2
1554017774,0,2
1554019719,0,1
1554021625,0,1
1554023537,2,0
1554029304,0,1
1554031235,1,0
1554033180,0,2
1554035056,1,0
1554038905,1,1
1554041805,1,3
1554043712,1,1
1554045629,1,1
1554047539,2,4
1554049454,1,0
1554053300,1,1
1554055257,0,1
1554057138,2,2
1554059331,3,1
1554061215,0,1
1554063171,1,1
1554065051,1,4
1554070813,1,0
1554074004,1,4
1554075868,3,2
1554077794,2,1
1554079698,2,0
1554081621,0,1
1554083572,1,0
1554085455,2,0
1554087374,1,3
1554089226,0,1
1554091279,1,2
1554095066,1,1
1554097217,2,1
1554099137,1,1
1554101084,2,0
1554102977,2,2
1554106837,1,0
1554108732,0,1
1554110895,1,1
1554114748,3,0
1554116695,1,0
1554118580,1,0
1554120512,1,1
1554122428,1,0
1554124355,1,1
1554126268,1,1
1554130093,0,1
1554132024,1,1
1554133938,1,2
1554135872,0,1
1554137767,2,0
1554139700,1,1
1554142576,3,0
1554144493,3,3
1554146431,1,2
1554148326,2,1
1554151828,0,1
1554155774,0,1
1554157699,2,1
1554159679,1,1
1554163704,0,3
1554165627,0,2
1554167566,0,1
1554169452,1,1
1554171387,3,3
1554173323,1,2
1554175232,1,0
1554177167,2,1
1554179083,4,0
1554180975,1,1
1554182894,1,0
1554184939,1,2
1554186740,1,1
1554188924,0,3
1554190824,1,0
1554192740,1,1
1554196586,0,1
1554198496,1,1
1554200440,1,2
1554202338,2,2
1554204257,2,1
1554206203,1,1
1554208122,1,1
1554210062,3,1
1554211965,2,1
1554215775,1,0
1554217726,2,0
1554220794,0,2
1554222754,1,0
1554224684,3,2
1554226574,1,2
1554228511,2,2
1554230444,0,2
