DateTime,AddedIPs,RemovedIPs
1550534452,1,0
1550536365,1,0
1550542345,2,0
1550548096,1,0
1550550019,1,0
1550551942,1,0
1550553863,2,0
1550555792,1,0
1550559654,2,0
1550565390,2,0
1550586985,1,0
1550595058,1,0
1550600912,1,0
1550604742,1,0
1550610526,1,0
1550614384,1,1
1550616288,2,0
1550622266,0,1
1550626344,1,0
1550628296,0,1
1550632369,1,0
1550636194,0,1
1550638106,0,1
1550640027,0,1
1550645796,1,1
1550648050,1,0
1550652506,0,1
1550654463,2,0
1550658258,0,2
1550660193,1,0
1550664073,1,1
1550665947,2,0
1550680130,0,1
1550689937,0,1
1550695696,0,1
1550701476,0,3
1550703382,0,1
1550718774,0,1
1550726419,0,1
1550732181,0,1
1550734365,0,1
1550736295,0,2
1550740098,0,4
1550743947,0,2
1550745874,0,1
1550747801,0,1
1550749698,0,1
1550770106,1,3
1550775876,1,0
1550777769,1,0
1550785457,1,0
1550789306,1,0
1550792480,2,0
1550796188,1,0
1550800099,2,0
1550802031,3,0
1550803931,2,0
1550805892,1,0
1550815717,1,0
1550817613,1,0
1550825582,1,0
1550827473,1,0
1550831304,3,0
1550835166,1,0
1550838994,1,0
1550841153,1,0
1550852662,1,0
1550862284,0,1
1550873812,1,0
1550877620,0,1
1550879538,0,1
1550881460,1,0
1550891325,0,1
1550902815,1,0
1550908595,0,1
1550918198,0,2
1550924169,1,0
1550926120,2,1
1550928011,0,2
1550947944,0,1
1550949869,0,1
1550953689,0,1
1550955633,0,1
1550961399,0,2
1550965240,0,1
1550967166,0,2
1550969049,0,1
1550971217,0,1
1550973150,0,1
1550983975,0,1
1550988117,0,1
1550990249,0,1
1550992114,0,2
1550999801,0,1
1551005570,0,1
1551011330,0,3
1551116899,1,1
1551118731,1,0
1551121140,2,0
1551123137,2,0
1551129171,1,0
1551131063,1,0
1551132987,1,0
1551140667,1,0
1551146513,1,0
1551152181,1,0
1551154351,2,0
1551160106,2,0
1551163946,4,0
1551173564,1,0
1551181461,1,0
1551185301,1,0
1551187256,2,0
1551189131,1,0
1551191089,1,0
1551193276,1,0
1551204968,1,0
1551208831,0,1
1551220148,0,1
1551225881,0,1
1551227778,0,1
1551233540,1,1
1551235470,1,0
1551237373,0,1
1551239298,1,1
1551241235,1,1
1551245062,0,1
1551246968,0,1
1551249143,0,2
1551252971,1,0
1551260652,1,0
1551262587,1,0
1551268573,0,1
1551272668,0,2
1551276511,0,1
1551278412,0,1
1551299816,0,1
1551301705,0,1
1551315145,0,1
1551317071,0,1
1551319002,0,1
1551322971,0,1
1551324998,0,2
1551326903,0,3
1551328812,0,2
1551336487,0,1
1551340369,0,1
1551346096,0,1
1551348064,0,2
1551372736,1,1
1551376589,2,0
1551378491,1,0
1551382847,2,0
1551384746,1,0
1551386655,1,0
1551395298,2,0
1551397229,1,0
1551402977,1,0
1551405161,1,0
1551412908,1,0
1551414768,1,0
1551418584,1,0
1551420497,3,0
1551422442,1,0
1551426257,2,0
1551428443,1,0
1551432262,2,0
1551441910,1,0
1551445694,1,0
1551447615,1,0
1551451448,1,0
1551464585,1,0
1551472372,1,0
1551484104,0,1
1551489867,0,1
1551493729,1,0
1551495754,0,1
1551499457,0,1
1551501620,2,0
1551511460,1,1
1551513383,1,0
1551527303,0,1
1551529246,0,1
1551537169,1,0
1551539112,0,1
1551551104,1,0
1551552976,1,0
1551557317,0,1
1551563078,0,2
1551588040,0,1
1551597906,0,1
1551601701,0,1
1551603707,0,2
1551609645,0,1
1551613470,0,1
1551615401,0,1
1551617318,0,1
1551621139,0,1
1551623065,0,1
1551625002,0,3
1551626897,0,1
1551630764,0,2
1551632675,0,1
1551634588,0,1
1551636536,0,3
1551638440,0,1
1551640515,0,1
1551642652,0,1
1551646592,0,1
1551718096,1,2
1551724093,2,0
1551727934,3,0
1551729993,2,0
1551735888,1,0
1551739711,3,0
1551741616,2,0
1551743549,1,0
1551745486,2,0
1551754099,2,0
1551756042,1,0
1551757943,1,0
1551759862,1,0
1551763688,1,0
1551765638,1,0
1551767554,1,0
1551771634,1,0
1551773544,1,0
1551791772,1,0
1551801378,1,0
1551803292,1,0
1551815069,1,1
1551816982,0,1
1551824653,0,1
1551828487,1,0
1551830444,0,1
1551841931,1,0
1551843877,0,1
1551852495,1,0
1551856334,1,0
1551860173,0,1
1551862093,0,1
1551875064,0,1
1551880937,0,1
1551882754,2,0
1551907701,1,0
1551910883,0,1
1551916954,0,1
1551918989,0,1
1551926652,0,2
1551934358,0,2
1551942055,0,1
1551953533,0,1
1551963159,0,2
1551968932,0,5
1551970908,0,3
1551972769,0,1
1551974675,0,2
1551976588,1,1
1551980421,1,0
1551982343,2,2
1551984282,2,0
1551988106,1,0
1551990045,3,0
1551993863,1,0
1551995777,3,0
1551997713,1,0
1552001547,1,0
1552005368,1,0
1552007293,0,2
1552013049,1,0
1552014988,2,0
1552016905,2,0
1552024568,1,0
1552032265,1,0
1552036105,1,0
1552039944,1,0
1552045704,1,0
1552053369,1,0
1552065144,1,0
1552067056,0,1
1552074730,0,1
1552082441,1,2
1552084354,0,1
1552088173,0,1
1552092026,0,1
1552093929,1,1
1552101630,0,1
1552103546,0,1
1552107372,1,0
1552112183,1,0
1552114115,1,0
1552116034,1,0
1552117942,1,0
1552130458,0,1
1552132360,0,1
1552134260,1,0
1552141946,0,1
1552147754,1,0
1552151535,0,1
1552159246,0,1
1552164974,1,0
1552166909,1,1
1552172931,0,1
1552184475,0,1
1552186360,0,1
1552195946,0,2
1552197884,0,1
1552201723,0,2
1552203622,0,2
1552205564,0,1
1552209377,0,1
1552219005,0,1
1552220910,0,1
1552229533,0,1
1552231468,0,1
1552233391,0,2
1552237246,0,1
1552241081,0,1
1552242973,0,2
1552248738,0,1
1552250667,0,1
1552341640,1,2
1552408589,1,0
1552429935,0,1
1552484910,1,0
1552494489,1,1
1552571300,0,1
1552578989,0,1
1552655325,1,0
1552740496,0,1
1552743133,1,0
1552829067,0,1
1552890029,1,0
1553094740,0,1
1553101254,1,0
1553186890,0,1
1553656831,1,0
1553709403,2,0
1553714184,2,0
1553719935,1,0
1553732174,1,0
1553742099,1,0
1553743948,0,1
1553745911,1,0
1553796093,1,1
1553797957,1,0
1553799879,0,1
1553801799,0,1
1553818370,0,1
1553826057,1,0
1553829854,1,0
1553831778,1,0
1553860099,0,1
1553863950,1,0
1553865850,1,0
1553877372,1,0
1553883138,0,2
1553885085,1,0
1553891053,1,0
1553912180,0,1
1553914092,1,0
1553916029,0,1
1553917931,0,1
1553923689,0,1
1553948901,1,1
1553950890,0,1
1553962337,0,1
1553971931,1,1
1553975769,1,1
1553977696,0,1
1553983487,1,0
1553996925,1,0
1554000734,0,1
1554012525,1,0
1554034587,0,1
1554036754,1,0
1554042502,1,0
1554048264,1,0
1554059785,0,1
1554061960,0,1
1554075869,1,0
1554081637,0,1
1554095068,1,0
1554099138,0,1
1554128184,0,1
1554130094,0,1
1554132025,0,1
1554133940,0,1
1554143687,1,0
1554147612,2,0
1554150021,1,0
1554153884,1,0
1554157701,1,0
1554165150,1,0
1554168994,1,0
1554180729,1,1
1554198013,0,1
1554209550,1,0
1554213403,1,0
1554220796,2,0
1554230445,0,1
1554234283,0,1
1554236178,1,1
1554240048,0,1
1554251056,0,1
1554260686,1,0
1554266442,0,1
1554295736,0,1
1554299581,0,2
1554303414,1,0
1554305315,0,1
1554308195,1,1
1554312039,3,0
1554313951,1,0
1554321705,1,0
1554323573,0,1
1554346644,0,1
1554360302,1,0
1554371796,1,0
1554385233,1,2
1554390981,1,0
1554392910,1,0
1554394836,1,1
1554396759,0,1
1554398685,0,2
1554400598,0,2
1554408528,0,1
1554418333,1,0
1554432018,1,0
1554445699,1,0
1554447768,0,1
1554457221,1,0
1554459185,0,1
1554470686,0,1
1554476571,0,1
1554478601,0,1
1554480503,0,1
1554490926,1,0
1554492933,1,0
1554502613,2,0
1554504771,1,1
1554508578,3,0
1554513394,1,0
1554517460,0,1
1554527111,1,0
1554533060,0,1
1554542666,0,1
1554546511,2,0
1554573372,1,0
1554577273,0,1
1554586818,1,0
1554588756,0,2
1554590684,0,1
1554594496,0,1
1554596430,0,1
1554600257,0,1
1554613693,0,1
1554619453,2,0
1554632915,0,2
1554640836,0,1
1554642744,1,0
1554650433,1,0
1554658089,1,0
1554660971,0,1
1554674457,0,1
1554682112,0,1
1554685950,4,0
1554707087,0,2
1554729404,0,1
1554731341,1,0
1554733250,0,1
1554737097,0,1
1554741163,1,0
1554744989,1,1
1554752676,2,0
1554756505,1,0
1554760356,2,0
1554770430,2,0
1554772335,1,4
1554793480,1,0
1554797321,1,0
1554812659,1,0
1554818464,1,1
1554822271,1,0
1554824185,1,0
1554828024,0,1
1554831875,0,1
1554833794,1,0
1554837637,2,0
1554839778,1,1
1554841690,1,0
1554843659,1,1
1554847476,0,1
1554855161,0,1
1554857051,0,1
1554859008,1,1
1554860897,2,0
1554866655,1,0
1554880126,0,1
1554884220,0,1
