DateTime,Entries,UniqueIPs
1553914093,2224,2224
1553916029,2226,2226
1553917931,2227,2227
1553919866,2230,2230
1553921788,2234,2234
1553923690,2147,2147
1553925686,2153,2153
1553927554,2154,2154
1553929718,2144,2144
1553931619,2128,2128
1553933544,2116,2116
1553935476,2102,2102
1553937401,2100,2100
1553939308,2080,2080
1553941226,2062,2062
1553943133,2058,2058
1553945079,2050,2050
1553946990,2051,2051
1553948901,2037,2037
1553950900,2037,2037
1553952759,2019,2019
1553954696,2363,2363
1553956605,2384,2384
1553958540,2438,2438
1553960417,2478,2478
1553962337,2479,2479
1553964281,2756,2756
1553966173,2756,2756
1553968091,2757,2757
1553970015,2755,2755
1553971931,2757,2757
1553973884,3639,3639
1553975770,3641,3641
1553977697,3640,3640
1553979679,3639,3639
1553981559,3810,3810
1553983505,3811,3811
1553985383,3799,3799
1553987300,3800,3800
1553989244,3791,3791
1553991173,3788,3788
1553993063,3778,3778
1553994977,3784,3784
1553996926,3785,3785
1553998831,3781,3781
1554000736,3781,3781
1554002906,3781,3781
1554004934,3780,3780
1554006742,3932,3932
1554008692,3957,3957
1554010587,3954,3954
1554012527,4089,4089
1554014436,4064,4064
1554016339,4027,4027
1554018273,3987,3987
1554020183,3944,3944
1554022102,3900,3900
1554024030,4049,4049
1554025950,4006,4006
1554027857,3961,3961
1554029800,3914,3914
1554031709,3880,3880
1554033716,3835,3835
1554035570,3797,3797
1554037470,3772,3772
1554039627,3727,3727
1554041536,3370,3370
1554043457,3309,3309
1554045382,3261,3261
1554047316,3241,3241
1554049227,3238,3238
1554051141,2970,2970
1554053053,2967,2967
1554054990,4962,4962
1554056898,5457,5457
1554058896,5256,5256
1554060766,5034,5034
1554063173,5033,5033
1554065053,5035,5035
1554067006,5036,5036
1554068898,4894,4894
1554070815,5052,5052
1554074007,5084,5084
1554075871,5084,5084
1554077797,5082,5082
1554079701,5083,5083
1554081639,5080,5080
1554083575,5084,5084
1554085458,5084,5084
1554087377,5085,5085
1554089229,5319,5319
1554091306,5625,5625
1554093215,5952,5952
1554095070,6563,6563
1554097220,6545,6545
1554099140,6517,6517
1554101087,7960,7960
1554102980,9285,9285
1554104910,9476,9476
1554106840,9493,9493
1554108735,9524,9524
1554110898,9402,9402
