DateTime,Entries,UniqueIPs
1553910734,2395,2395
1553912659,2385,2385
1553914731,2380,2380
1553916756,2382,2382
1553918701,2383,2383
1553920584,2386,2386
1553922514,2393,2393
1553924414,2303,2303
1553926365,2313,2313
1553928274,2308,2308
1553930196,2293,2293
1553932105,2284,2284
1553934042,2269,2269
1553935956,2257,2257
1553937865,2252,2252
1553939774,2233,2233
1553941695,2222,2222
1553944582,2209,2209
1553946508,2213,2213
1553948436,2195,2195
1553950349,2198,2198
1553952259,2186,2186
1553954197,2408,2408
1553956119,2537,2537
1553958103,2584,2584
1553959979,2640,2640
1553961887,2637,2637
1553963786,2920,2920
1553965724,2915,2915
1553967640,2916,2916
1553969573,2916,2916
1553971471,2919,2919
1553973384,3798,3798
1553975332,3800,3800
1553977219,3805,3805
1553979140,3749,3749
1553981070,3712,3712
1553982998,3865,3865
1553984908,3834,3834
1553986993,3833,3833
1553989245,3825,3825
1553991173,3825,3825
1553993063,3849,3849
1553994978,3857,3857
1553996927,3860,3860
1553998832,3858,3858
1554000736,3857,3857
1554002906,3858,3858
1554004954,3858,3858
1554006999,4036,4036
1554008907,4033,4033
1554010816,4126,4126
1554012746,4167,4167
1554014671,4139,4139
1554016587,4096,4096
1554018496,4058,4058
1554020429,4013,4013
1554022345,3973,3973
1554024254,4118,4118
1554026184,4073,4073
1554028094,4025,4025
1554030027,3980,3980
1554031963,3943,3943
1554033879,3905,3905
1554035768,3867,3867
1554037713,3840,3840
1554039628,3797,3797
1554041536,3436,3436
1554043457,3377,3377
1554045382,3329,3329
1554047317,3309,3309
1554049228,3305,3305
1554051141,3037,3037
1554053054,3034,3034
1554054991,5031,5031
1554056899,5524,5524
1554058908,5321,5321
1554060767,5099,5099
1554063174,5095,5095
1554065054,5098,5098
1554067007,5100,5100
1554068899,4959,4959
1554070816,5118,5118
1554074008,5150,5150
1554075872,5150,5150
1554077798,5142,5142
1554079701,5111,5111
1554081639,5106,5106
1554083575,5108,5108
1554085459,5107,5107
1554087377,5108,5108
1554089230,5343,5343
1554091311,5649,5649
1554093216,5982,5982
1554095071,6591,6591
1554097220,6570,6570
1554099140,6542,6542
1554101088,7989,7989
1554102981,9310,9310
1554104911,9502,9502
1554106841,9519,9519
1554108736,9552,9552
1554110899,9430,9430
1554112867,9502,9502
1554114752,9662,9662
1554116700,10014,10014
1554118584,10016,10016
1554120516,10018,10018
1554122432,10023,10023
