DateTime,Entries,UniqueIPs
1553913183,5409,5409
1553915101,5394,5394
1553916993,5364,5364
1553918914,5361,5361
1553920822,5379,5379
1553922747,5372,5372
1553924697,5386,5386
1553926579,5385,5385
1553928508,5364,5364
1553930438,5346,5346
1553932334,5320,5320
1553934265,5299,5299
1553936173,5308,5308
1553938123,5247,5247
1553940111,5216,5216
1553941974,5197,5197
1553943884,5206,5206
1553945797,5234,5234
1553947963,5269,5269
1553949863,5333,5333
1553951788,5372,5372
1553953710,5386,5386
1553955619,5441,5441
1553957543,5422,5422
1553959461,5374,5374
1553961402,5316,5316
1553963294,5310,5310
1553965465,7031,7031
1553967381,6904,6904
1553969186,6782,6782
1553971010,6661,6661
1553972898,6504,6504
1553974837,6396,6396
1553976769,6280,6280
1553978659,6210,6210
1553980596,6089,6089
1553982508,5977,5977
1553984432,5869,5869
1553986342,5725,5725
1553988287,5626,5626
1553990176,5513,5513
1553992367,5516,5516
1553994278,5525,5525
1553996202,5512,5512
1553998113,5492,5492
1554000040,5469,5469
1554002080,5451,5451
1554004097,5440,5440
1554006295,5422,5422
1554008188,5404,5404
1554010111,5407,5407
1554012189,5416,5416
1554014022,5426,5426
1554015884,5477,5477
1554017779,5568,5568
1554019724,5626,5626
1554021653,5674,5674
1554023543,5674,5674
1554025483,5744,5744
1554027403,5753,5753
1554029310,5767,5767
1554031241,5735,5735
1554033187,5665,5665
1554035063,5611,5611
1554037007,5574,5574
1554038913,5526,5526
1554040938,5468,5468
1554043017,5407,5407
1554044926,5375,5375
1554046829,5352,5352
1554048741,5338,5338
1554050680,4471,4471
1554052589,3438,3438
1554054500,3713,3713
1554056306,7111,7111
1554058124,9541,9541
1554060062,11619,11619
1554061974,11613,11613
1554063892,11601,11601
1554065788,11591,11591
1554067747,11580,11580
1554069758,11552,11552
1554071770,11532,11532
1554074016,11532,11532
1554075915,11517,11517
1554077804,11503,11503
1554079707,11512,11512
1554081647,11539,11539
1554083581,11599,11599
1554085465,11628,11628
1554087383,11687,11687
1554089236,11735,11735
1554091373,11813,11813
1554093232,11894,11894
1554095078,11923,11923
1554097227,11939,11939
1554099146,11932,11932
1554101095,11924,11924
1554102988,11909,11909
1554104917,11830,11830
1554106848,11762,11762
1554108744,11730,11730
1554110905,11693,11693
1554112884,11641,11641
1554114758,11603,11603
1554116706,11618,11618
1554118590,11616,11616
1554120521,11635,11635
1554122438,11657,11657
1554124366,11650,11650
1554126278,11666,11666
1554128192,11682,11682
1554130102,11672,11672
1554132034,11669,11669
1554133949,11679,11679
1554135882,11693,11693
1554137778,11673,11673
1554139710,11628,11628
1554141792,10471,10471
1554143696,7053,7053
1554145735,4119,4119
1554147621,3429,3429
1554150039,3460,3460
1554151848,3517,3517
1554153893,3553,3553
