DateTime,AddedIPs,RemovedIPs
1552429474,1,1
1552433305,0,2
1552444834,0,2
1552446734,0,1
1552456355,1,1
1552458257,0,1
1552460193,2,0
1552469793,1,0
1552471720,0,1
1552473614,1,0
1552479376,0,1
1552481322,0,1
1552483239,1,0
1552487056,0,1
1552489005,1,0
1552494764,0,2
1552519014,7,0
1552542294,1,1
1552546122,0,1
1552559838,0,1
1552575170,0,1
1552577086,0,1
1552584781,1,0
1552598196,1,0
1552602026,1,1
1552605888,0,6
1552607816,0,1
1552609739,1,0
1552615727,0,2
1552619545,2,0
1552621485,0,1
1552636923,1,0
1552644530,1,0
1552652432,1,0
1552656271,1,0
1552668030,1,0
1552670196,0,1
1552675935,1,0
1552690061,0,1
1552705700,0,2
1552719141,1,0
1552722982,0,1
1552724919,1,0
1552730915,0,1
1552740504,1,1
1552742665,0,1
1552746525,1,0
1552750579,1,0
1552762338,0,1
1552772894,0,3
1552776735,2,0
1552779228,1,0
1552792602,2,0
1552804121,0,1
1552808188,1,0
1552812038,1,1
1552819733,1,0
1552821633,2,1
1552823537,2,0
1552827388,1,0
1552829304,1,0
1552835319,0,1
1552837218,0,1
1552839150,1,0
1552848737,1,0
1552850677,1,0
1552860545,0,1
1552864341,1,0
1552866354,0,1
1552873979,1,0
1552877803,0,1
1552879703,0,1
1552893377,0,1
1552897237,0,1
1552907789,0,2
1552917379,0,1
1552931299,3,4
1552935301,0,1
1552937296,0,1
1552939379,1,0
1552946599,1,0
1552948575,1,1
1552950529,1,0
1552960101,0,1
1552965863,0,1
1552971737,1,0
1552975507,1,0
1552985300,0,1
1552989148,1,0
1552991061,1,0
1552993007,0,1
1552994909,1,0
1552996962,1,0
1553000701,1,0
1553006907,1,0
1553008845,1,0
1553018579,0,3
1553026352,1,0
1553028272,2,0
1553034033,0,1
1553037867,1,1
1553041704,0,1
1553045557,1,0
1553057075,0,1
1553060904,0,1
1553072496,1,0
1553076293,1,1
1553078171,0,1
1553080343,2,0
1553086102,0,1
1553088020,1,0
1553089955,0,1
1553091862,1,1
1553095720,1,0
1553103398,2,0
1553107215,1,0
1553111091,1,0
1553113000,1,0
1553115932,0,2
1553125495,0,1
1553127403,1,0
1553133176,2,1
1553135085,0,1
1553138905,1,0
1553141093,0,1
1553146814,1,1
1553148746,1,0
1553158410,0,1
1553162255,2,1
1553168910,1,0
1553174680,0,1
1553182577,1,1
1553186660,1,0
1553193580,2,0
1553197469,1,0
1553199403,0,1
1553207066,1,0
1553209005,0,1
1553210917,1,0
1553213066,0,4
1553218815,0,1
1553222679,1,1
1553224589,1,0
1553228437,0,1
1553234184,2,1
1553236122,0,1
1553242098,1,0
1553244031,1,0
1553257487,0,1
1553261335,1,2
1553273322,0,1
1553279300,0,1
1553281294,0,1
1553285092,1,0
