DateTime,Entries,UniqueIPs
1553916995,3850,3850
1553918935,3849,3849
1553920823,3868,3868
1553922752,3883,3883
1553924699,3896,3896
1553926580,3889,3889
1553928510,3877,3877
1553930440,3871,3871
1553932336,3860,3860
1553934268,3839,3839
1553936174,3851,3851
1553938125,3814,3814
1553940157,3813,3813
1553941976,3803,3803
1553943886,3816,3816
1553945803,3872,3872
1553947964,3912,3912
1553949865,3980,3980
1553951790,4033,4033
1553953711,4068,4068
1553955621,4124,4124
1553957545,4137,4137
1553959463,4104,4104
1553961405,4033,4033
1553963296,3967,3967
1553965468,3823,3823
1553967383,3703,3703
1553969188,3569,3569
1553971012,3429,3429
1553972899,3279,3279
1553974839,3164,3164
1553976771,3038,3038
1553978661,2953,2953
1553980597,2842,2842
1553982510,2712,2712
1553984434,2589,2589
1553986344,2454,2454
1553988289,2348,2348
1553990181,2238,2238
1553992369,2227,2227
1553994308,2235,2235
1553996207,2220,2220
1553998115,2216,2216
1554000042,2203,2203
1554002081,2191,2191
1554004099,2176,2176
1554006297,2167,2167
1554008190,2157,2157
1554010113,2147,2147
1554012190,2167,2167
1554014023,2152,2152
1554015885,2228,2228
1554017781,2310,2310
1554019726,2385,2385
1554021655,2443,2443
1554023546,2464,2464
1554025485,2529,2529
1554027406,2550,2550
1554029311,2565,2565
1554031243,2530,2530
1554033188,2462,2462
1554035065,2424,2424
1554037009,2386,2386
1554038914,2326,2326
1554040948,2269,2269
1554043019,2208,2208
1554044928,2172,2172
1554046831,2158,2158
1554048743,2151,2151
1554050682,2136,2136
1554052591,2134,2134
1554054502,2123,2123
1554056327,2119,2119
1554058339,2109,2109
1554060254,2095,2095
1554062540,2085,2085
1554064364,2078,2078
1554066312,2064,2064
1554068191,2051,2051
1554070095,2038,2038
1554072072,2028,2028
1554074018,2037,2037
1554075918,2030,2030
1554077809,2049,2049
1554079709,2067,2067
1554081652,2084,2084
1554083583,2136,2136
1554085467,2171,2171
1554087385,2241,2241
1554089238,2292,2292
1554091375,2381,2381
1554093259,2442,2442
1554095080,2476,2476
1554097229,2505,2505
1554099147,2502,2502
1554101097,2490,2490
1554102990,2456,2456
