DateTime,Entries,UniqueIPs
1553913635,9094,9094
1553915556,9023,9023
1553917501,8994,8994
1553919650,8969,8969
1553921554,8935,8935
1553923471,8925,8925
1553925416,8893,8893
1553927299,8855,8855
1553929363,8837,8837
1553931165,8798,8798
1553933083,8788,8788
1553935004,8775,8775
1553936910,8746,8746
1553938844,8748,8748
1553940768,8729,8729
1553942685,8715,8715
1553944591,8697,8697
1553946515,8688,8688
1553948444,8680,8680
1553950356,8669,8669
1553952280,8656,8656
1553954204,8641,8641
1553956128,8622,8622
1553958175,8307,8307
1553959988,8345,8345
1553961897,8338,8338
1553963797,8735,8735
1553965734,9858,9858
1553967648,9838,9838
1553969581,9832,9832
1553971480,9830,9830
1553973393,9820,9820
1553975342,9832,9832
1553977228,9811,9811
1553979166,9805,9805
1553981078,9800,9800
1553983007,9776,9776
1553984918,9748,9748
1553987069,9731,9731
1553989253,9714,9714
1553991198,9705,9705
1553993071,9698,9698
1553994988,9689,9689
1553996936,9682,9682
1553998844,9672,9672
1554000745,9632,9632
1554002915,9626,9626
1554005006,9638,9638
1554007010,9630,9630
1554008914,9626,9626
1554010845,9616,9616
1554012769,9595,9595
1554014680,9599,9599
1554016595,9589,9589
1554018504,9581,9581
1554020444,9569,9569
1554022353,9559,9559
1554024264,9576,9576
1554026194,9590,9590
1554028103,9586,9586
1554030120,9562,9562
1554031973,9541,9541
1554033906,9527,9527
1554035791,9515,9515
1554037721,9537,9537
1554039635,9580,9580
1554041544,9622,9622
1554043466,9620,9620
1554045390,9593,9593
1554047325,9555,9555
1554049236,9540,9540
1554051151,8025,8025
1554053061,7952,7952
1554054997,8691,8691
1554056908,9644,9644
1554058981,9618,9618
1554060975,9608,9608
1554063181,9586,9586
1554065079,9576,9576
1554067017,9561,9561
1554068906,9568,9568
1554070824,9577,9577
1554074024,9626,9626
1554075924,9629,9629
1554077818,10368,10368
1554079715,11883,11883
1554081659,13136,13136
1554083591,14687,14687
1554085473,15856,15856
1554087391,17072,17072
1554089245,18154,18154
1554091395,19401,19401
1554093323,20155,20155
1554095325,20950,20950
1554097235,22003,22003
1554099152,22818,22818
1554101151,22817,22817
1554102996,22826,22826
1554104925,22837,22837
1554106868,22844,22844
1554108768,22847,22847
1554110916,22847,22847
1554112892,22813,22813
1554114767,22814,22814
1554116716,22811,22811
1554118599,22821,22821
1554120530,22830,22830
1554122446,22841,22841
1554124374,22811,22811
1554126295,22771,22771
1554128201,22728,22728
1554130110,22723,22723
1554132042,22744,22744
1554133960,22741,22741
1554135890,23287,23287
1554137787,25025,25025
1554139719,26631,26631
1554141875,26028,26028
1554143705,25797,25797
1554145743,26027,26027
1554147645,26085,26085
1554150049,26167,26167
1554151860,26246,26246
1554153902,26276,26276
1554155827,26277,26277
1554157725,26299,26299
1554159790,26261,26261
1554163995,25705,25705
1554165870,24435,24435
1554167805,23390,23390
1554169732,22134,22134
1554171624,21057,21057
1554173549,19922,19922
1554175473,19030,19030
1554177377,17958,17958
1554179552,17194,17194
1554181719,16561,16561
1554183625,15632,15632
1554185573,14913,14913
1554187463,14909,14909
1554189412,14908,14908
1554191303,14915,14915
1554193259,14897,14897
1554195174,14901,14901
1554197083,14885,14885
1554199017,14874,14874
1554200907,14869,14869
1554202948,14874,14874
1554204777,14866,14866
1554206697,14857,14857
1554208590,14934,14934
1554210554,14999,14999
1554212477,15045,15045
1554214352,15109,15109
1554216318,15626,15626
1554218193,17302,17302
1554220997,20760,20760
1554223242,21315,21315
1554225157,19888,19888
1554227078,18574,18574
1554229002,18276,18276
1554231042,17966,17966
1554232849,17863,17863
1554234748,17854,17854
1554236664,17902,17902
1554238605,17951,17951
1554240499,17970,17970
1554242520,18003,18003
1554245362,18085,18085
1554247238,18193,18193
1554249168,18237,18237
1554251072,18261,18261
1554253017,18261,18261
1554254923,18320,18320
1554257116,18391,18391
1554258994,18392,18392
1554260912,18398,18398
1554262844,18437,18437
1554264745,18441,18441
1554266663,18489,18489
1554268633,18467,18467
1554270506,18459,18459
1554272439,18475,18475
1554274380,18466,18466
1554276291,18480,18480
1554278193,18498,18498
1554280134,18505,18505
1554282302,18538,18538
1554284205,18535,18535
1554286115,18527,18527
1554288067,18506,18506
1554289953,18516,18516
