DateTime,Entries,UniqueIPs
1553913636,5144,5144
1553915558,5160,5160
1553917502,5139,5139
1553919652,5110,5110
1553921555,5088,5088
1553923472,5082,5082
1553925417,5063,5063
1553927301,5058,5058
1553929365,5056,5056
1553931167,5030,5030
1553933084,5021,5021
1553935005,5012,5012
1553936911,4999,4999
1553938846,4976,4976
1553940770,4955,4955
1553942686,4953,4953
1553944593,4935,4935
1553946517,4907,4907
1553948446,4889,4889
1553950357,4880,4880
1553952282,4872,4872
1553954206,4861,4861
1553956130,4844,4844
1553958177,4824,4824
1553959990,4818,4818
1553961899,4798,4798
1553963798,5227,5227
1553965735,6353,6353
1553967650,6343,6343
1553969583,6360,6360
1553971482,6349,6349
1553973395,6332,6332
1553975343,6322,6322
1553977230,6310,6310
1553979168,6317,6317
1553981080,6321,6321
1553983008,6336,6336
1553984920,6334,6334
1553987073,6346,6346
1553989255,6364,6364
1553991200,6343,6343
1553993073,6343,6343
1553994990,6353,6353
1553996952,6361,6361
1553998846,6374,6374
1554000746,6354,6354
1554002916,6342,6342
1554005009,6338,6338
1554007011,6338,6338
1554008916,6332,6332
1554010847,6324,6324
1554012770,6339,6339
1554014681,6331,6331
1554016597,6319,6319
1554018505,6303,6303
1554020445,6305,6305
1554022355,6328,6328
1554024266,6337,6337
1554026197,6323,6323
1554028104,6310,6310
1554030158,6303,6303
1554031975,6309,6309
1554033908,6318,6318
1554035792,6322,6322
1554037723,6318,6318
1554039637,6333,6333
1554041546,6344,6344
1554043468,6340,6340
1554045392,6333,6333
1554047327,6344,6344
1554049238,6341,6341
1554051153,4823,4823
1554053062,4767,4767
1554054999,5534,5534
1554056910,6485,6485
1554058984,6457,6457
1554060977,6429,6429
1554063183,6430,6430
1554065081,6438,6438
1554067020,6402,6402
1554068908,6392,6392
1554070826,6374,6374
1554074026,6394,6394
1554075926,6375,6375
1554077821,6366,6366
1554079717,6294,6294
1554081661,6279,6279
1554083593,6304,6304
1554085475,6294,6294
1554087393,6310,6310
1554089247,6302,6302
1554091396,6295,6295
1554093338,6281,6281
1554095327,6274,6274
1554097237,6285,6285
1554099154,6276,6276
1554101153,6257,6257
1554102999,6259,6259
1554104927,6263,6263
1554106871,6262,6262
1554108769,6271,6271
1554110918,6252,6252
1554112894,6238,6238
1554114769,6240,6240
1554116718,6241,6241
1554118600,6247,6247
1554120531,6245,6245
1554122448,6237,6237
1554124376,6230,6230
1554126296,6213,6213
1554128202,6201,6201
1554130112,6181,6181
1554132044,6213,6213
1554133977,6226,6226
1554135892,6233,6233
1554137789,6229,6229
1554139721,6225,6225
1554141877,5113,5113
1554143707,4504,4504
1554145744,4504,4504
1554147647,4519,4519
1554150050,4541,4541
1554151863,4553,4553
1554153905,4585,4585
1554155829,4606,4606
1554157727,4622,4622
1554159792,4587,4587
1554163996,4554,4554
1554165884,4556,4556
1554167807,4552,4552
1554169735,4542,4542
1554171626,4546,4546
1554173551,4557,4557
1554175475,4555,4555
1554177379,4575,4575
1554179554,4566,4566
1554181720,4569,4569
1554183627,4562,4562
1554185575,4560,4560
1554187465,4567,4567
1554189414,4591,4591
1554191304,4607,4607
1554193261,4603,4603
1554195176,4599,4599
1554197084,4602,4602
1554199019,4607,4607
1554200909,4599,4599
1554202959,4613,4613
1554204779,4621,4621
1554206713,4613,4613
1554208592,4895,4895
1554210556,5147,5147
1554212479,5331,5331
1554214358,5509,5509
1554216320,6322,6322
1554218195,8613,8613
1554220999,13076,13076
1554223244,15641,15641
1554225159,16015,16015
1554227080,16012,16012
1554229005,16017,16017
1554231044,16029,16029
1554232851,16025,16025
1554234750,16021,16021
1554236666,16020,16020
1554238607,16022,16022
1554240502,16026,16026
1554242566,16024,16024
1554245364,16022,16022
1554247240,16020,16020
1554249169,16022,16022
1554251074,16031,16031
1554253019,16030,16030
1554254925,16029,16029
1554257156,16017,16017
1554258996,16024,16024
1554260914,16023,16023
1554262846,16019,16019
1554264747,16008,16008
1554266664,16016,16016
1554268635,16019,16019
1554270508,16023,16023
1554272441,16017,16017
1554274403,16014,16014
1554276294,16009,16009
1554278195,16004,16004
1554280136,16012,16012
1554282306,16009,16009
1554284207,16005,16005
1554286117,15998,15998
1554288069,15994,15994
1554289955,15993,15993
1554291895,15993,15993
1554293809,15955,15955
1554295769,15842,15842
1554297645,15767,15767
1554299613,15687,15687
1554301509,15616,15616
1554303433,15534,15534
1554305334,15457,15457
1554307391,15731,15731
1554309388,16162,16162
1554311591,16596,16596
1554313487,16964,16964
1554315419,16966,16966
1554317311,16961,16961
1554319240,16972,16972
1554321151,16984,16984
1554323096,17255,17255
1554325023,18002,18002
1554326933,18011,18011
1554329008,18031,18031
1554330990,18033,18033
1554332966,18039,18039
1554334816,18050,18050
1554336742,18047,18047
1554338685,18045,18045
1554340584,18047,18047
1554342529,18051,18051
1554344441,18078,18078
1554346338,18076,18076
1554348263,18068,18068
1554350203,18077,18077
1554352093,18078,18078
1554354190,18076,18076
1554356181,18079,18079
1554358125,18077,18077
1554360019,18074,18074
1554361967,18088,18088
1554363877,18078,18078
1554366059,18076,18076
1554368038,18073,18073
1554369881,18078,18078
1554371828,18082,18082
1554373726,17656,17656
1554375803,17171,17171
1554377787,16890,16890
1554379596,16893,16893
1554381432,16897,16897
1554383339,16546,16546
1554385244,16066,16066
1554387165,16022,16022
1554389089,16030,16030
1554391011,15349,15349
1554392917,14227,14227
1554394844,14229,14229
1554396767,14233,14233
1554398692,14245,14245
1554400605,14254,14254
1554402808,14251,14251
1554404676,14251,14251
1554406594,14256,14256
1554408536,14234,14234
1554410446,13288,13288
1554412358,13165,13165
1554414277,13176,13176
1554416224,13190,13190
1554418359,13197,13197
1554420277,13197,13197
1554422200,13211,13211
1554424220,13232,13232
1554426211,13233,13233
1554428223,13238,13238
1554430129,13232,13232
1554432044,13217,13217
1554434234,13221,13221
1554436156,13217,13217
1554438055,13216,13216
1554439963,13216,13216
1554441902,13215,13215
1554443804,13216,13216
1554445718,12056,12056
1554447798,10257,10257
1554450045,8797,8797
1554451988,8086,8086
1554453898,7362,7362
1554456038,6664,6664
1554457950,5350,5350
1554459904,4390,4390
1554461808,4312,4312
1554463710,4300,4300
1554465803,4296,4296
1554467789,4279,4279
1554469734,4291,4291
1554471879,4277,4277
1554473788,4284,4284
1554475747,4264,4264
1554477638,4272,4272
1554479536,4288,4288
1554481497,4272,4272
1554483792,4250,4250
1554485786,4262,4262
1554487711,4246,4246
1554489635,4239,4239
1554491540,4239,4239
1554493477,4225,4225
1554495386,4235,4235
1554497325,4223,4223
1554499237,4203,4203
1554501174,4196,4196
1554503087,4172,4172
1554505039,4156,4156
1554506909,4186,4186
1554508979,4185,4185
1554511273,4196,4196
1554513170,4192,4192
1554515058,4185,4185
1554517014,4181,4181
1554518910,4182,4182
1554520814,4187,4187
1554522766,4158,4158
1554524659,4157,4157
1554526586,4141,4141
1554528513,4140,4140
1554530563,4136,4136
1554532853,4135,4135
1554534741,4148,4148
1554536663,4119,4119
1554538582,4130,4130
1554540762,4195,4195
1554542676,4185,4185
1554544587,4181,4181
1554546517,4167,4167
1554548543,4167,4167
1554550347,4176,4176
1554552291,4185,4185
1554554189,4197,4197
1554556145,4183,4183
1554558042,4187,4187
1554559946,4196,4196
1554561885,4199,4199
1554563807,4193,4193
1554565724,4173,4173
1554567634,4165,4165
1554569539,4166,4166
1554571468,4153,4153
1554573379,4156,4156
1554575324,4169,4169
1554577370,4194,4194
1554579398,4220,4220
1554581304,4289,4289
1554583214,4352,4352
1554585162,4393,4393
1554587062,4416,4416
1554588975,4452,4452
1554590896,4481,4481
1554592842,4504,4504
1554594736,4523,4523
1554596654,4534,4534
1554598590,4549,4549
1554600508,4595,4595
1554602527,4612,4612
1554604358,4637,4637
1554606179,4648,4648
1554607988,4643,4643
1554609910,4672,4672
1554611787,4684,4684
1554613720,4713,4713
1554615642,4727,4727
1554617555,4741,4741
1554619465,4752,4752
1554621403,4754,4754
1554623313,4773,4773
1554625246,4778,4778
1554627148,4792,4792
1554629073,4810,4810
1554631027,4813,4813
1554632927,4828,4828
1554634903,4842,4842
1554636748,4841,4841
1554638577,4852,4852
1554640594,4888,4888
1554642500,4903,4903
1554644438,4894,4894
1554646351,4908,4908
1554648279,4934,4934
1554650182,4942,4942
1554652111,4949,4949
1554654039,5702,5702
1554655942,5823,5823
1554657887,5833,5833
1554659798,5832,5832
1554661968,5831,5831
1554663901,5819,5819
1554665788,5826,5826
1554667861,5804,5804
1554669861,5797,5797
1554671801,5772,5772
1554673725,5766,5766
1554675659,5750,5750
1554677541,5736,5736
1554679475,5728,5728
1554681383,5729,5729
1554683299,5726,5726
1554686180,5700,5700
1554688354,5720,5720
1554690270,5704,5704
1554692213,5700,5700
1554694125,5694,5694
1554696194,5680,5680
1554698005,5671,5671
1554699908,5643,5643
1554701796,5640,5640
1554703767,5627,5627
1554705658,5630,5630
1554707555,5639,5639
1554709573,5591,5591
1554711453,5587,5587
1554713336,5577,5577
1554715261,5584,5584
1554717177,5586,5586
1554719140,5594,5594
1554720997,5590,5590
1554722913,5589,5589
1554725158,5583,5583
1554727008,5594,5594
1554728953,5578,5578
1554730865,5580,5580
1554732818,5595,5595
1554734756,5580,5580
1554736894,5606,5606
1554738761,5650,5650
1554740693,4833,4833
1554742608,4839,4839
1554744500,4864,4864
1554746582,4885,4885
1554748600,4890,4890
1554750536,4919,4919
1554752420,4930,4930
1554754345,4965,4965
1554756273,5003,5003
1554758484,5023,5023
1554760382,5031,5031
1554762280,5067,5067
1554764613,5083,5083
1554766616,5081,5081
1554768545,5105,5105
1554770452,5117,5117
1554772357,5133,5133
1554774307,5124,5124
1554776231,5129,5129
1554778124,5141,5141
1554780035,5150,5150
1554781972,5169,5169
1554783900,5176,5176
1554785800,5176,5176
1554787776,5173,5173
1554789797,5181,5181
1554792050,5171,5171
1554793958,5179,5179
1554795899,5170,5170
1554797807,5187,5187
1554799714,5181,5181
1554801652,5193,5193
1554803574,5203,5203
1554805473,5197,5197
1554807427,5211,5211
1554809325,5211,5211
1554811424,5214,5214
1554813399,5202,5202
1554815316,5219,5219
1554817238,5229,5229
1554819167,5206,5206
1554821078,5090,5090
1554822999,5053,5053
1554824915,5031,5031
1554826874,5023,5023
1554828757,5008,5008
1554830681,4997,4997
1554832603,5003,5003
1554834504,4987,4987
1554836576,4968,4968
1554838384,4949,4949
1554840331,4928,4928
1554842306,4899,4899
1554844162,4904,4904
1554846028,4892,4892
1554847977,4878,4878
1554849985,4870,4870
1554851831,4871,4871
1554853727,4888,4888
1554855669,4890,4890
1554857585,4889,4889
1554859502,4866,4866
1554861394,5004,5004
1554863328,5825,5825
1554865407,7109,7109
1554867649,9032,9032
1554869557,10524,10524
1554871499,12313,12313
1554873400,12317,12317
1554875572,12296,12296
1554877482,12298,12298
1554879444,12298,12298
1554881305,12290,12290
1554883504,12291,12291
1554885398,12285,12285
1554887363,12281,12281
1554889231,12285,12285
1554891155,12284,12284
