DateTime,AddedIPs,RemovedIPs
1553909325,20,18
1553911405,17,14
1553913639,17,17
1553915561,6,14
1553917506,14,14
1553919655,2,20
1553921558,1,16
1553923475,4,16
1553925420,1,8
1553927304,13,5
1553929372,4,1
1553931386,3,3
1553933325,4,1
1553935214,6,4
1553937144,5,16
1553939082,4,14
1553940979,5,15
1553942907,5,9
1553944836,5,12
1553946737,4,9
1553948673,10,20
1553950570,11,14
1553952503,4,11
1553954502,2,9
1553956609,5,11
1553958546,2,10
1553960422,4,5
1553962342,4,13
1553964286,4,15
1553966178,9,19
1553968096,7,17
1553970023,2,31
1553971936,3,15
1553973889,14,10
1553975774,8,16
1553977702,5,22
1553979749,4,17
1553981563,1,11
1553983519,3,16
1553985388,9,17
1553987305,10,13
1553989258,9,15
1553991207,41,12
1553993076,31,18
1553994993,6,28
1553996955,2,25
1553998849,13,26
1554000749,5,20
1554002919,3,12
1554005093,2,10
1554007014,5,3
1554008918,8,5
1554010859,2,4
1554012773,1,8
1554014684,8,5
1554016600,2,4
1554018508,2,4
1554020449,5,3
1554022358,7,3
1554024268,16,8
1554026200,6,1
1554028122,11,9
1554030167,10,10
1554031977,12,5
1554033912,11,3
1554035795,15,7
1554037726,6,10
1554039640,10,7
1554041549,3,2
1554043471,1,4
1554045395,3,4
1554047329,4,4
1554049241,5,4
1554051156,2,6
1554053065,15,5
1554055002,4,2
1554056919,8,6
1554058987,8,6
1554060987,11,19
1554063186,10,6
1554065083,8,3
1554067028,8,6
1554068911,6,2
1554070829,9,4
1554074028,19,17
1554075929,3,13
1554077825,1,40
1554079720,2,23
1554081664,3,8
1554083601,2,4
1554085478,4,8
1554087396,13,3
1554089250,3,3
1554091403,0,3
1554093381,2,3
1554095330,3,8
1554097240,2,1
1554099156,2,1
1554101158,7,8
1554103002,5,2
1554104930,7,1
1554106876,2,8
1554108773,1,6
1554110921,2,14
1554112898,3,10
1554114772,3,13
1554116723,2,13
1554118604,6,13
1554120534,5,15
1554122451,4,15
1554124379,2,8
1554126300,4,12
1554128206,3,2
1554130115,2,3
1554132047,3,3
1554133980,4,4
1554135895,1,4
1554137792,2,4
1554139740,5,10
1554141882,9,5
1554143711,11,6
1554145748,15,9
1554147653,2,12
1554150054,12,10
1554151866,4,11
1554153909,6,11
1554155833,16,7
1554157730,10,10
1554159795,8,14
1554164000,6,8
1554165887,7,2
1554167810,6,4
1554169741,6,2
1554171629,4,0
1554173555,5,14
1554175479,11,9
1554177382,9,0
1554179558,9,1
1554181724,6,3
1554183630,3,0
1554185577,6,4
1554187468,5,3
1554189416,7,8
1554191307,12,7
1554193264,7,2
1554195179,8,1
1554197087,8,1
1554199022,5,2
1554200912,8,3
1554202968,5,2
1554204782,3,4
1554206717,4,8
1554208595,13,1
1554210561,8,4
1554212483,5,3
1554214362,3,2
1554216323,4,3
1554218202,6,2
1554221004,7,4
1554223248,5,3
1554225163,2,3
1554227083,5,5
1554229009,2,11
1554231048,2,14
1554232854,7,6
1554234754,5,3
1554236669,12,12
1554238610,12,2
1554240505,4,8
1554242599,6,16
1554245367,3,10
1554247243,11,4
1554249173,5,0
1554251077,1,3
1554253034,8,10
1554254928,9,6
1554257163,10,6
1554258999,8,3
1554260918,3,8
1554262849,4,7
1554264750,1,10
1554266667,2,10
1554268639,16,3
1554270511,32,1
1554272444,22,5
1554274406,34,4
1554276298,32,7
1554278214,27,14
1554280153,30,5
1554282311,29,13
1554284211,29,6
1554286120,25,7
1554288074,32,8
1554289958,27,4
1554291898,30,3
1554293812,27,9
1554295772,33,13
1554297648,24,7
1554299616,353,1
1554301513,30,1
1554303437,21,4
1554305338,16,4
1554307395,2,3
1554309392,2,3
1554311594,7,5
1554313490,1,4
1554315422,4,2
1554317315,3,2
1554319243,5,8
1554321154,15,5
1554323101,16,12
1554325026,15,11
1554326936,9,3
1554329011,15,4
1554330993,9,1
1554332969,13,7
1554334820,10,6
1554336745,5,4
1554338688,5,2
1554340600,11,7
1554342536,12,10
1554344444,17,10
1554346341,7,6
1554348266,8,2
1554350206,5,4
1554352096,7,2
1554354201,10,2
1554356184,9,18
1554358128,5,15
1554360022,7,19
1554361971,10,25
1554363880,8,20
1554366062,16,21
1554368051,17,19
1554369885,7,11
1554371833,17,23
1554373755,25,24
1554375889,25,23
1554377793,23,28
1554379601,25,17
1554381447,30,25
1554383343,18,29
1554385248,7,22
1554387168,19,26
1554389092,30,21
1554391014,20,17
1554392935,44,13
1554394849,36,1
1554396787,34,3
1554398695,31,2
1554400608,30,2
1554402813,41,5
1554404732,57,3
1554406597,30,5
1554408541,38,16
1554410449,45,14
1554412363,29,11
1554414281,35,13
1554416228,30,12
1554418363,26,7
1554420281,29,10
1554422204,20,5
1554424230,21,3
1554426225,13,8
1554428226,13,9
1554430132,20,10
1554432047,14,6
1554434238,18,7
1554436159,10,4
1554438059,15,4
1554439966,13,12
1554441905,6,7
1554443807,12,3
1554445735,11,5
1554447801,0,12
1554450048,3,11
1554451991,6,12
1554453901,3,12
1554456056,1,7
1554457953,0,9
1554459907,1,20
1554461832,5,21
1554463713,1,17
1554465806,1,25
1554467792,2,13
1554469737,5,13
1554471885,9,9
1554473791,13,14
1554475750,7,39
1554477641,9,43
1554479539,4,51
1554481500,5,51
1554483796,1,53
1554485788,4,47
1554487714,2,28
1554489637,3,59
1554491544,5,62
1554493479,4,43
1554495389,10,42
1554497328,6,48
1554499240,1,44
1554501176,4,39
1554503090,4,34
1554505042,4,30
1554506911,13,30
1554508989,13,28
1554511279,27,32
1554513174,10,17
1554515061,17,14
1554517018,16,28
1554518916,23,21
1554520817,17,12
1554522768,12,13
1554524662,21,15
1554526589,28,13
1554528516,25,8
1554530571,11,14
1554532857,18,11
1554534744,13,1
1554536666,19,2
1554538585,16,5
1554540765,3,1
1554542680,9,2
1554544590,11,0
1554546520,0,1
1554548555,4,4
1554552495,1,0
1554554433,0,4
1554556344,3,4
1554558258,1,6
1554560201,1,11
1554562098,1,7
1554564019,3,9
1554565956,1,11
1554567868,4,5
1554569794,1,1
1554572199,13,4
1554574095,5,1
1554576023,2,2
1554577964,7,5
1554579856,1,5
1554581798,0,9
1554583716,4,10
1554585626,1,2
1554587534,1,3
1554589461,2,3
1554591398,0,4
1554593304,3,13
1554595381,2,13
1554597382,1,20
1554599323,3,15
1554601242,2,15
1554603141,1,16
1554605081,1,22
1554606980,3,17
1554608909,16,16
1554610834,18,20
1554612742,11,24
1554614685,3,26
1554616578,5,16
1554618521,0,17
1554620569,2,19
