DateTime,AddedIPs,RemovedIPs
1554522029,9,6
1554522752,3,6
1554523475,3,5
1554524202,10,6
1554524908,0,6
1554525758,1,4
1554526573,2,3
1554527291,2,5
1554528017,2,4
1554528736,2,1
1554529451,1,5
1554530169,4,2
1554530892,4,3
1554531608,3,3
1554532337,1,1
1554533050,3,0
1554533776,2,2
1554534502,1,0
1554535210,6,2
1554535937,3,3
1554536652,3,1
1554537366,3,3
1554538123,0,6
1554538829,2,1
1554539565,2,6
1554540252,5,3
1554540985,3,3
1554541693,0,3
1554542407,4,2
1554543137,13,5
1554543852,2,3
1554544570,1,4
1554545297,3,1
1554546253,6,4
1554546969,4,6
1554547697,3,0
1554548416,5,0
1554549139,0,2
1554549854,8,0
1554550569,2,0
1554551292,4,5
1554552021,4,2
1554552732,4,2
1554553449,3,3
1554554172,0,2
1554554899,7,4
1554555619,3,2
1554556333,3,3
1554557053,2,3
1554557772,5,1
1554558494,3,5
1554559479,5,4
1554560187,3,6
1554560908,2,0
1554561629,2,3
1554562349,6,1
1554563072,7,0
1554564250,6,8
1554564972,5,4
1554565691,1,2
1554566444,5,4
1554567134,2,7
1554567856,3,3
1554568568,4,1
1554569305,3,5
1554570010,3,0
1554570736,4,3
1554571451,2,4
1554572445,2,5
1554573127,1,1
1554573857,7,3
1554574568,3,2
1554575307,5,0
1554576010,5,4
1554576735,4,3
1554577452,2,2
1554578177,2,2
1554578891,2,0
1554579612,1,11
1554580585,5,5
1554581292,1,1
1554582021,5,3
1554582732,4,2
1554583453,7,5
1554584166,6,9
1554584895,1,4
1554585610,2,3
1554586336,3,3
1554587049,3,4
1554587773,2,4
1554588510,4,4
1554589228,7,4
1554589950,2,2
1554590673,1,1
1554591385,1,0
1554592116,2,1
1554592831,2,4
1554593558,2,5
1554594269,3,4
1554594988,1,1
1554596198,6,4
1554596893,5,1
1554597612,6,9
1554598332,6,5
1554599052,0,8
1554599771,4,1
1554600491,8,4
1554601223,13,6
1554601931,9,11
1554602656,4,8
1554603380,7,12
1554604090,3,4
1554604815,6,2
1554605531,4,5
1554606520,6,7
1554607227,4,10
1554607954,5,2
1554608672,4,3
1554609398,2,10
1554610093,8,0
1554610820,4,2
1554611535,3,1
1554612254,2,2
1554613093,4,7
1554613937,2,1
1554614655,0,1
1554615375,3,0
1554616089,6,0
1554616818,2,3
1554617532,3,1
1554618252,2,0
1554618971,4,2
1554619691,4,1
1554620447,4,3
1554621135,2,6
1554621853,3,0
1554622570,4,4
1554623292,3,3
1554624035,0,1
1554624735,3,5
1554625449,7,2
1554626177,7,5
1554626893,2,6
1554627618,3,0
1554628334,4,3
1554629053,4,2
1554629768,3,5
1554630492,1,3
1554631222,0,1
1554631942,1,5
1554632668,3,2
1554633371,4,3
1554634091,6,0
1554634828,4,5
1554635535,3,0
1554636253,4,2
1554636969,1,5
1554637708,0,2
1554638417,3,6
1554639131,3,2
1554639851,4,4
1554640577,0,4
1554641291,3,4
1554642015,2,2
1554642734,8,3
1554643457,3,4
1554644172,5,4
1554644888,2,2
1554645621,4,5
1554646333,2,7
1554647057,4,3
1554647769,2,3
1554648496,4,6
1554649230,4,2
1554649950,3,6
1554650656,3,2
1554651376,0,3
1554652094,2,5
1554652829,3,2
1554653534,4,3
1554654249,1,2
1554654976,4,2
1554655689,4,3
1554656419,10,3
1554657133,1,8
1554657855,3,5
1554658572,2,6
1554659301,2,2
1554660025,3,3
1554660741,6,2
1554661451,5,6
1554662171,5,2
1554662892,2,6
1554663612,2,1
1554664337,4,3
1554665049,1,5
1554665772,5,5
1554666505,5,3
1554667218,7,0
1554668181,3,4
1554668887,2,1
1554669618,2,0
1554670328,5,5
1554671056,3,6
1554671769,2,2
1554672495,4,4
1554673212,1,8
1554673937,7,2
1554674920,2,5
1554675625,1,3
1554676357,2,1
1554677070,0,9
1554677792,3,0
1554678510,2,0
1554679236,5,0
1554679934,1,6
1554680664,7,5
1554681366,1,0
1554682102,8,12
1554682806,4,0
1554683538,2,6
1554684250,2,8
1554684989,4,5
1554685708,3,4
1554686427,6,11
1554687151,9,0
1554687875,4,3
1554688585,14,13
1554689316,7,8
1554690025,6,9
1554690758,3,2
1554691471,9,6
1554692191,3,7
1554692911,7,5
1554693638,4,10
1554694586,10,4
1554695567,2,13
1554696528,7,3
1554697226,7,2
1554697954,2,2
1554698668,1,0
1554699393,2,0
1554700239,1,1
1554701069,3,1
1554701771,5,2
1554702498,2,3
1554703230,1,3
1554703934,3,4
1554704660,3,0
1554705633,4,2
1554706366,7,2
1554707078,2,1
1554707789,1,3
1554708514,3,0
1554709228,1,2
1554709955,3,5
1554710669,0,4
1554711398,5,2
1554712105,2,3
1554712834,5,1
1554713549,3,6
1554714737,2,3
1554715451,6,3
1554716179,3,2
1554716908,2,5
1554717640,2,0
1554718331,7,4
1554719075,4,9
1554719791,4,4
1554720516,4,4
1554721236,5,6
1554721955,3,5
1554722671,2,0
1554723388,2,4
1554724114,4,0
1554725082,9,4
1554725802,6,3
1554726510,1,3
1554727230,2,1
1554727974,3,3
1554728651,0,3
1554729374,1,2
1554730091,2,2
1554730817,2,4
1554731532,6,2
1554732262,1,0
1554733232,4,3
1554733936,2,4
1554734661,2,5
1554735372,2,1
1554736348,3,7
1554737049,4,4
1554737769,3,2
1554738495,2,1
1554739217,0,1
1554739933,3,6
1554740670,12,17
1554741373,2,0
1554742095,9,10
1554742833,6,5
1554743538,0,5
1554744251,7,0
1554744976,3,4
1554745691,7,2
1554746436,2,2
1554747128,0,5
1554747857,7,9
1554748572,0,4
1554749301,8,1
1554750027,4,1
1554750741,6,5
1554751450,5,5
1554752185,6,3
1554752893,4,2
1554753639,5,2
1554754335,3,5
1554755054,4,0
1554755768,2,34
1554756493,5,0
1554757469,2,1
1554758930,5,11
1554759608,9,2
1554760345,6,2
1554761050,3,3
1554761776,6,3
1554762491,2,4
1554763217,2,0
1554764933,9,29
1554765627,3,7
1554766355,6,6
1554767071,5,7
1554767788,7,0
1554768513,8,5
1554769233,3,1
1554769954,8,3
1554770673,3,6
1554771385,10,3
1554772115,4,5
1554772827,3,8
1554773558,14,10
1554774278,10,8
1554774973,8,15
1554775691,12,8
1554776420,5,10
1554777133,4,4
1554777852,10,5
1554778566,8,6
1554779298,5,5
1554780007,6,8
1554780740,4,6
1554781449,7,2
1554782176,5,9
1554782892,3,4
1554783614,8,1
1554784338,1,3
1554785053,2,0
1554785770,5,2
1554786515,0,2
1554787225,2,0
1554788207,5,6
1554788892,1,0
1554789620,3,2
1554790331,1,2
1554791054,3,4
1554792023,4,2
1554792746,4,1
1554793463,2,2
1554794175,5,0
1554794892,1,2
1554795609,4,2
1554796345,0,5
1554797783,3,7
1554798488,6,0
1554799213,6,10
1554799929,6,0
1554800661,0,3
1554801372,3,3
1554802096,2,1
1554802819,3,2
1554803535,2,0
1554804257,2,2
1554804976,0,1
1554805688,3,5
1554806414,5,2
1554807129,4,3
1554807861,2,1
1554808574,5,5
1554809301,6,1
1554810012,3,2
1554810730,2,0
1554811723,9,4
1554812438,6,2
1554813144,2,3
1554813849,2,0
1554814570,2,3
1554815292,4,4
1554816011,3,7
1554817211,3,6
1554817935,1,2
1554818655,2,4
1554819375,3,5
1554820091,3,7
1554820821,3,3
1554821541,3,3
1554822260,3,1
1554822972,5,5
1554823690,6,1
1554824414,4,2
1554825135,1,0
1554825878,5,0
1554826578,5,4
1554827286,2,2
1554828016,3,9
1554828728,6,2
1554829471,4,0
1554830173,6,5
1554830895,2,5
1554831610,4,8
1554832333,10,2
1554833318,5,5
1554834027,5,4
1554834763,5,3
1554835475,9,6
1554836209,5,1
1554836908,6,0
1554837629,3,6
1554838363,6,9
1554839324,7,3
1554840041,2,3
1554840735,2,5
1554841451,5,5
1554842172,1,1
1554842895,1,7
1554843620,7,7
1554844359,1,0
1554845052,6,4
1554845770,7,7
1554846497,3,3
1554847221,2,1
1554847938,3,2
1554848651,3,15
1554849371,3,0
1554850377,7,0
1554851070,0,3
1554851793,3,5
1554852506,2,3
1554853230,3,7
1554853948,5,1
1554854681,4,7
1554855372,4,2
1554856113,7,6
1554856832,5,7
1554857552,2,9
1554858271,3,0
1554858998,7,14
1554859709,6,8
1554860445,7,8
1554861147,12,62
1554862125,8,112
1554862829,7,7
1554863555,6,7
1554864268,8,0
1554865006,5,6
1554865734,2,6
1554866430,10,8
1554867158,7,4
1554867869,4,7
1554868589,9,5
1554869312,6,6
1554870031,3,5
1554870756,2,3
1554871477,5,2
1554872199,3,3
1554872918,1,3
1554873624,6,0
1554874363,2,4
1554875070,5,4
1554875790,2,0
1554876511,3,6
1554877227,4,1
1554877960,6,2
1554878668,1,3
1554879385,3,3
1554880116,4,3
1554880826,6,1
1554881560,2,3
1554882269,2,2
1554882996,5,2
1554883727,3,4
1554884652,5,3
1554885368,4,3
1554886101,2,6
1554886817,8,5
1554887537,1,5
1554888254,3,4
1554888968,3,3
1554889695,3,3
1554890416,10,4
1554891134,3,1
1554891853,5,4
