DateTime,Entries,UniqueIPs
1554522752,8028,8028
1554523475,8042,8042
1554524202,8040,8040
1554524908,8002,8002
1554525758,8003,8003
1554526573,8039,8039
1554527291,8024,8024
1554528017,8032,8032
1554528736,8027,8027
1554529451,7997,7997
1554530169,8043,8043
1554530892,8024,8024
1554531608,8029,8029
1554532337,8041,8041
1554533050,7619,7619
1554533776,8022,8022
1554534502,8019,8019
1554535210,8031,8031
1554535937,8039,8039
1554536652,8048,8048
1554537366,8050,8050
1554538123,8047,8047
1554538829,8031,8031
1554539565,8055,8055
1554540252,8047,8047
1554540985,8067,8067
1554541693,8048,8048
1554542407,8058,8058
1554543137,8049,8049
1554543852,8039,8039
1554544570,8072,8072
1554545297,8060,8060
1554546253,8104,8104
1554546969,8083,8083
1554547697,8052,8052
1554548416,8049,8049
1554549139,8040,8040
1554549854,8060,8060
1554550569,8064,8064
1554551292,8041,8041
1554552021,8077,8077
1554552732,8051,8051
1554553449,8081,8081
1554554172,8055,8055
1554554899,8081,8081
1554555619,8079,8079
1554556333,8064,8064
1554557053,8048,8048
1554557772,8071,8071
1554558494,8072,8072
1554559479,8095,8095
1554560187,8092,8092
1554560908,8093,8093
1554561629,8076,8076
1554562349,8061,8061
1554563072,7667,7667
1554564250,8063,8063
1554564972,8055,8055
1554565691,8051,8051
1554566444,8052,8052
1554567134,8078,8078
1554567856,8093,8093
1554568568,8099,8099
1554569305,8106,8106
1554570010,8120,8120
1554570736,8117,8117
1554571451,8128,8128
1554572445,8096,8096
1554573127,8115,8115
1554573857,8121,8121
1554574568,8120,8120
1554575307,8114,8114
1554576010,8103,8103
1554576735,8093,8093
1554577452,8135,8135
1554578177,7710,7710
1554578891,8052,8052
1554579612,8110,8110
1554580585,8096,8096
1554581292,8090,8090
1554582021,8043,8043
1554582732,8099,8099
1554583453,8125,8125
1554584166,8118,8118
1554584895,8119,8119
1554585610,8107,8107
1554586336,8107,8107
1554587049,8083,8083
1554587773,8086,8086
1554588510,8076,8076
1554589228,8086,8086
1554589950,8084,8084
1554590673,8065,8065
1554591385,8070,8070
1554592116,8059,8059
1554592831,8062,8062
1554593558,8041,8041
1554594269,8050,8050
1554594988,8039,8039
1554596198,8034,8034
1554596893,7893,7893
1554597612,8040,8040
1554598332,8039,8039
1554599052,8048,8048
1554599771,8038,8038
1554600491,8051,8051
1554601223,8062,8062
1554601931,8054,8054
1554602656,7765,7765
1554603380,8063,8063
1554604090,8052,8052
1554604815,8054,8054
1554605531,8046,8046
1554606520,8042,8042
1554607227,8027,8027
1554607954,8003,8003
1554608672,8027,8027
1554609398,8033,8033
1554610093,8037,8037
1554610820,8037,8037
1554611535,7873,7873
1554612254,8031,8031
1554613093,8055,8055
1554613937,8020,8020
1554614655,8016,8016
1554615375,8028,8028
1554616089,8034,8034
1554616818,7890,7890
1554617532,8044,8044
1554618252,8059,8059
1554618971,8057,8057
1554619691,8035,8035
1554620447,8055,8055
1554621135,8024,8024
1554621853,8033,8033
1554622570,8038,8038
1554623292,8045,8045
1554624035,8052,8052
1554624735,8016,8016
1554625449,8054,8054
1554626177,8060,8060
1554626893,8054,8054
1554627618,8081,8081
1554628334,8044,8044
1554629053,8063,8063
1554629768,8056,8056
1554630492,8035,8035
1554631222,8054,8054
1554631942,8068,8068
1554632668,8087,8087
1554633371,8079,8079
1554634091,8071,8071
1554634828,8071,8071
1554635535,8072,8072
1554636253,8065,8065
1554636969,8063,8063
1554637708,8062,8062
1554638417,7640,7640
1554639131,8067,8067
1554639851,8076,8076
1554640577,8070,8070
1554641291,8064,8064
1554642015,8044,8044
1554642734,8055,8055
1554643457,8072,8072
1554644172,8063,8063
1554644888,8072,8072
1554645621,8073,8073
1554646333,8081,8081
1554647057,8091,8091
1554647769,8073,8073
1554648496,8096,8096
1554649230,8095,8095
1554649950,8077,8077
1554650656,8096,8096
1554651376,8075,8075
1554652094,8084,8084
1554652829,8088,8088
1554653534,8078,8078
1554654249,8077,8077
1554654976,8068,8068
1554655689,8086,8086
1554656419,8068,8068
1554657133,8075,8075
1554657855,8069,8069
1554658572,8062,8062
1554659301,8067,8067
1554660025,8080,8080
1554660741,8067,8067
1554661451,8052,8052
1554662171,8053,8053
1554662892,8056,8056
1554663612,8015,8015
1554664337,8088,8088
1554665049,8084,8084
1554665772,8083,8083
1554666505,8080,8080
1554667218,8103,8103
1554668181,8081,8081
1554668887,8071,8071
1554669618,8071,8071
1554670328,8066,8066
1554671056,8047,8047
1554671769,8045,8045
1554672495,8067,8067
1554673212,8065,8065
1554673937,8064,8064
1554674920,8051,8051
1554675625,8027,8027
1554676357,8011,8011
1554677070,8013,8013
1554677792,8035,8035
1554678510,8020,8020
1554679236,8017,8017
1554679934,7568,7568
1554680664,8012,8012
1554681366,8037,8037
1554682102,8035,8035
1554682806,8024,8024
1554683538,8046,8046
1554684250,8046,8046
1554684989,8053,8053
1554685708,8025,8025
1554686427,8035,8035
1554687151,8046,8046
1554687875,8034,8034
1554688585,8053,8053
1554689316,8021,8021
1554690025,8025,8025
1554690758,8016,8016
1554691471,8032,8032
1554692191,8031,8031
1554692911,8026,8026
1554693638,8040,8040
1554694586,8037,8037
1554695567,8034,8034
1554696528,8014,8014
1554697226,8030,8030
1554697954,8031,8031
1554698668,8023,8023
1554699393,8026,8026
1554700239,8010,8010
1554701069,8020,8020
1554701771,8025,8025
1554702498,8013,8013
1554703230,8013,8013
1554703934,8030,8030
1554704660,8031,8031
1554705633,8033,8033
1554706366,8032,8032
1554707078,8031,8031
1554707789,8032,8032
1554708514,8031,8031
1554709228,8031,8031
1554709955,8030,8030
1554710669,8025,8025
1554711398,8034,8034
1554712105,8037,8037
1554712834,8013,8013
1554713549,8035,8035
1554714737,8033,8033
1554715451,8048,8048
1554716179,8060,8060
1554716908,8061,8061
1554717640,8063,8063
1554718331,8053,8053
1554719075,8056,8056
1554719791,8065,8065
1554720516,8053,8053
1554721236,8059,8059
1554721955,8046,8046
1554722671,8067,8067
1554723388,8065,8065
1554724114,8048,8048
1554725082,8063,8063
1554725802,8041,8041
1554726510,8062,8062
1554727230,8055,8055
1554727974,8067,8067
1554728651,8043,8043
1554729374,8055,8055
1554730091,8047,8047
1554730817,8047,8047
1554731532,8053,8053
1554732262,8062,8062
1554733232,8026,8026
1554733936,8033,8033
1554734661,8049,8049
1554735372,8002,8002
1554736348,8034,8034
1554737049,8040,8040
1554737769,8036,8036
1554738495,8049,8049
1554739217,8056,8056
1554739933,8036,8036
1554740670,8065,8065
1554741373,8068,8068
1554742095,8053,8053
1554742833,8089,8089
1554743538,8063,8063
1554744251,8067,8067
1554744976,8077,8077
1554745691,8065,8065
1554746436,8063,8063
1554747128,8049,8049
1554747857,8060,8060
1554748572,8056,8056
1554749301,8068,8068
1554750027,8066,8066
1554750741,8073,8073
1554751450,8099,8099
1554752185,8089,8089
1554752893,8072,8072
1554753639,8075,8075
1554754335,8065,8065
1554755054,8082,8082
1554755768,8028,8028
1554756493,8069,8069
1554757469,8042,8042
1554758930,8073,8073
1554759608,8076,8076
1554760345,8081,8081
1554761050,7652,7652
1554761776,8066,8066
1554762491,8067,8067
1554763217,8044,8044
1554764933,8062,8062
1554765627,8040,8040
1554766355,8036,8036
1554767071,8037,8037
1554767788,8040,8040
1554768513,8025,8025
1554769233,8024,8024
1554769954,8041,8041
1554770673,7573,7573
1554771385,8035,8035
1554772115,8040,8040
1554772827,8043,8043
1554773558,8074,8074
1554774278,8056,8056
1554774973,8050,8050
1554775691,8048,8048
1554776420,8049,8049
1554777133,8058,8058
1554777852,8050,8050
1554778566,8059,8059
1554779298,8051,8051
1554780007,8057,8057
1554780740,8048,8048
1554781449,8036,8036
1554782176,8033,8033
1554782892,8041,8041
1554783614,8028,8028
1554784338,8043,8043
1554785053,8039,8039
1554785770,8025,8025
