DateTime,AddedIPs,RemovedIPs
1554222919,16,32
1554224189,32,14
1554225258,27,42
1554226096,16,2
1554227719,41,36
1554228925,51,21
1554230561,212,49
1554231377,159,1
1554232525,155,33
1554233637,96,21
1554235548,145,34
1554236063,44,3
1554239657,219,74
1554240496,38,4
1554241359,80,42
1554243028,60,31
1554245679,66,62
1554246922,36,28
1554247697,25,0
1554249388,69,36
1554250458,28,28
1554251297,46,10
1554252976,26,44
1554254120,18,26
1554255636,24,51
1554257659,54,37
1554259819,44,55
1554261262,32,24
1554262098,11,3
1554263785,27,49
1554264866,18,36
1554266193,21,36
1554267327,20,20
1554268522,17,33
1554269718,15,45
1554270985,22,16
1554272122,20,29
1554273318,32,29
1554275664,31,34
1554277229,22,32
1554278188,15,10
1554279321,11,31
1554280827,26,36
1554282325,23,28
1554283823,15,38
1554285384,31,17
1554286521,24,28
1554287296,20,3
1554288984,40,52
1554290122,24,45
1554291613,19,48
1554293420,31,38
1554294636,18,36
1554295820,16,12
1554297260,29,29
1554298727,27,28
1554300860,41,36
1554302544,38,40
1554303388,16,6
1554304525,19,213
1554306038,28,36
1554308060,39,46
1554309292,24,27
1554310576,24,13
1554312496,36,27
1554313362,10,35
1554315023,27,31
1554316101,25,3
1554317716,64,43
1554318859,56,31
1554319695,22,7
1554320558,26,51
1554322221,46,25
1554324146,57,58
1554324976,21,6
1554326119,28,45
1554326896,26,3
1554327753,21,45
1554329398,33,28
1554331341,29,48
1554333260,42,45
1554334565,22,40
1554335716,21,19
1554336859,25,26
1554337697,14,0
1554339320,29,57
1554340518,17,28
1554342028,26,43
1554343820,31,48
1554344059,7,7
1554344900,16,4
1554346219,22,52
1554347658,33,40
1554348930,25,44
1554350173,23,15
1554351257,29,27
1554352945,24,45
1554353783,14,1
1554354923,15,27
1554355699,14,4
1554357324,23,66
1554358424,19,33
1554359682,24,80
1554360155,11,10
1554360981,9,6
1554362070,22,39
1554363756,37,48
1554365425,31,48
1554366639,19,37
1554368117,15,19
1554369321,15,91
1554371121,15,62
1554372857,28,40
1554373696,13,6
1554374542,14,50
1554376469,47,43
1554377741,21,44
1554378960,31,12
1554380058,25,31
1554381180,17,45
1554382418,22,15
1554383693,17,39
1554385221,23,46
1554386179,21,5
1554387322,26,41
1554389119,30,47
1554389776,13,2
1554390857,19,33
1554392547,34,70
1554393376,10,10
1554394519,21,34
1554395294,15,2
1554396154,16,54
1554397526,89,26
1554398757,69,3
1554399983,92,66
1554401305,79,86
1554402621,96,46
1554404179,90,3
1554405329,86,55
1554406812,82,69
1554408276,74,102
1554409513,73,2
1554410715,49,110
1554411919,52,42
1554412457,19,0
1554413726,49,53
1554414941,56,12
1554416127,39,45
1554418218,80,60
1554419667,51,30
1554420928,52,57
1554422179,38,30
1554423320,26,36
1554424096,23,7
1554425775,41,61
1554427696,51,23
1554429307,41,69
1554430462,24,43
1554431724,20,36
1554433391,50,48
1554434061,12,10
1554434909,19,3
1554437426,63,99
1554438497,21,8
1554440120,32,58
1554441318,24,34
1554442111,16,11
1554443720,41,56
1554444864,22,23
1554446130,29,50
1554448457,54,44
1554450018,31,33
1554450976,17,32
1554452059,12,25
1554452907,12,2
1554453746,11,36
1554455665,37,32
1554456943,24,42
1554458226,24,29
1554459549,19,27
1554460939,33,51
1554461785,19,9
1554462861,29,42
1554463695,26,8
1554464820,22,50
1554466223,29,46
1554467297,23,15
1554468979,41,69
1554470065,17,28
1554471611,25,25
1554473427,33,56
1554475361,27,50
1554477260,54,37
1554478945,31,44
1554480856,25,43
1554482427,67,39
1554483924,55,40
1554485298,21,6
1554486620,25,51
1554488058,25,30
1554488899,7,9
1554490479,25,55
1554491674,27,35
1554492496,15,9
1554493362,12,36
1554494178,11,4
1554495333,17,25
1554496095,10,4
1554497788,29,29
1554498857,22,47
1554499699,14,8
1554501378,32,40
1554502531,14,30
1554504165,26,52
1554506056,34,25
1554507738,31,37
1554509657,40,42
1554510918,19,42
1554512119,20,16
1554514106,39,25
1554515417,24,43
1554516862,27,26
1554517969,26,32
1554519395,23,13
1554520522,21,43
1554522022,20,27
1554524061,36,47
1554525626,31,26
1554526582,22,25
1554527728,26,22
1554528918,21,40
1554530190,18,5
1554531321,9,43
1554532818,23,47
1554534326,26,45
1554534860,6,3
1554536744,26,65
1554537384,16,0
1554538528,20,29
1554539300,13,1
1554541536,49,66
1554543028,23,44
1554543738,11,16
1554545437,29,51
1554547358,37,73
1554548743,14,57
1554549922,26,4
1554551133,21,46
1554552621,17,43
1554554563,28,66
1554555384,14,1
1554556458,18,31
1554557294,21,2
1554558172,20,76
1554560060,46,48
1554561624,24,59
1554563027,26,81
1554563658,17,0
1554564508,10,5
1554565684,17,99
1554567256,28,28
1554568539,21,39
1554569719,16,19
1554570921,22,44
1554571713,12,6
1554573317,31,50
1554574465,28,34
1554575603,31,46
1554576975,106,2
1554578119,100,36
1554579624,105,32
1554581439,129,34
1554581666,8,0
1554583391,88,59
1554584178,37,6
1554585259,34,46
1554586983,67,39
1554588859,49,43
1554590133,26,32
1554591320,31,13
1554592525,20,28
1554593708,20,24
1554594920,25,17
1554596120,34,23
1554597817,36,32
1554598585,15,5
1554599724,23,35
1554600890,17,28
1554602521,32,31
1554603263,15,10
1554604108,17,5
1554605778,25,60
1554606921,21,27
1554608543,33,31
1554609377,9,0
1554610469,19,21
1554612033,23,36
1554612983,19,11
1554614129,21,22
1554615251,19,37
1554616519,21,12
1554618026,28,40
1554619220,23,35
1554620178,18,4
1554621311,22,32
1554622989,21,36
1554623778,18,1
1554624860,22,36
1554626419,37,46
1554628248,76,39
1554629331,15,0
1554630144,13,32
1554630978,21,2
1554632059,14,34
1554632936,11,2
1554633803,17,44
1554635148,15,34
1554636333,19,6
1554638190,32,51
1554639319,12,22
1554640148,14,2
1554641449,30,56
1554642855,24,26
1554643706,16,10
1554645383,27,42
1554646531,30,22
1554647711,23,54
1554648975,25,15
1554650059,12,14
1554651625,18,61
1554653687,41,110
1554655610,28,44
1554657260,24,30
1554658102,12,4
1554659719,22,54
1554660921,14,34
1554662145,15,71
1554663660,25,71
1554664455,14,0
1554666024,26,36
1554668059,32,52
1554669622,20,77
1554671072,20,45
1554672894,41,29
1554675257,33,30
1554676519,18,37
1554677678,20,11
1554678859,26,17
1554680081,21,24
1554681320,19,11
1554682456,16,18
1554684028,29,23
1554685541,20,28
1554686910,24,4
1554688257,25,21
1554689662,21,35
1554690931,16,24
1554692820,28,28
1554694104,19,11
1554695419,24,21
1554696864,19,33
1554698428,19,30
1554700464,26,33
1554702200,28,39
1554702976,6,2
1554704898,29,25
1554706580,35,29
1554707680,21,26
1554708531,12,0
1554709364,15,23
1554711258,26,36
1554712386,18,21
1554714117,32,27
1554715229,29,4
1554716622,18,38
1554718245,16,22
1554719437,13,32
1554720978,45,17
1554722057,34,25
1554723295,28,17
1554724430,22,10
1554726497,25,23
1554727870,16,45
1554728990,17,30
1554730118,24,8
1554731777,36,31
1554732862,17,32
1554734118,22,28
1554735337,23,19
1554736462,91,22
1554738927,154,42
1554740120,60,40
1554741620,77,29
1554743148,54,29
1554744672,55,33
1554746249,64,15
1554747259,31,26
1554748826,54,38
1554749776,24,19
1554750859,36,30
1554752425,37,30
1554755296,112,54
1554756983,55,37
1554758063,27,32
1554759242,20,23
1554760570,25,11
1554761726,24,30
1554764782,44,55
1554766381,24,45
1554767615,23,14
1554768929,24,20
1554770173,16,28
1554771318,22,12
1554772461,19,25
1554773299,12,6
1554774420,22,41
1554776067,27,29
1554777327,17,54
1554778598,20,12
1554779722,20,26
1554781519,35,64
1554783320,35,28
1554784939,31,39
1554786873,45,15
1554787697,12,4
1554789376,24,36
1554790469,16,29
1554792020,26,51
1554794057,56,56
1554795786,49,40
1554797657,35,72
1554798505,17,3
1554799718,17,69
1554801052,21,38
1554802228,17,32
1554803556,20,20
1554804921,23,25
1554805699,26,1
1554806676,16,24
1554808196,31,28
1554809306,18,6
1554810984,42,32
1554812149,23,21
1554813807,39,39
1554814577,14,2
1554815659,25,27
1554816912,20,35
1554818179,20,8
1554819323,15,30
1554820098,13,5
1554821225,29,29
1554822440,25,24
1554823849,32,27
1554826520,40,42
1554828177,30,29
1554828987,16,7
1554830069,15,22
1554830898,22,4
1554832579,38,30
1554833726,23,18
1554834681,23,36
1554835337,14,14
1554837009,27,29
1554838096,19,5
1554839782,39,39
1554840855,16,26
1554842117,26,31
1554843382,23,16
1554844465,24,25
1554845691,22,37
1554847146,32,22
1554848061,10,8
1554851130,35,82
1554851661,6,3
1554853230,19,35
1554854999,33,25
1554855260,5,0
1554856826,32,29
1554858865,24,48
1554859705,14,2
1554861030,14,40
1554862462,23,18
1554864936,47,50
1554866077,14,23
1554867322,22,19
1554868472,23,21
1554869741,13,16
1554870930,25,27
1554872180,12,2
1554873445,23,32
1554874616,24,36
1554875718,14,3
1554876863,14,50
1554878153,24,39
1554879380,15,22
1554880511,20,34
1554882032,29,32
1554884060,48,48
1554885319,20,36
