DateTime,AddedIPs,RemovedIPs
1554501333,8,12
1554502294,7,11
1554503015,8,15
1554505894,104,59
1554506615,35,11
1554507334,40,9
1554508054,60,11
1554508834,34,15
1554509493,6,7
1554510215,8,15
1554511174,11,10
1554511894,8,6
1554512615,6,8
1554513335,13,14
1554514054,13,11
1554514774,16,7
1554516934,32,22
1554517654,11,9
1554518373,13,12
1554519094,7,7
1554519813,9,9
1554520534,8,7
1554521254,11,11
1554521973,7,15
1554522695,9,13
1554523415,9,8
1554524136,11,13
1554524854,21,9
1554525575,9,15
1554526295,9,22
1554527015,16,13
1554527736,6,23
1554528454,10,10
1554529175,10,14
1554529894,12,8
1554530613,12,6
1554531335,5,13
1554532055,8,9
1554532775,12,9
1554533494,12,11
1554534213,10,10
1554534935,18,18
1554535653,7,6
1554536374,13,8
1554537093,9,9
1554538055,8,21
1554538775,8,16
1554539975,9,14
1554540694,6,9
1554541414,6,6
1554542134,10,5
1554542854,9,7
1554543575,5,8
1554544294,4,8
1554545013,4,4
1554545734,12,7
1554546454,7,8
1554547175,7,12
1554547893,7,11
1554549336,11,17
1554550055,7,6
1554550774,6,4
1554551494,6,12
1554552213,6,6
1554552933,6,5
1554553654,11,4
1554554375,5,12
1554555095,8,7
1554555815,8,16
1554556536,9,31
1554557255,8,38
1554557975,9,18
1554558694,13,16
1554559415,10,17
1554560134,14,12
1554560854,7,13
1554561574,9,13
1554562294,10,12
1554563015,7,15
1554563733,4,8
1554564453,8,5
1554565174,6,10
1554565895,6,6
1554566854,10,16
1554567574,9,9
1554568293,9,9
1554569014,3,9
1554569733,11,4
1554570454,18,4
1554571174,11,10
1554572854,28,20
1554573573,6,13
1554574295,11,11
1554575014,11,10
1554575736,9,7
1554576454,5,10
1554577174,11,7
1554577893,12,7
1554578614,10,13
1554579335,17,12
1554580053,16,8
1554581014,11,23
1554581735,10,8
1554582935,9,15
1554583655,4,6
1554584374,9,8
1554585095,10,11
1554585813,4,12
1554586536,8,8
1554587254,4,9
1554588456,14,12
1554589175,10,6
1554589893,5,6
1554590613,8,10
1554591337,8,11
1554592056,10,35
1554592776,10,35
1554593495,8,24
1554594216,12,43
1554594936,10,53
1554595656,8,12
1554596373,14,8
1554597093,11,5
1554597814,9,8
1554598535,8,9
1554599254,5,10
1554599975,11,11
1554600698,6,14
1554601415,6,18
1554602133,10,10
1554602855,6,11
1554603575,5,8
