DateTime,AddedIPs,RemovedIPs
1553820760,18,20
1553822656,24,13
1553826512,17,28
1553828426,28,17
1553830333,19,16
1553832275,15,13
1553834169,21,15
1553836147,25,11
1553839943,19,39
1553841887,12,23
1553843776,20,19
1553845698,12,18
1553847635,20,24
1553851458,15,25
1553853393,14,6
1553855298,30,0
1553857262,16,10
1553859158,12,0
1553861056,20,13
1553862976,14,12
1553864890,26,18
1553866833,22,21
1553868739,27,16
1553870654,21,0
1553872576,17,21
1553874494,13,20
1553876431,25,10
1553878335,16,18
1553880273,17,13
1553882177,15,15
1553884095,24,12
1553886033,14,13
1553887956,10,12
1553890118,14,13
1553892012,13,0
1553893936,13,10
1553895873,12,13
1553897780,20,16
1553899936,23,29
1553901852,19,0
1553903787,19,17
1553905692,23,37
1553907627,17,12
1553909553,15,0
1553911725,15,25
1553913615,21,12
1553915535,20,0
1553917474,13,21
1553919638,20,39
1553921533,18,0
1553923452,5,21
1553925391,17,22
1553927289,23,11
1553929240,18,31
1553931156,20,12
1553933059,16,13
1553934974,19,11
1553936899,16,0
1553938833,17,22
1553940743,12,13
1553942674,20,13
1553944575,19,10
1553946493,14,0
1553948427,15,9
1553950333,16,7
1553952251,13,21
1553954190,19,33
1553958021,15,19
1553959962,18,26
1553961877,9,0
1553963773,12,11
1553965708,7,11
1553967614,6,14
1553969556,20,31
1553971453,15,20
1553973377,11,21
1553977211,14,20
1553979131,9,19
1553981053,13,13
1553982988,14,17
1553984900,14,19
1553986843,21,19
1553988743,16,17
1553990681,16,14
1553992587,19,16
1553994762,12,17
1553996656,16,12
1554000493,20,30
1554002435,21,22
1554004332,25,9
1554006276,12,9
1554008174,17,12
1554010092,27,16
1554012021,25,19
1554014009,8,13
1554015861,20,15
1554017769,13,22
1554019712,20,21
1554021611,21,23
1554023533,18,19
1554025470,26,8
1554027382,19,13
1554029299,17,10
1554031229,15,2
1554033153,22,5
1554035051,26,1
1554036985,12,16
1554038892,21,13
1554040818,18,18
1554043001,10,41
1554046811,28,15
1554048731,16,19
1554054490,11,56
1554056673,18,41
1554058570,9,0
1554060489,8,40
1554062504,9,17
1554066280,14,13
1554068174,16,26
1554070091,5,0
1554072036,13,23
1554074454,20,16
1554076356,12,15
1554078256,17,18
1554080175,10,12
1554082116,16,13
1554084057,16,16
1554086207,8,13
1554088102,22,17
1554090015,19,21
1554091933,8,23
1554093870,14,11
1554097696,10,33
1554099633,22,20
1554103473,22,33
1554105390,15,24
1554107290,18,16
1554109260,20,16
1554111156,14,10
1554113266,19,9
1554115229,13,10
1554117138,13,9
1554119298,17,7
1554121239,29,15
1554123149,22,11
1554125072,16,12
1554126995,25,19
1554128917,12,16
1554130816,17,20
1554132756,14,36
1554134661,28,21
1554136610,23,16
1554138517,19,26
1554140415,14,19
1554142331,12,15
1554144273,11,25
1554148096,13,46
1554150288,14,15
1554152483,13,23
1554154349,12,19
1554156273,13,19
1554158172,15,21
1554160128,4,20
1554162033,15,19
1554163977,17,17
1554165854,15,12
1554167778,13,13
1554169717,14,11
1554171617,12,17
1554173532,12,0
1554175459,14,32
1554177371,12,0
1554179544,15,34
1554181701,13,15
1554183617,18,14
1554185554,18,11
1554187455,17,18
1554189383,26,0
1554191294,11,15
1554193237,21,21
1554195135,14,13
1554197074,21,6
1554198991,18,14
1554200892,12,9
1554204761,25,12
1554206664,20,9
1554208576,15,10
