DateTime,AddedIPs,RemovedIPs
1553820760,37,59
1553822656,58,40
1553826512,60,54
1553828426,74,61
1553830333,61,74
1553832275,56,61
1553834169,56,59
1553836147,64,53
1553839943,61,65
1553841887,48,56
1553843776,41,43
1553845698,50,47
1553847635,58,52
1553851458,66,63
1553853393,54,66
1553855298,69,53
1553857262,52,66
1553859158,52,49
1553861056,63,56
1553862976,39,58
1553864890,53,40
1553866833,58,55
1553868739,55,53
1553870654,60,61
1553872576,61,62
1553874494,54,55
1553876431,57,60
1553878335,55,55
1553880273,49,56
1553882177,60,48
1553884095,61,62
1553886033,51,59
1553887956,49,50
1553890118,53,51
1553892012,46,48
1553893936,62,49
1553895873,56,59
1553897780,50,60
1553899936,55,50
1553901852,62,56
1553903787,46,56
1553905692,61,50
1553907627,47,61
1553909553,55,48
1553911725,45,52
1553913615,53,45
1553915535,61,54
1553917474,46,55
1553919638,60,56
1553921533,55,51
1553923452,42,60
1553925391,49,44
1553927289,58,46
1553929240,55,58
1553931156,59,53
1553933059,49,61
1553934974,55,53
1553936899,41,53
1553938833,47,41
1553940743,49,41
1553942674,60,54
1553944575,54,62
1553946493,58,53
1553948427,50,52
1553950333,38,53
1553952251,47,47
1553954190,49,45
1553958021,47,43
1553959962,49,50
1553961877,45,48
1553963773,52,42
1553965708,40,49
1553967614,38,41
1553969556,53,41
1553971453,49,53
1553973377,60,53
1553977211,60,61
1553979131,37,54
1553981053,46,38
1553982988,48,48
1553984900,51,47
1553986843,52,49
1553988743,44,52
1553990681,48,41
1553992587,56,55
1553994762,45,54
1553996656,49,47
1554000493,59,48
1554002435,50,62
1554004332,46,43
1554006276,52,48
1554008174,44,51
1554010092,64,52
1554012021,58,59
1554014009,50,51
1554015861,49,50
1554017769,53,57
1554019712,53,49
1554021611,50,55
1554023533,54,47
1554025470,65,60
1554027382,61,67
1554029299,57,61
1554031229,51,53
1554033153,59,47
1554035051,46,61
1554036985,49,45
1554038892,51,52
1554040818,63,55
1554043001,50,60
1554046811,57,46
1554048731,54,57
1554054490,49,55
1554056673,49,52
1554058570,34,45
1554060489,37,31
1554062504,31,37
1554066280,41,35
1554068174,41,40
1554070091,39,41
1554072036,47,37
