DateTime,AddedIPs,RemovedIPs
1549447923,3,4
1549458941,5,8
1549469923,2,6
1549481014,1,1
1549492025,2,4
1549502387,1,1
1549513370,2,1
1549524485,2,3
1549535440,7,1
1549546054,3,5
1549557387,3,1
1549567512,5,5
1549578377,3,1
1549588206,1,4
1549599072,1,4
1549610181,2,0
1549620723,0,3
1549631181,0,2
1549642044,2,2
1549651694,2,4
1549662397,0,2
1549673222,0,7
1549684287,0,4
1549695584,2,4
1549706592,7,3
1549717614,0,5
1549728853,5,3
1549739598,2,2
1549750320,2,5
1549760770,2,4
1549771875,4,3
1549782466,5,2
1549793365,4,3
1549815284,1,22
1549826247,5,2
1549837069,3,1
1549847845,2,1
1549858771,6,2
1549869640,6,4
1549880165,2,3
1549891053,4,1
1549901727,4,0
1549911902,2,5
1549922668,0,3
1549933418,3,3
1549944366,2,2
1549954801,0,1
1549965858,2,5
1549976308,0,3
1549987123,2,1
1549997279,2,3
1550008077,2,4
1550018815,3,2
1550029755,7,2
1550040712,2,1
1550051405,5,4
1550062093,3,0
1550073072,2,2
1550084051,3,6
1550095166,6,4
1550106237,8,5
1550117134,2,3
1550128063,1,3
1550138884,5,4
1550149851,4,2
1550160784,4,3
1550171266,9,2
1550182273,6,0
1550193253,1,3
1550204065,3,3
1550214686,4,3
1550225765,5,3
1550236339,4,2
1550246893,7,8
1550257765,4,7
1550268594,5,3
1550279457,0,3
1550290415,7,2
1550300227,3,0
1550311202,3,1
1550322018,3,2
1550333161,3,1
1550344076,5,6
1550353984,4,5
1550364971,1,5
1550376244,0,2
1550387293,2,2
1550398324,2,2
1550409031,4,1
1550419800,4,5
1550430318,5,1
1550441090,4,2
1550451717,7,3
1550462513,2,4
1550473228,1,6
1550484221,5,0
1550495094,3,3
1550506977,6,3
1550517680,2,3
1550528091,1,4
1550539214,5,3
1550549842,4,2
1550560674,3,4
1550571203,4,6
1550581990,1,5
1550592794,3,3
1550603823,5,3
1550614748,5,0
1550625619,6,2
1550636157,2,2
1550646935,4,7
1550656940,4,2
1550667481,7,5
1550677481,3,6
1550688444,5,8
1550699337,3,3
1550710281,7,2
1550721363,5,2
1550732416,6,3
1550743142,9,5
1550754187,2,4
1550764894,4,7
1550775787,0,3
1550786814,3,3
1550797739,2,4
1550808591,4,2
1550819186,0,2
1550829880,1,5
1550841007,2,0
1550851848,6,1
1550861873,3,2
1550872608,5,0
1550883475,3,4
1550894326,3,6
1550904998,5,3
1550915866,4,2
1550926730,3,5
1550938050,6,5
1550949091,3,3
1550960129,2,4
1550971143,0,1
1550981835,6,2
1550992787,1,5
1551003625,4,4
1551014384,2,2
1551025426,3,1
1551035510,1,3
1551046409,1,3
1551057357,2,5
1551068166,3,3
1551078989,3,3
1551089965,2,6
1551100990,3,2
1551111814,3,5
1551122800,1,2
1551133753,4,3
1551144690,3,2
1551154810,5,1
1551165479,5,3
1551176397,2,2
1551186436,4,2
1551197437,4,2
1551208071,4,5
1551218928,5,3
1551229796,7,4
1551240640,3,4
1551251693,6,2
1551262526,3,3
1551273448,1,3
1551283981,4,4
1551294325,3,2
1551305291,1,1
1551316514,5,3
1551327389,1,1
1551338288,5,8
1551349427,4,5
1551360482,7,4
1551371437,1,4
1551382820,5,6
1551393961,1,5
1551405082,4,4
1551416135,5,3
1551426665,3,3
1551437572,3,0
1551448349,1,3
1551458944,5,1
1551469757,2,4
1551480627,3,3
1551491135,4,5
1551502196,2,0
1551512839,2,2
1551523297,4,5
1551534216,3,1
1551545106,2,2
1551555971,5,0
1551566850,5,1
1551577915,8,0
1551588967,4,1
1551599560,2,2
1551609937,2,2
1551620778,1,2
1551631795,2,3
1551642845,4,3
1551653589,2,3
1551664454,3,4
1551675557,4,4
1551685366,4,3
1551696479,0,1
1551708075,3,0
1551718896,6,4
1551728888,3,1
1551739909,4,6
1551750907,6,2
1551761789,4,4
1551772716,3,5
1551783690,2,0
1551794532,5,4
1551805670,5,3
1551816327,5,12
1551827270,4,5
1551838170,4,5
1551849115,4,2
1551860113,3,2
1551871179,2,1
1551881905,0,2
1551892304,5,2
1551903069,3,4
1551914105,5,2
1551924983,2,4
1551935831,4,3
1551946661,3,4
1551957406,0,6
1551968286,1,2
1551978907,2,1
1551989724,7,5
1552000709,3,4
1552011147,2,1
1552021452,1,3
1552032506,5,2
1552043221,4,5
1552054228,2,2
1552065370,4,3
1552076401,7,3
1552086642,4,4
1552097738,3,4
1552108776,4,5
1552119807,3,4
1552130724,4,2
1552141351,10,4
1552152196,5,2
1552163126,4,4
1552174082,5,5
1552185095,2,3
1552195921,3,3
1552206968,2,1
1552217693,4,1
1552228425,3,2
1552239307,4,5
1552250362,6,2
1552261458,2,1
1552271889,5,2
1552282694,4,3
1552293793,4,3
1552304607,5,1
