DateTime,Entries,UniqueIPs
1549164738,5756,5756
1549168123,6048,6048
1549172444,6025,6025
1549176765,5979,5979
1549180114,5904,5904
1549183961,5852,5852
1549188758,5792,5792
1549191877,5670,5670
1549196183,5878,5878
1549200764,6180,6180
1549204591,6213,6213
1549211558,6181,6181
1549225237,5876,5876
1549228131,5876,5876
1549231236,5886,5886
1549235078,5720,5720
1549238176,5911,5911
1549241546,6102,6102
1549254970,5865,5865
1549259800,5899,5899
1549263642,5918,5918
1549266248,6140,6140
1549270360,6137,6137
1549277553,5985,5985
1549295769,5279,5279
1549298209,5114,5114
1549301570,5418,5418
1549305131,5669,5669
1549309019,6003,6003
1549323162,5189,5189
1549325078,5330,5330
1549330107,5378,5378
1549333961,5705,5705
1549338756,5950,5950
1549342360,5933,5933
1549356496,5611,5611
1549360340,5683,5683
1549363718,5873,5873
1549386019,5442,5442
1549386990,5693,5693
1549403561,5085,5085
1549405952,5458,5458
1549410270,5507,5507
1549452264,3580,3580
1549457552,3917,3917
1549461169,4269,4269
1549463559,4536,4536
1549467138,4833,4833
1549471228,5207,5207
1549475326,4873,4873
1549478459,5184,5184
1549481550,5463,5463
1549539373,5485,5485
1549540330,4552,4552
1549542736,4854,4854
1549557412,4014,4014
1549559538,3981,3981
1549566510,3616,3616
1549574176,3212,3212
1549580681,3617,3617
1549585234,3951,3951
1549588818,4276,4276
1549610414,4786,4786
1549611403,5105,5105
1549617390,5383,5383
1549622904,5631,5631
1549639972,5415,5415
1549641145,5626,5626
1549646439,5341,5341
1549651474,5554,5554
1549693218,4328,4328
1549785378,963,963
1549788029,1249,1249
1549794508,1631,1631
1549799323,1951,1951
1549810094,2422,2422
1549889316,1875,1875
1549893642,2264,2264
1549901062,1829,1829
1549905132,2225,2225
1549908975,2616,2616
1549914757,3050,3050
1549917869,3491,3491
1549920296,3844,3844
1549923871,4246,4246
1549973565,4960,4960
1549977376,5072,5072
1549981713,5077,5077
1549985560,5366,5366
1549990358,5324,5324
1550058966,3361,3361
1550066922,3201,3201
1550070740,3218,3218
1550162898,891,891
1550254334,985,985
1550345540,991,991
1550356099,1645,1645
1550359956,2178,2178
1550376733,2931,2931
1550377709,3358,3358
1550383969,3907,3907
1550417287,4726,4726
1550421133,5181,5181
1550479580,2412,2412
1550488121,2931,2931
1550489073,3358,3358
1550507155,3514,3514
1550512593,3147,3147
1550515938,3632,3632
1550519789,4109,4109
1550569218,4447,4447
1550574041,4802,4802
1550574979,4789,4789
1550575962,4420,4420
1550577387,4686,4686
1550577890,4706,4706
1550578358,5021,5021
1550579293,5361,5361
1550580261,5698,5698
1550581224,5952,5952
1550585790,6225,6225
1550587228,6508,6508
1550590837,6817,6817
1550592016,6977,6977
1550593007,6996,6996
1550594419,6909,6909
