DateTime,AddedIPs,RemovedIPs
1549164738,317,868
1549168123,183,5
1549172444,146,206
1549176765,148,244
1549180114,111,5
1549183961,119,156
1549188758,161,291
1549191877,131,7
1549196183,151,6
1549200764,201,186
1549204591,204,277
1549211558,282,554
1549225237,308,429
1549228131,203,6
1549231236,223,7
1549235078,168,3
1549238176,122,12
1549241546,133,394
1549254970,240,279
1549259800,129,6
1549263642,156,3
1549266248,150,2
1549270360,135,582
1549277553,169,1
1549295769,325,6
1549298209,186,4
1549301570,180,8
1549305131,160,210
1549309019,223,302
1549323162,294,548
1549325078,202,3
1549330107,210,10
1549333961,221,3
1549338756,158,7
1549342360,121,4
1549356496,257,405
1549360340,185,261
1549363718,114,6
1549386019,358,475
1549386990,132,4
1549403561,309,269
1549405952,218,11
1549410270,182,283
1549452264,595,1320
1549457552,181,4
1549461169,204,113
1549463559,143,172
1549467138,174,3
1549471228,233,410
1549475326,234,178
1549478459,188,250
1549481550,169,228
1549539373,496,503
1549540330,140,828
1549542736,148,4
1549557412,324,1136
1549559538,168,6
1549566510,228,6
1549574176,261,12
1549580681,210,4
1549585234,186,4
1549588818,175,6
1549610414,421,675
1549611403,180,146
1549617390,205,132
1549622904,173,180
1549639972,329,274
1549641145,118,9
1549646439,166,7
1549651474,135,169
1549693218,572,1207
1549785378,669,3293
1549788029,120,5
1549794508,218,270
1549799323,184,150
1549810094,307,643
1549889316,674,2700
1549893642,175,4
1549901062,272,181
1549905132,219,231
1549908975,245,217
1549914757,294,556
1549917869,309,7
1549920296,239,6
1549923871,287,7
1549973565,673,2017
1549977376,247,8
1549981713,213,9
1549985560,223,5
1549990358,244,10
1550058966,760,1748
1550066922,435,389
1550070740,236,197
1550162898,781,2417
1550254334,879,3599
1550345540,859,1306
1550356099,537,10
1550359956,410,11
1550376733,669,9
1550377709,273,6
1550383969,430,9
1550417287,735,1676
1550421133,370,9
1550479580,729,9
1550488121,376,5
1550489073,318,13
1550507155,493,749
1550512593,432,285
1550515938,390,323
1550519789,380,323
1550569218,731,1463
1550574041,279,7
1550574979,204,7
1550575962,185,9
1550577387,201,4
1550577890,20,0
1550578358,241,6
1550579293,252,184
1550580261,262,54
1550581224,201,4
1550585790,217,267
1550587228,229,210
1550590837,264,195
1550592016,161,115
1550593007,19,0
1550594419,19,0
1550595371,15,457
1550597790,46,0
1550601159,55,0
1550609078,119,0
1550610521,22,0
1550613401,39,0
1550616998,55,1
1550618679,22,0
1550623471,111,2
1550626118,78,0
1550627048,41,0
1550631636,100,1
1550632833,232,240
1550634744,57,0
1550638593,207,4
1550640517,98,1
1550642917,306,4
1550644838,153,6
1550647480,187,5
1550654052,170,2
1550662808,216,7
1550664503,194,225
1550667882,163,8
1550671459,234,5
1550673158,209,337
1550680382,205,193
1550684423,416,627
1550733608,498,2
1550739158,266,8
1550747084,227,12
1550750169,265,2
1550761009,421,8
1550830098,731,697
1550857218,641,9
1550884838,514,740
1550976500,694,1372
1551035331,774,2455
1551127217,826,2919
1551219114,867,3446
1551222536,401,27
1551249140,750,1624
1551263083,548,673
1551354779,836,3088
1551382337,625,1026
1551383293,382,7
1551387154,330,10
1551402017,622,12
1551407333,469,14
1551411169,330,4
1551480281,778,1347
1551481218,222,6
1551488186,363,8
1551493238,374,740
1551497566,290,6
1551501166,305,3
1551504988,233,5
1551513621,324,5
1551518096,215,2
1551527785,342,8
1551531388,206,7
1551567371,613,9
1551568367,305,7
1551570731,251,5
1551575089,338,4
1551576502,239,4
1551578932,241,7
1551585387,228,706
1551588249,189,2
1551592336,202,4
