DateTime,Entries,UniqueIPs
1548942765,19339,19998
1548947086,19195,19845
1548950449,19196,19849
1548991480,17053,17636
1548996282,16905,17475
1548999168,17086,17666
1549003216,17233,17824
1549006596,17354,17950
1549012360,17353,17946
1549016920,17418,18016
1549022190,17370,17971
1549043798,16611,17159
1549049569,16862,17415
1549053165,16896,17457
1549062030,16861,17426
1549065144,16861,17424
1549075974,16691,17259
1549085081,16621,17181
1549088445,16782,17351
1549092290,16809,17381
1549095877,16822,17396
1549101880,16813,17386
1549104766,16833,17415
1549115562,16689,17257
1549118198,16770,17341
1549131616,16567,17125
1549135721,16635,17204
1549139324,16563,17145
1549142917,16765,17351
1549147241,16683,17266
1549164738,16180,16742
1549168123,16330,16897
1549172444,16267,16831
1549176765,16219,16779
1549180114,16314,16881
1549183961,16295,16864
1549188758,16306,16872
1549191877,16412,16984
1549196183,16525,17105
1549200764,16532,17116
1549204591,16476,17064
1549211558,16288,16878
1549225237,16168,16751
1549228131,16341,16931
1549231236,16540,17137
1549235078,16661,17261
1549238176,16760,17372
1549241546,16584,17190
1549254970,16536,17142
1549259800,16623,17237
1549263642,16733,17349
1549266248,16865,17483
1549270360,16711,17325
1549277553,16803,17417
1549295769,16942,17561
1549298209,17102,17727
1549301570,17257,17890
1549305131,17188,17814
1549309019,17163,17780
1549323162,17068,17685
1549325078,17258,17878
1549330107,17412,18045
1549333961,17602,18236
1549338756,17713,18356
1549342360,17804,18451
1549356496,17648,18288
1549360340,17657,18294
1549363718,17745,18388
1549386019,17564,18195
1549386990,17691,18329
1549403561,17638,18275
1549405952,17842,18499
1549410270,17805,18467
1549452264,17197,17822
1549457552,17333,17962
1549461169,17394,18023
1549463559,17396,18027
1549467138,17540,18174
1549471228,17373,17996
1549475326,17430,18056
1549478459,17384,18008
1549481550,17354,17982
1549540330,16659,17257
1549542736,16790,17392
1549557412,16262,16837
1549559538,16416,16996
1549566510,16593,17180
1549574176,16797,17397
1549580681,16950,17553
1549585234,17097,17705
1549588818,17233,17845
1549610414,16810,17403
1549611403,16883,17479
1549617390,16921,17526
1549622904,16907,17515
1549639972,16950,17563
1549641145,17069,17693
1549646439,17205,17837
1549651474,17177,17811
1549693218,16455,17070
1549785378,14163,14656
1549788029,14264,14762
1549794508,14223,14713
1549799323,14244,14734
1549810094,13941,14408
1549889316,12202,12617
1549893642,12345,12766
1549901062,12420,12844
1549905132,12411,12835
1549908975,12426,12853
1549914757,12298,12714
1549917869,12581,13006
1549920296,12814,13248
1549923871,13077,13521
1549973565,11775,12183
1549977376,11973,12392
1549981713,12139,12567
1549985560,12315,12751
1549990358,12499,12946
1550058966,11635,12013
1550066922,11630,11994
1550070740,11665,12025
1550162898,10276,10657
1550254334,7873,8163
1550345540,7785,8067
1550356099,8148,8443
1550359956,8495,8803
1550376733,8873,9191
1550377709,9144,9468
1550383969,9459,9791
1550417287,8776,9098
1550421133,9094,9425
1550479580,9346,9688
1550488121,9580,9926
1550489073,9890,10251
1550507155,9490,9834
1550512593,9590,9930
1550515938,9677,10013
1550519789,9722,10059
1550569218,8998,9312
1550574041,9224,9546
1550574979,9432,9762
1550575962,9621,9960
1550577387,9833,10179
1550578358,10110,10483
1550579293,10189,10565
1550580261,10431,10814
1550581224,10637,11048
1550585790,10586,11000
1550587228,10620,11038
1550590837,10689,11104
1550632833,10724,11138
1550638593,10963,11382
1550642917,11239,11662
1550644838,11429,11858
1550647480,11631,12067
1550654052,11819,12258
1550662808,12043,12490
1550664503,12025,12472
1550667882,12202,12658
1550671459,12447,12908
1550673158,12317,12778
1550680382,12317,12770
1550739158,12591,13055
1550747084,12834,13310
1550761009,13062,13546
1550830098,13071,13483
1550857218,13306,13725
1550884838,13219,13635
1550976500,12573,12958
1551035331,11456,11794
1551127217,9856,10149
1551219114,7347,7519
1551222536,7707,7885
1551249140,7230,7402
1551263083,6863,7034
1551354779,4757,4859
1551382337,4729,4834
1551383293,5108,5220
1551387154,5423,5548
1551402017,5745,5882
1551407333,6091,6243
1551411169,6367,6523
1551480281,6045,6189
1551481218,6265,6416
1551488186,6521,6679
1551493238,6529,6685
1551497566,6764,6928
1551501166,7018,7185
1551504988,7224,7396
1551513621,7438,7614
1551518096,7621,7799
1551527785,7818,8005
1551531388,8003,8199
1551567371,8269,8471
1551568367,8569,8777
1551570731,8815,9029
1551575089,9088,9306
1551576502,9324,9546
1551578932,9541,9769
1551585387,9480,9712
1551588249,9654,9888
1551592336,9828,10066
1551661942,9815,10051
1551730345,10126,10369
1551810032,10067,10311
1551868833,9137,9370
1551896170,9365,9608
1551988817,8933,9158
1552078954,8201,8413
1552128493,6555,6705
1552187533,4574,4678
1552279474,3595,3670
1552284535,3898,3978
1552318361,4172,4261
1552344967,4106,4198
1552425372,4108,4207
1552427074,4422,4525
1552434514,4677,4792
1552440020,4958,5092
1552480810,4937,5075
1552497639,5208,5355
1552500524,5456,5609
1552504845,5406,5555
1552510606,5606,5759
1552530258,5846,6001
1552532920,6051,6206
1552536989,6253,6410
1552540354,6463,6625
1552545634,6657,6830
1552548510,6861,7046
1552552106,7036,7224
1552555473,7229,7423
1552559795,7400,7594
1552563163,7579,7780
1552567231,7737,7939
1552588570,7913,8122
1552589553,8085,8307
1552592437,8233,8463
1552599159,8088,8315
1552602250,8261,8494
1552606363,8411,8646
1552628169,8606,8842
1552638760,8820,9058
1552641643,9006,9251
1552645247,9172,9419
1552648130,9348,9598
1552651478,9498,9749
1552655323,9697,9952
1552659378,9862,10122
1552663484,10042,10310
1552666817,10223,10494
1552684127,10138,10402
1552690504,10314,10583
1552696831,10482,10757
1552700437,10674,10954
1552711453,10848,11132
1552733301,10783,11069
1552734255,10943,11233
1552737637,11122,11420
1552742204,11277,11580
1552745798,11432,11742
1552748937,11615,11934
1552751813,11786,12110
1552756124,11966,12307
1552760443,12137,12493
1552801697,12123,12475
1552804356,12283,12644
1552821370,12449,12820
1552826428,12607,12986
1552830996,12766,13153
1552835310,12935,13336
1552842513,13121,13536
1552845388,13276,13706
1552867232,13422,13861
1552873228,13577,14021
1552876831,13725,14174
1552894579,13468,13917
1552901562,13629,14082
1552909692,13770,14230
1552944496,13749,14213
1552978089,13754,14207
1552979084,13901,14360
1552981451,14055,14519
1552984351,14211,14678
1552987228,14366,14841
1552997783,14519,14999
1553006897,14679,15169
1553010269,14837,15333
1553014110,14975,15477
1553041697,14575,15047
1553048909,14526,14995
1553082252,14703,15178
1553083731,14850,15332
1553089231,14864,15351
1553094990,15008,15504
1553103393,15006,15496
1553194574,12754,13168
1553200107,12778,13193
1553213336,12478,12883
1553217172,12596,13015
1553220044,12786,13213
1553222670,12939,13373
1553225560,13110,13548
1553236112,13125,13564
1553239206,13216,13662
1553247376,13091,13536
1553257939,12836,13275
1553261054,12781,13224
1553264414,12771,13215
1553271892,12558,12998
1553275226,12753,13196
1553288436,12897,13359
1553310507,12464,12918
1553316770,12482,12933
1553358621,11588,11980
1553367368,11379,11741
1553370272,11530,11898
1553374594,11679,12051
1553377210,11853,12236
1553381078,11985,12381
1553383959,12138,12539
1553388986,12267,12676
1553410834,12130,12529
1553413713,12290,12699
1553415639,12455,12872
1553418522,12609,13031
1553421150,12754,13182
1553424031,12922,13358
1553425975,13074,13516
1553427873,13047,13486
1553429531,13182,13625
1553431955,13145,13592
1553437717,13135,13586
1553440603,13080,13525
1553445739,13187,13644
1553449955,13119,13577
1553458123,13075,13526
1553462199,13222,13677
1553464861,13349,13813
1553507552,12697,13131
1553549303,12550,12982
1553554835,12727,13164
1553581711,12898,13347
1553586040,12752,13198
1553590844,12599,13034
1553595162,12592,13019
1553605729,12609,13036
1553610526,12778,13212
1553615317,12614,13039
1553619401,12596,13020
1553622999,12759,13190
1553627534,12922,13355
1553629962,13068,13507
1553632361,13246,13696
1553635237,13387,13843
1553684913,13232,13675
1553692609,13067,13507
1553698337,13093,13531
1553705078,13135,13562
1553707957,13272,13716
1553711567,13255,13703
1553715162,13393,13852
1553719488,13517,13985
1553721634,13660,14134
1553723297,13825,14310
1553726935,13984,14476
1553727854,14113,14609
1553731287,14216,14717
1553813119,14172,14672
1553835612,13684,14153
1553852892,13432,13884
1553854572,13567,14022
1553861319,13731,14192
1553878347,13342,13784
1553946987,12867,13282
1553951531,13029,13450
1553956101,13192,13624
1553958537,13342,13782
1553961396,13487,13938
1553964992,13519,13971
1553968593,13671,14133
1553986335,13170,13602
1553988746,13326,13764
1553991168,13320,13760
1553994258,13324,13771
1553996922,13493,13947
1553999553,13651,14112
1554002438,13810,14280
1554004590,13953,14426
1554007723,14095,14575
1554014669,14232,14725
1554017555,14246,14749
1554025473,13977,14465
1554032678,13516,13980
1554036268,13486,13952
1554039158,13511,13978
1554042499,13660,14136
1554045625,13483,13953
1554048039,13659,14136
1554052110,13677,14145
1554058841,13654,14117
1554062521,13774,14249
1554064361,13729,14204
1554068434,13683,14158
1554072046,13648,14124
1554078508,13786,14269
1554082118,13930,14415
1554085695,14052,14544
1554089220,14197,14699
1554092432,14350,14857
1554095317,14492,15010
1554098202,14613,15148
1554101081,14754,15296
1554103968,14871,15433
1554107562,15026,15599
1554110435,15153,15732
1554113278,15130,15701
1554115952,15267,15841
1554118834,15398,15974
1554121939,15540,16118
1554125562,15665,16263
1554128428,15794,16402
1554145230,15908,16528
1554163988,15754,16364
1554168282,15891,16505
1554195614,15795,16399
1554254900,14335,14866
1554259235,14506,15040
1554263077,14669,15207
1554270770,14813,15358
1554281562,14997,15550
1554295226,15008,15566
1554300044,14997,15559
1554301686,15127,15703
1554305545,15112,15690
1554318382,14846,15415
1554387152,14006,14542
1554408031,14162,14708
1554411387,14298,14850
1554414748,14435,15010
1554418619,14396,14972
1554421227,14538,15117
1554426533,14693,15278
1554429635,14833,15429
1554433721,14963,15572
1554436848,15144,15754
1554441379,15133,15735
1554446676,15278,15883
1554449570,15425,16045
1554451480,15563,16193
1554454118,15704,16348
1554456276,15851,16511
1554459885,15723,16375
1554463229,15887,16546
1554465387,16058,16720
1554468029,16084,16739
1554471397,16251,16917
1554474281,16419,17089
1554477881,16589,17264
1554482194,16788,17471
1554485553,16805,17491
1554488436,17003,17691
1554493934,17172,17863
1554496818,17301,17998
1554499959,17455,18158
1554505024,17610,18321
1554508881,17769,18486
1554510756,17925,18648
1554528742,18079,18809
1554530175,18257,18996
1554532343,18435,19182
1554536430,18566,19323
1554540259,18710,19473
1554542414,18872,19640
1554545794,19051,19826
1554624969,17005,17643
1554652345,16456,17047
1554694109,15209,15742
1554695055,15376,15920
1554699400,15398,15944
1554709963,15005,15510
1554718595,14745,15237
1554721244,14769,15257
1554724121,14788,15275
1554726518,14982,15474
1554729382,15011,15498
1554732758,15042,15519
1554735872,15013,15484
1554739712,15200,15676
1554744030,15394,15872
1554754826,15422,15893
1554756992,15605,16081
1554769240,15616,16087
1554786524,15624,16089
1554791557,15794,16259
1554795875,15950,16419
1554798756,16151,16622
1554801633,16187,16652
1554803784,16400,16870
