DateTime,AddedIPs,RemovedIPs
1548942765,460,460
1548947086,469,469
1548950449,442,442
1548991480,463,463
1548996282,456,456
1548999168,415,415
1549003216,437,437
1549006596,397,397
1549012360,356,356
1549016920,404,404
1549022190,406,406
1549043798,411,411
1549049569,474,474
1549053165,483,483
1549062030,449,449
1549065144,415,415
1549075974,392,392
1549085081,415,415
1549088445,399,399
1549092290,411,411
1549095877,370,370
1549101880,373,373
1549104766,361,361
1549115562,423,423
1549118198,492,492
1549131616,466,466
1549135721,485,485
1549139324,484,484
1549142917,476,476
1549147241,488,488
1549164738,449,449
1549168123,443,443
1549172444,417,417
1549176765,301,301
1549180114,315,315
1549183961,289,289
1549188758,298,298
1549191877,362,362
1549196183,350,350
1549200764,437,437
1549204591,435,435
1549211558,463,463
1549225237,479,479
1549228131,463,463
1549231236,477,477
1549235078,466,466
1549238176,326,326
1549241546,319,319
1549254970,342,342
1549259800,287,287
1549263642,294,294
1549266248,377,377
1549270360,364,364
1549277553,284,284
1549295769,397,397
1549298209,428,428
1549301570,468,468
1549305131,452,452
1549309019,476,476
1549323162,479,479
1549325078,477,477
1549330107,469,469
1549333961,473,473
1549338756,449,449
1549342360,367,367
1549356496,333,333
1549360340,421,421
1549363718,414,414
1549386019,426,426
1549386990,474,474
1549403561,471,471
1549405952,491,491
1549410270,484,484
1549452264,484,484
1549457552,480,480
1549461169,469,469
1549463559,459,459
1549467138,443,443
1549471228,483,483
1549475326,439,439
1549478459,486,486
1549481550,474,474
1549540330,472,472
1549542736,473,473
1549557412,380,380
1549559538,421,421
1549566510,454,454
1549574176,428,428
1549580681,484,484
1549585234,433,433
1549588818,416,416
1549610414,411,411
1549611403,484,484
1549617390,437,437
1549622904,400,400
1549639972,437,437
1549641145,471,471
1549646439,434,434
1549651474,457,457
1549693218,420,420
1549785378,428,428
1549788029,279,279
1549794508,381,381
1549799323,402,402
1549810094,437,437
1549889316,435,435
1549893642,398,398
1549901062,446,446
1549905132,475,475
1549908975,442,442
1549914757,472,472
1549917869,485,485
1549920296,467,467
1549923871,487,487
1549973565,486,486
1549977376,447,447
1549981713,448,448
1549985560,385,385
1549990358,393,393
1550058966,447,447
1550066922,487,487
1550070740,484,484
1550162898,480,480
