DateTime,AddedIPs,RemovedIPs
1552525229,0,2
1552528834,1,1
1552536031,2,1
1552539634,1,0
1552543236,0,2
1552546842,0,1
1552550440,2,0
1552554029,0,1
1552557627,1,4
1552564837,1,0
1552568440,1,1
1552582832,0,1
1552586427,0,2
1552590033,0,3
1552593628,1,4
1552597238,2,2
1552600839,3,3
1552604423,0,4
1552608042,1,0
1552611627,1,0
1552615240,1,0
1552618835,1,1
1552622430,1,0
1552626035,1,1
1552629639,1,2
1552633242,0,2
1552640425,1,0
1552644039,0,1
1552647633,0,1
1552651237,0,3
1552654832,1,1
1552658455,0,6
1552669233,0,1
1552676431,0,1
1552680040,1,1
1552687252,2,0
1552698032,13,1
1552701631,10,0
1552705248,0,1
1552708828,1,1
1552716043,1,0
1552719635,1,1
1552726829,1,0
1552734026,3,1
1552737636,0,1
1552741232,2,1
1552744838,0,1
1552762836,1,2
1552777243,1,0
1552780836,0,18
1552784440,0,8
1552788030,0,2
1552791630,1,1
1552795238,5,0
1552798833,1,0
1552802434,1,0
1552806039,3,0
1552809634,0,1
1552813230,1,0
1552816849,1,0
1552827636,1,0
1552831232,0,1
1552838436,2,1
1552845630,6,0
1552849242,1,0
1552852836,1,0
1552856428,1,0
1552860027,1,3
1552863635,3,0
1552867248,1,0
1552881646,0,2
1552896043,1,1
1552903232,4,2
1552906840,1,1
1552910442,2,0
1552914036,0,1
1552917638,1,0
1552921239,1,0
1552928437,1,0
1552932047,2,1
1552939246,0,1
1552946436,1,4
1552950035,1,2
1552953636,0,3
1552957236,1,0
1552964431,24,2
1552968044,0,1
1552971641,0,1
1552975241,1,1
1552978841,1,0
1552989650,3,0
1552996839,0,1
1553000430,1,0
1553004034,1,1
1553007638,2,1
1553014836,2,0
1553018449,2,0
1553022028,0,1
1553025633,0,1
1553029232,2,1
1553032840,1,0
1553040045,1,5
1553043639,0,23
1553047233,1,1
1553050825,1,1
1553058044,1,1
1553065231,2,1
1553072500,1112,0
1553076092,0,1
1553083285,0,2
1553086889,0,1
1553097694,0,1
1553104887,0,1
1553108489,0,1
1553112091,2,0
1553115687,0,2
1553119291,2,1
1553122893,1,1
1553133682,1,1
1553137290,1,1
1553140885,2,2
1553144491,1,0
1553148087,4,0
1553151685,2,0
1553155286,2,0
1553162489,2,1
1553169677,1,4
1553173293,2,0
1553176882,1,0
1553184084,1,1
1553187678,1,0
1553191288,2,2
1553194892,0,1
1553198483,1,5
1553202082,1,5
1553205702,1,5
1553209286,1,3
1553212887,0,2
1553216492,1,1
1553220095,1,0
1553223693,24,0
1553227295,1,1
1553230896,1,0
1553234490,1,0
1553245291,0,1
1553248891,1,0
1553252489,1,1
1553256091,1,1
1553259704,0,2
1553263290,1,1
1553266899,1,0
1553284881,2,1
