DateTime,AddedIPs,RemovedIPs
1551988842,1,33
1551992434,1,0
1551996039,2,1
1551999626,1,0
1552003241,1,3
1552006838,2,2
1552010445,1,1
1552014047,1,1
1552017636,0,1
1552021228,2,1
1552024844,5,0
1552028446,4,1
1552032045,1,3
1552035635,1,1
1552039238,0,2
1552042832,2,0
1552050047,0,2
1552053642,3,0
1552057234,1,2
1552060835,2,3
1552071653,1,0
1552075238,0,3
1552078836,0,3
1552082437,2,1
1552086043,1,1
1552089631,2,0
1552093237,2,2
1552100442,4,2
1552104043,0,6
1552107638,1,1
1552114846,2,2
1552118449,0,3
1552122032,0,1
1552125645,0,2
1552129237,2,0
1552132846,1,0
1552136441,1,0
1552147228,3,5
1552158029,0,5
1552161632,1,0
1552176046,21,1
1552179642,4,0
1552183241,1,6
1552186833,0,2
1552190442,0,6
1552194042,0,5
1552197647,0,8
1552201239,0,9
1552204838,1,0
1552230036,1,0
1552233637,1,0
1552240842,1,0
1552248029,0,20
1552255237,3,0
1552262428,0,23
1552266033,0,2
1552269635,1,0
1552273235,0,1
1552276839,0,1
1552280427,0,7
1552294826,1,0
1552298435,1,1
1552309238,1,1
1552312834,0,45
1552316428,1,2
1552323633,1,0
1552327228,1,2
1552330854,0,2
1552338034,3,1
1552341629,1,0
1552348836,1,0
1552356059,1,3
1552363224,0,2
1552366822,0,5
1552370424,1,1
1552374030,0,3
1552377621,0,1
1552381229,1,0
1552384842,0,5
1552388436,1,0
1552395622,0,2
1552399241,1,1
1552406455,1,2
1552410027,1,2
1552413629,0,1
1552417242,1,1
1552420838,1,2
1552424430,1,0
1552431632,0,1
1552435236,4,0
1552438842,23,1
1552442437,0,2
1552446029,1,2
1552449633,0,1
1552453240,1,1
1552460434,0,2
1552464033,0,1
1552471240,1,1
1552474835,0,1
1552478436,0,6
1552482028,0,1
1552485644,0,1
1552496433,0,1
1552500030,1,9
1552503626,1,0
1552510825,1,2
1552521637,0,25
1552525222,0,2
1552528829,1,1
1552536032,2,1
1552539637,1,0
1552543226,0,1
1552546833,0,1
1552554031,0,1
1552557623,0,3
1552564827,1,0
1552568431,1,1
1552582827,0,1
1552590027,0,1
1552597238,0,1
1552600823,2,0
1552604419,0,1
1552611623,1,0
1552615227,1,0
1552618825,1,1
1552626034,0,1
1552629640,1,2
1552633228,0,2
1552640423,1,0
1552644034,0,1
1552647621,0,1
1552651237,0,3
1552654831,1,1
1552658448,0,5
1552676426,0,1
1552680040,1,1
1552687251,1,0
1552698022,13,1
1552701631,10,0
1552705248,0,1
1552708829,1,0
1552716043,1,0
1552719635,1,1
1552726821,1,0
1552734030,2,1
1552737628,0,1
1552741228,1,0
1552762833,0,1
1552777242,1,0
1552780830,0,18
1552784429,0,6
1552788027,0,1
1552802429,1,0
1552809628,0,1
1552813228,1,0
1552816836,1,0
1552838428,0,1
1552849237,1,0
1552856428,1,0
1552860031,1,3
1552863635,2,0
1552896033,1,1
1552903233,1,1
1552906833,0,1
1552910432,2,0
1552914035,0,1
1552921233,1,0
1552932046,0,1
1552939246,0,1
1552946430,1,3
1552950034,1,2
1552957226,1,0
1552964430,24,1
1552975228,0,1
1552989633,1,0
1553000435,1,0
1553004028,1,1
1553007627,1,0
1553018438,2,0
1553022023,0,1
1553025631,0,1
1553029231,1,1
1553032833,1,0
1553040035,1,4
1553043634,0,22
1553047230,1,0
1553050823,1,1
1553058036,0,1
1553065230,1,1
1553076040,0,1
1553083230,0,1
1553086826,0,1
1553097636,0,1
1553108431,0,1
1553112038,1,0
1553115631,0,2
1553119231,2,1
1553122839,0,1
1553133637,0,1
1553140830,0,2
1553151642,2,0
1553169619,0,1
1553173228,1,0
1553191222,1,0
1553198425,1,1
1553202024,0,1
1553205619,1,2
1553209229,1,1
1553212830,0,1
1553216427,1,1
1553220067,1,0
1553223630,24,0
1553227235,1,1
1553245239,0,1
1553248833,1,0
1553252430,1,0
1553256032,1,0
1553263231,0,1
1553266834,1,0
1553284826,1,1
1553292035,1,3
1553295632,0,1
1553299229,1,0
1553302831,2,15
1553306426,1,9
1553313631,0,1
1553324422,0,1
1553331621,2,1
1553335226,1,0
1553338821,0,1
1553346018,1,1
1553349625,0,1
1553353221,1,0
1553382032,0,1
1553396421,1,0
1553407223,0,1
1553410828,0,1
1553414428,0,1
1553418037,0,1
1553425236,2,0
1553436019,1,1
1553454037,0,1
1553461233,0,1
1553464828,1,2
1553468439,0,1
1553472035,1,0
1553479231,1,0
1553486431,21,0
1553508027,1,1
1553518821,1,0
1553526024,1,1
1553544026,1,1
1553547628,0,1
1553554820,0,1
1553558425,2,0
1553562037,1,0
1553569220,0,22
1553576420,1,0
1553580024,0,1
1553583633,1,0
1553587218,1,0
1553594419,0,1
1553601621,0,1
1553605218,0,1
1553612420,4,0
1553616029,3,1
1553626826,1,0
1553630426,1,2
1553634031,1,0
1553637626,3,0
1553644825,2,1
1553648424,2,1
1553652032,0,3
1553655639,0,1
1553659221,2,2
1553662823,1,1
1553670028,2,2
1553673624,0,1
1553677227,2,0
1553680827,2,0
1553684427,0,1
1553688032,1,1
1553695234,2,0
1553698839,0,1
1553706027,2,0
1553717162,2,2
1553727966,1,1
1553731561,1,0
1553738783,24,1
1553745982,1,1
1553753182,2,0
1553756789,0,1
1553763981,1,0
1553774785,1,1
1553778382,0,1
1553781981,1,1
1553785580,5,1
1553792785,1,0
1553796388,1,1
1553799987,3,0
1553803590,2,0
1553807194,2,0
1553817994,1,0
1553825194,2,1
1553828778,0,23
1553843176,0,1
1553846792,2,0
1553850387,0,1
1553853981,0,1
1553857582,0,1
1553864778,0,1
1553868374,0,1
1553871973,1,2
1553875570,0,2
1553889972,0,1
1553893573,0,1
1553897172,1,0
1553900771,1,1
1553907969,0,2
1553911589,28,1
1553918796,1,0
1553929594,1,0
1553936796,0,1
1553943990,0,1
1553951182,0,5
1553954780,0,2
1553958378,0,1
1553965577,0,2
1553976377,0,1
1553990776,0,1
1554001575,0,2
1554008778,1,0
1554012378,1,0
1554023175,1,2
1554026779,2,0
1554030375,0,1
1554037578,1,0
1554041184,2,0
1554044788,11,0
1554048397,12,0
1554052004,12,0
1554055618,7,2
1554059212,1,0
1554062823,2,0
1554066417,1,0
1554070014,1,2
1554073620,2,0
1554077225,19,0
1554080827,4,0
1554084427,3,1
1554088031,1,0
1554091604,2,26
1554095206,1,0
1554098810,1,0
1554102409,1,0
1554106016,2,0
1554109614,2,0
1554113229,1,5
1554116820,1,2
1554124018,1,2
1554134825,1,0
1554138423,1,0
1554142094,44,0
1554149300,1,0
1554156493,0,1
1554160095,1,1
1554163694,2,1
1554167296,1,1
1554170899,1,0
1554174495,0,2
1554178095,0,2
1554181690,1,2
1554185296,1,3
1554188892,0,1
1554192489,1,2
1554196088,2,0
1554199691,2,1
1554203291,4,0
1554206897,0,2
1554210487,0,1
1554214092,1,0
1554217679,0,2
1554221280,0,2
1554228482,1,0
1554232084,1,1
1554235683,0,1
1554239294,2,0
1554242890,1,1
1554246491,1,0
1554253689,0,1
1554260885,1,1
1554264506,23,1
1554268113,0,1
1554271709,1,0
1554275309,2,2
1554282511,1,2
1554286105,0,2
1554289710,1,1
1554293297,0,2
1554300496,2,2
1554311292,0,4
1554314923,26,0
1554318514,1,0
1554322116,1,1
1554329316,1,1
1554336517,0,2
1554343693,0,23
1554347300,2,0
1554350896,1,1
1554358096,1,3
1554361698,1,0
