DateTime,AddedIPs,RemovedIPs
1552730664,0,1
1552734247,0,1
1552737841,1,5
1552741430,1,0
1552745046,1,0
1552748634,0,1
1552752252,1,3
1552755858,2,0
1552759441,4,1
1552763028,4,7
1552766646,3,1
1552770236,8,1
1552773832,1,3
1552777480,1,3
1552781044,2,0
1552784638,0,2
1552788226,1,0
1552791837,0,2
1552795446,1,1
1552799053,1,0
1552802660,2,0
1552806278,1,0
1552817039,1,2
1552820642,0,1
1552824255,1,0
1552827827,1,0
1552831456,2,0
1552838657,1,3
1552842244,1,1
1552849437,1,0
1552853054,1,0
1552856635,1,0
1552860232,4,2
1552863872,0,1
1552867498,1,1
1552871077,0,1
1552874676,2,4
1552878284,3,4
1552881877,1,1
1552885456,0,1
1552889050,1,0
1552896243,1,1
1552899850,0,1
1552903455,1,0
1552907040,1,1
1552910679,2,0
1552914255,0,1
1552917866,0,5
1552921432,1,0
1552925048,1,0
1552928654,5,0
1552932251,1,0
1552935851,3,2
1552939454,2,1
1552943044,1,0
1552946630,1,2
1552950255,2,0
1552953825,0,5
1552957438,2,3
1552961043,0,1
1552964644,1,1
1552968232,0,2
1552971841,1,1
1552975462,0,1
1552982654,0,1
1552986247,1,2
1552989851,1,3
1552993419,1,0
1552997087,1,0
1553004238,1,1
1553007869,0,2
1553011428,0,2
1553015025,1,1
1553018667,0,1
1553025846,3,0
1553029447,3,1
1553033038,2,3
1553036646,1,0
1553040241,2,2
1553043859,0,1
1553047436,0,3
1553051017,1,1
1553058251,0,2
1553061857,0,1
1553065464,0,1
1553069044,0,3
1553072625,0,2
1553076233,1,8
1553079824,0,1
1553083438,1,4
1553087035,0,1
1553094249,4,0
1553097842,3,1
1553101468,2,0
1553105055,2,2
1553108634,1,0
1553112241,3,0
1553115851,4,0
1553119433,0,1
1553123049,4,0
1553126636,1,3
1553130251,1,0
1553133833,2,3
1553137444,1,1
1553141040,0,3
1553151875,0,1
1553155453,1,2
1553159053,0,2
1553162640,1,1
1553166243,3,1
1553169823,1,0
1553173456,1,1
1553177051,0,1
1553180658,3,0
1553184232,1,1
1553187841,1,0
1553191450,1,3
1553195040,1,0
1553198658,3,0
1553205840,2,0
1553209458,3,1
1553213046,1,4
1553216655,2,1
1553220276,3,1
1553223878,3,0
1553227459,0,1
1553231061,1,4
1553241861,1,0
1553245464,0,2
1553249058,0,2
1553256272,0,1
1553263439,1,1
1553270641,3,2
1553274258,1,0
1553277837,0,2
1553281446,0,2
1553285034,1,1
1553288653,1,1
1553292221,2,2
1553295830,1,1
1553299440,8,1
1553303037,3,1
1553306650,1,0
1553310247,0,1
1553313863,0,1
1553328230,2,3
1553339040,1,0
1553346235,0,1
1553349855,1,2
1553353443,1,1
1553357056,1,0
1553360655,3,2
1553364199,0,2
1553367840,0,1
1553371448,0,3
1553375044,0,2
1553378640,1,0
1553382257,1,0
1553385821,4,0
1553393045,2,1
1553396640,4,0
1553400248,0,4
1553403848,1,1
1553407438,0,1
1553411048,2,1
1553418264,1,3
1553421862,3,1
1553425426,1,0
1553429035,1,0
1553432658,1,0
1553436241,1,0
1553443444,1,1
1553447058,1,0
1553450684,2,1
1553454261,1,2
1553457840,1,1
1553461480,3,1
1553465065,0,2
1553468644,0,1
1553472273,2,1
1553475860,2,1
1553479462,1,2
1553483056,2,1
1553490243,1,1
1553493843,0,1
1553497446,1,0
1553501045,0,1
1553504622,0,2
1553508256,1,0
1553511832,1,1
1553515439,0,3
1553522660,4,0
1553526235,1,0
1553529837,2,1
1553533435,1,3
1553537064,1,0
1553544243,0,1
1553547818,1,3
1553551448,2,1
1553555048,3,3
1553558638,1,1
1553562230,1,0
1553565830,1,0
1553569442,1,2
1553573037,0,1
1553576626,1,1
1553580236,1,1
1553587428,1,0
1553598230,1,0
1553601842,6,2
1553605492,2,2
1553609036,0,2
1553612623,1,0
1553616236,1,1
1553627039,1,0
1553630631,1,1
1553634252,1,0
1553637837,2,0
1553641448,0,1
1553645049,0,2
1553648624,4,2
1553652202,2,1
1553655837,1,1
1553659433,8,1
1553663059,12,1
1553666659,13,1
1553670238,10,0
1553673869,9,0
1553677460,6,2
1553681050,1,0
1553684692,0,1
1553688282,1,2
1553691898,2,0
1553695475,1,2
1553699032,3,0
1553702660,1,0
1553709877,1,0
1553714139,1,3
1553717955,0,3
1553721556,3,3
1553725058,2,0
1553728654,1,2
1553732255,1,1
1553735857,1,1
1553739451,0,2
1553743046,2,0
1553746648,0,2
1553753839,4,4
1553757450,2,3
1553761044,1,6
1553764655,2,1
1553768240,0,2
1553771842,1,1
1553775435,0,1
1553779142,0,1
1553786232,2,2
1553789830,1,0
1553793427,0,1
1553797018,0,4
1553804214,1,0
1553807938,1,0
1553811436,3,0
1553815153,1,3
1553818632,1,0
1553822231,3,3
1553825821,1,4
1553829421,2,1
1553833013,1,2
1553836744,1,0
1553840220,2,0
1553843827,2,3
1553851024,1,3
1553854613,0,1
1553861815,2,0
1553865505,1,1
1553869012,1,1
1553872620,1,1
1553876228,2,1
1553879928,0,1
1553883424,2,1
1553887030,1,2
1553890636,4,0
1553897833,2,1
1553901442,4,0
1553905049,1,3
1553908639,1,4
1553912344,1,1
1553915849,2,3
1553919453,1,2
1553923128,0,1
1553930241,1,0
1553933854,2,0
1553937457,1,0
1553944750,0,2
1553948251,0,1
1553955451,1,0
1553959043,0,2
1553962645,1,2
1553966246,1,0
1553969851,2,0
1553973453,2,1
1553977170,0,2
1553984274,2,0
1553987863,0,2
1553991473,0,2
1553995052,0,1
1553998649,1,3
1554002243,1,1
1554009525,0,2
1554016632,0,1
1554027441,2,1
1554031039,1,0
1554034737,1,1
1554038312,0,2
1554041836,1,1
1554045432,1,0
1554049032,1,2
1554056233,0,1
1554059847,1,0
1554067042,1,0
1554070635,0,1
1554074238,3,1
1554077845,2,3
1554081439,1,1
1554085039,2,0
1554088756,1,0
1554092352,1,0
1554099447,0,4
1554103041,2,2
1554106636,0,2
1554110237,1,1
1554121196,31,1
1554124827,118,2
1554128442,25,4
1554132045,3,1
1554135660,3,1
1554139333,0,2
1554142855,0,1
1554146451,1,1
1554150158,1,1
1554153641,1,3
1554157243,3,3
1554160853,3,0
1554164565,6,3
1554168061,1,1
1554171659,1,0
1554175264,0,1
1554178954,0,1
1554182452,0,1
1554186065,4,2
1554193257,0,1
1554196868,2,0
1554200470,1,0
1554207681,1,4
1554211247,2,4
1554214866,1,0
1554218449,2,3
1554222057,1,0
1554225665,1,0
1554229254,0,1
1554232864,2,1
1554236474,3,1
1554240165,3,1
1554243665,2,2
1554247269,1,0
1554250870,3,1
1554254462,0,2
1554258076,4,0
1554261678,0,3
1554265432,0,8
1554268864,0,6
1554272447,0,21
1554276029,1,25
1554279628,0,3
1554283220,0,1
1554286817,1,0
1554290492,2,0
1554294027,1,3
1554297620,2,3
1554301205,2,2
1554308402,0,2
1554311999,0,2
1554315663,66,0
1554319252,2,0
1554322865,0,3
1554326442,3,3
1554330033,0,3
1554333624,0,3
1554337223,1,0
1554340946,2,0
1554344431,3,1
1554348037,1,1
1554351653,3,0
1554355248,1,2
1554358840,1,2
1554362442,0,1
1554366051,1,0
1554369641,1,1
1554373240,2,0
1554376837,0,2
1554380449,2,0
1554387638,0,1
1554391338,3,0
1554398436,1,0
1554402043,2,0
1554405659,3,0
1554409266,1,1
1554412840,2,4
1554416458,2,0
1554420049,0,1
1554423639,0,1
1554427243,1,0
1554430842,2,1
1554438067,1,0
1554441729,1,1
1554445237,0,1
1554456037,1,4
1554459624,0,2
1554470427,1,0
1554474036,0,2
1554477635,1,0
1554484835,2,0
1554487875,0,2
1554491632,5,2
1554495052,3,2
1554498642,1,1
1554502249,4,1
1554509442,3,1
1554516652,0,5
1554523840,2,3
1554527443,3,0
1554531040,0,1
1554538240,0,3
1554541841,0,1
1554552640,0,5
1554559841,1,0
1554567037,2,1
1554570642,1,0
1554574242,2,1
1554581436,2,2
1554585040,0,1
1554588647,1,1
1554595837,2,1
1554599440,3,1
1554603046,2,0
1554610237,0,1
1554617443,0,1
1554624643,2,1
1554631836,0,4
1554642633,0,1
1554646233,0,1
1554653438,4,2
1554657041,1,0
1554660649,2,0
1554667836,1,2
1554671435,1,1
1554675038,1,1
1554682243,1,2
1554696640,1,5
1554700236,2,0
1554703837,12,1
1554711033,7,4
1554714642,2,1
1554718241,1,1
1554725424,2,25
1554728977,1,91
1554732550,2,28
1554736330,0,3
1554739743,1,1
1554743342,1,0
1554754144,1,4
1554757746,0,1
1554761345,0,1
1554765128,1,4
1554768540,4,1
1554772143,1,1
1554775738,0,1
1554782938,2,2
1554790133,0,4
1554793925,2,1
1554797334,1,2
1554800930,1,1
1554804531,0,1
1554811731,2,0
1554815329,2,3
1554818927,1,1
1554826132,1,1
1554829737,3,0
1554833341,2,0
1554840533,2,4
1554844138,2,1
1554847740,0,3
1554854931,2,5
1554858532,1,1
1554862122,2,7
1554865915,1,0
1554869325,1,1
1554876637,2,0
1554880272,1,1
1554890932,0,1
