DateTime,AddedIPs,RemovedIPs
1552921700,5,4
1552925317,3,3
1552928920,3,7
1552932518,2,3
1552936119,3,4
1552939727,1,3
1552943327,2,7
1552946925,3,3
1552950519,6,2
1552954117,2,2
1552957718,4,1
1552961328,9,2
1552964921,11,0
1552968516,12,7
1552972112,30,2
1552975701,36,4
1552979305,39,2
1552982924,21,4
1552986497,26,1
1552990108,32,3
1552993687,48,2
1552997301,48,1
1553000896,30,2
1553004501,26,5
1553008127,21,2
1553011694,16,8
1553015306,27,6
1553018906,14,1
1553022503,21,2
1553026109,12,3
1553029727,9,2
1553033327,4,1
1553036952,19,3
1553040540,2,0
1553044138,3,1
1553047726,12,0
1553051321,10,2
1553054911,11,1
1553058582,25,2
1553062176,24,2
1553065793,27,0
1553069386,31,2
1553072987,27,3
1553076536,33,5
1553080149,26,0
1553083754,21,5
1553087340,27,4
1553090934,24,2
1553094664,29,1
1553098249,30,1
1553101860,27,8
1553105383,21,5
1553108955,10,3
1553112559,10,4
1553116159,6,2
1553119761,9,4
1553123351,10,5
1553126969,17,0
1553130560,11,2
1553134174,9,2
1553137762,10,1
1553141331,11,10
1553144946,15,22
1553148558,18,26
1553152151,15,32
1553155713,16,35
1553159333,273,43
1553162918,16,36
1553166517,5,33
1553170133,6,27
1553173743,8,25
1553177324,5,9
1553180926,10,17
1553184539,3,21
1553188144,2,11
1553191741,3,15
1553195333,5,13
1553198965,2,22
1553202558,2,10
1553206171,3,13
1553209753,2,6
1553213349,2,13
1553216964,0,10
1553220536,0,14
1553224157,2,17
1553227742,0,19
1553231326,1,17
1553234921,14,35
1553238515,2,33
1553242125,1,51
1553245743,3,43
1553249313,1,33
1553252908,3,22
1553256532,3,27
1553260129,3,27
1553263732,0,14
1553267313,1,14
1553270951,1,11
1553274577,3,11
1553278147,5,11
1553281749,2,10
1553285342,3,10
1553288945,0,8
1553292541,1,7
1553296137,2,14
1553299727,1,11
1553303340,1,4
1553306927,1,14
1553314130,2,27
1553317709,1,17
1553321305,1,29
1553324891,1,33
1553328478,2,27
1553332086,3,17
1553335670,2,12
1553339272,3,32
1553342927,1,21
1553346490,2,15
1553350098,5,15
1553353708,2,22
1553357319,1,28
1553360927,1,23
1553364519,6,13
1553368122,1,13
1553371730,2,18
1553375320,3,9
1553378929,1,3
1553382542,0,2
1553386132,3,5
1553389718,0,2
1553393316,0,7
1553396913,0,5
1553400561,0,11
1553404085,2,12
1553407686,3,9
1553411273,4,19
1553414875,0,12
1553418473,4,18
1553422081,2,33
1553425666,0,40
1553429275,0,17
1553432876,1,21
1553436495,2,31
1553440105,1,26
1553443693,2,21
1553447307,0,28
1553451022,3,15
1553454486,1,16
1553458103,3,14
1553461702,2,20
1553465289,2,20
1553468880,0,9
1553472571,1,7
1553476099,0,5
1553479711,1,25
1553483291,1,24
1553486882,2,21
1553490452,2,33
1553494048,2,28
1553497642,1,32
1553501238,2,35
1553504839,1,28
1553508430,3,34
1553512023,1,16
1553515639,3,18
1553519237,12,11
1553522842,2,11
1553526432,1,4
1553530041,0,2
1553533640,3,2
1553537242,3,5
1553540854,4,4
1553544437,0,4
1553548026,3,1
1553551628,1,1
1553555238,1,7
1553558838,1,2
1553562426,0,5
1553566023,1,12
1553569631,1,11
1553573234,4,11
1553576812,3,32
1553580401,1,38
1553584005,1,36
1553587610,1,26
1553591203,2,24
1553594806,0,33
1553598400,3,48
1553602003,1,49
1553605623,0,33
1553609209,2,25
1553612835,0,25
1553616430,1,16
1553620054,0,28
1553623663,2,17
1553627261,0,20
1553630869,3,6
1553634469,2,12
1553638079,0,4
1553641671,0,22
1553645268,1,3
1553648866,1,6
1553652463,0,13
1553656055,3,13
1553659671,2,13
1553663253,3,15
1553666851,2,32
1553670437,1,26
1553674049,3,30
1553677627,2,31
1553681218,4,36
1553684813,2,24
1553688404,1,30
1553692012,3,26
1553695604,5,22
1553699200,6,28
1553702826,7,25
1553706417,1,30
1553710017,2,25
1553714870,2,14
1553718511,1,8
1553722115,2,8
1553725667,1,11
1553729264,0,9
1553732843,0,18
1553736423,0,13
1553740004,1,10
1553743593,6,7
1553747191,3,10
1553750817,4,18
1553754323,7,18
1553757896,3,22
1553761473,5,17
1553764858,7,279
1553768432,3,23
1553772007,2,8
1553775632,5,6
1553779221,2,9
1553782955,1,4
1553786379,2,10
1553789957,3,7
1553793553,11,3
1553797176,1,1
1553800771,2,5
1553804401,10,3
1553808036,10,1
1553811631,6,5
1553815259,12,2
1553818864,5,2
1553822467,7,0
1553826087,10,0
1553829741,11,1
1553833324,33,1
1553836953,15,1
1553840596,43,2
1553844294,79,1
1553847951,32,2
1553851565,18,3
1553855201,30,3
1553858824,28,3
1553862455,18,4
1553866114,18,3
1553869711,9,3
1553873333,19,2
1553876941,18,1
1553880593,23,5
1553884204,19,2
1553887839,17,4
1553891454,17,3
1553895099,10,1
1553898676,4,1
1553902280,2,3
1553905875,2,0
1553913095,20,8
1553916799,97,3
1553920373,13,1
1553924011,20,1
1553927653,34,1
1553931276,25,0
1553934908,20,4
1553938563,24,0
1553942186,18,4
1553945804,20,3
1553949448,23,2
1553953092,31,2
1553956692,22,6
1553960337,22,2
1553963956,17,5
1553967607,17,1
1553971224,18,4
1553974840,10,1
1553978555,10,4
1553982161,12,11
1553985780,9,2
1553989359,3,3
1553992947,4,2
1553996511,3,1
1554000173,4,0
1554003689,11,0
1554007354,10,2
1554010940,8,1
1554014525,10,2
1554018119,12,2
1554021752,13,1
1554025378,15,1
1554028986,12,4
1554032625,20,1
1554036276,10,0
1554039890,11,2
1554043504,16,2
1554047123,13,1
1554050725,11,3
1554054361,6,1
1554057996,18,2
1554061618,9,1
1554068838,10,4
1554072442,9,3
1554076047,3,0
1554079648,2,1
1554083249,1,0
1554086837,2,1
1554090473,11,1
1554094079,9,1
1554097675,13,6
1554101288,23,17
1554104937,33,1
1554108586,28,0
1554112224,26,2
1554115884,19,3
1554119512,25,2
1554123165,27,2
1554126779,25,13
1554130401,16,2
1554134024,24,1
1554137675,19,1
1554141313,26,3
1554144923,17,5
1554148536,14,1
1554152193,18,1
1554155781,12,2
1554159379,0,1
1554162978,4,1
1554166609,7,2
1554170206,5,1
1554173810,9,0
1554177422,11,1
1554181030,9,4
1554184650,18,4
1554188271,18,0
1554191933,33,3
1554195567,24,0
1554199220,28,1
1554206499,54,3
1554213728,35,3
1554220954,32,4
1554228205,23,3
1554235416,23,3
1554242685,75,3
1554249868,10,3
1554257091,10,4
1554264313,12,3
1554271545,28,5
1554278799,27,7
1554286043,27,6
1554293330,29,4
1554300543,33,2
1554307771,32,9
1554315040,30,10
1554322271,16,6
1554329468,15,4
1554336693,14,0
1554343920,9,1
1554351114,13,8
1554358360,54,11
1554365591,41,7
1554372852,30,6
1554380073,43,4
1554387317,40,6
1554394617,43,4
1554401815,28,15
1554409071,27,7
1554416292,29,17
1554423503,15,16
1554430694,9,12
1554437905,17,17
1554445111,28,32
1554459428,88,157
1554466665,65,50
1554473863,36,35
1554481050,35,26
1554487787,22,38
1554493407,18,30
1554496920,5,14
1554500512,3,10
1554504119,5,5
1554507768,3,5
1554511315,7,1
1554514900,4,4
1554518491,4,18
1554522126,4,98
1554525648,8,13
1554529234,5,20
1554536476,19,56
1554540004,9,18
1554543590,7,26
1554547173,8,19
1554550829,8,16
1554554367,5,20
1554557919,3,32
1554561521,2,18
1554565156,6,23
1554568696,7,19
1554572300,4,16
1554575902,1,15
1554579571,2,12
1554583080,3,10
1554586676,7,11
1554590272,1,8
1554593949,1,4
1554597471,0,4
1554601067,1,2
1554604662,0,6
1554608317,1,11
1554611824,2,11
1554615426,9,5
1554619018,16,12
1554622681,2,12
1554626212,7,13
1554629812,14,10
1554633409,6,9
1554637062,3,21
1554640590,1,9
1554644182,6,12
1554647771,6,12
1554651458,3,17
1554654962,1,12
1554658564,2,5
1554662145,3,15
1554665818,4,12
1554669332,6,6
1554672937,1,4
1554676541,1,10
1554680201,0,4
1554683730,2,2
1554687348,19,2
1554690938,4,3
1554694635,5,12
1554698139,1,5
1554701764,3,12
1554705301,3,20
1554712452,16,55
1554716033,8,27
1554719636,2,16
1554723320,5,23
1554726813,3,23
1554730408,1,30
1554734001,1,19
1554737705,5,17
1554741157,2,18
1554744740,1,30
1554748342,4,15
1554752029,2,13
1554755521,1,19
1554759110,1,15
1554762742,21,0
1554766422,4,10
1554769923,2,5
1554773524,4,4
1554777120,1,9
1554780779,3,14
1554784303,4,10
1554787889,11,19
1554791488,16,19
1554795143,20,32
1554798686,12,27
1554802264,15,26
1554805857,10,31
1554809502,12,20
1554813023,4,26
1554816632,8,15
1554820234,8,13
1554823885,8,15
1554827432,8,9
1554831004,5,10
1554834628,14,13
1554838287,6,16
1554841817,3,24
1554845401,10,51
1554849004,3,0
1554852725,1,6
1554856211,0,3
1554859793,0,7
1554863391,6,7
1554867079,8,6
1554870589,9,8
1554874176,6,18
1554877838,2,18
1554881471,4,12
1554884971,1,22
1554888592,10,8
