DateTime,Entries,UniqueIPs
1552921700,2494,2494
1552925317,2494,2494
1552928920,2490,2490
1552932518,2489,2489
1552936119,2488,2488
1552939727,2486,2486
1552943327,2481,2481
1552946925,2481,2481
1552950519,2485,2485
1552954117,2485,2485
1552957718,2488,2488
1552961328,2495,2495
1552964921,2506,2506
1552968516,2511,2511
1552972112,2539,2539
1552975701,2571,2571
1552979305,2608,2608
1552982924,2625,2625
1552986497,2650,2650
1552990108,2679,2679
1552993687,2725,2725
1552997301,2772,2772
1553000896,2800,2800
1553004501,2821,2821
1553008127,2840,2840
1553011694,2848,2848
1553015306,2869,2869
1553018906,2882,2882
1553022503,2901,2901
1553026109,2910,2910
1553029727,2917,2917
1553033327,2920,2920
1553036952,2936,2936
1553040540,2938,2938
1553044138,2940,2940
1553047726,2952,2952
1553051321,2960,2960
1553054911,2970,2970
1553058582,2993,2993
1553062176,3015,3015
1553065793,3042,3042
1553069386,3071,3071
1553072987,3095,3095
1553076536,3123,3123
1553080149,3149,3149
1553083754,3165,3165
1553087340,3188,3188
1553090934,3210,3210
1553094664,3238,3238
1553098249,3267,3267
1553101860,3286,3286
1553105383,3302,3302
1553108955,3309,3309
1553112559,3315,3315
1553116159,3319,3319
1553119761,3324,3324
1553123351,3329,3329
1553126969,3346,3346
1553130560,3355,3355
1553134174,3362,3362
1553137762,3371,3371
1553141331,3372,3372
1553144946,3365,3365
1553148558,3357,3357
1553152151,3340,3340
1553155713,3321,3321
1553159333,3551,3551
1553162918,3531,3531
1553166517,3503,3503
1553170133,3482,3482
1553173743,3465,3465
1553177324,3461,3461
1553180926,3454,3454
1553184539,3436,3436
1553188144,3427,3427
1553191741,3415,3415
1553195333,3407,3407
1553198965,3387,3387
1553202558,3379,3379
1553206171,3369,3369
1553209753,3365,3365
1553213349,3354,3354
1553216964,3344,3344
1553220536,3330,3330
1553224157,3315,3315
1553227742,3296,3296
1553231326,3280,3280
1553234921,3259,3259
1553238515,3228,3228
1553242125,3178,3178
1553245743,3138,3138
1553249313,3106,3106
1553252908,3087,3087
1553256532,3063,3063
1553260129,3039,3039
1553263732,3025,3025
1553267313,3012,3012
1553270951,3002,3002
1553274577,2994,2994
1553278147,2988,2988
1553281749,2980,2980
1553285342,2973,2973
1553288945,2965,2965
1553292541,2959,2959
1553296137,2947,2947
1553299727,2937,2937
1553303340,2934,2934
1553306927,2921,2921
1553314130,2896,2896
1553317709,2880,2880
1553321305,2852,2852
1553324891,2820,2820
1553328478,2795,2795
1553332086,2781,2781
1553335670,2771,2771
1553339272,2742,2742
1553342927,2722,2722
1553346490,2709,2709
1553350098,2699,2699
1553353708,2679,2679
1553357319,2652,2652
1553360927,2630,2630
1553364519,2623,2623
1553368122,2611,2611
1553371730,2595,2595
1553375320,2589,2589
1553378929,2587,2587
1553382542,2585,2585
1553386132,2583,2583
1553389718,2581,2581
1553393316,2574,2574
1553396913,2569,2569
1553400561,2558,2558
1553404085,2548,2548
1553407686,2542,2542
1553411273,2527,2527
1553414875,2515,2515
1553418473,2501,2501
1553422081,2470,2470
1553425666,2430,2430
1553429275,2413,2413
1553432876,2393,2393
1553436495,2364,2364
1553440105,2339,2339
1553443693,2320,2320
1553447307,2292,2292
1553451022,2280,2280
1553454486,2265,2265
1553458103,2254,2254
1553461702,2236,2236
1553465289,2218,2218
1553468880,2209,2209
1553472571,2203,2203
1553476099,2198,2198
1553479711,2174,2174
1553483291,2151,2151
1553486882,2132,2132
1553490452,2101,2101
1553494048,2075,2075
1553497642,2044,2044
1553501238,2011,2011
1553504839,1984,1984
1553508430,1953,1953
1553512023,1938,1938
1553515639,1923,1923
1553519237,1924,1924
1553522842,1915,1915
1553526432,1912,1912
1553530041,1910,1910
1553533640,1911,1911
1553537242,1909,1909
1553540854,1909,1909
1553544437,1905,1905
1553548026,1907,1907
1553551628,1907,1907
1553555238,1901,1901
1553558838,1900,1900
1553562426,1895,1895
1553566023,1884,1884
1553569631,1874,1874
1553573234,1867,1867
1553576812,1838,1838
