DateTime,AddedIPs,RemovedIPs
1553130146,247,180
1553131891,214,298
1553135473,61,83
1553139062,65,105
1553144469,97,118
1553146287,94,75
1553149907,86,82
1553153467,68,62
1553157091,88,62
1553160668,76,60
1553164285,65,60
1553166080,60,55
1553173301,71,56
1553175071,70,76
1553178688,84,82
1553180467,71,69
1553187703,92,57
1553191270,74,72
1553193153,82,69
1553194869,87,86
1553202080,89,93
1553203900,104,90
1553209302,220,246
1553212911,237,310
1553214675,94,99
1553218287,82,82
1553223683,54,72
1553225472,63,99
1553229068,101,127
1553232674,100,86
1553236287,68,71
1553239881,69,53
1553245271,79,56
1553248885,83,66
1553250668,79,62
1553256080,70,74
1553257888,73,69
1553261478,69,71
1553265151,82,59
1553268695,76,80
1553272287,81,76
1553275864,76,75
1553279464,91,55
1553283087,90,79
1553288503,118,128
1553293914,59,100
1553299273,71,108
1553301068,101,98
1553304679,81,83
1553308270,52,82
1553310079,77,90
1553315469,87,114
1553319079,74,84
1553324467,113,85
1553329882,79,46
1553333492,90,75
1553338875,71,72
1553340672,72,52
1553342480,81,77
1553347878,89,77
1553351464,84,72
1553355064,90,70
1553358676,73,78
1553362304,82,76
1553365873,70,84
1553369467,75,76
1553374865,123,113
1553380264,52,89
1553382070,89,52
1553383893,90,178
1553387467,84,78
1553391073,65,85
1553394683,53,73
1553398263,65,76
1553401866,86,102
1553403729,80,80
1553409087,89,76
1553412677,61,51
1553414483,68,52
1553418071,76,55
1553423470,92,56
1553427105,80,65
1553432479,73,71
1553434288,89,82
1553437915,86,62
1553441465,74,81
1553445077,92,70
1553448665,91,77
1553454074,111,85
1553455892,98,89
1553459502,73,110
1553463098,76,87
1553466664,61,111
1553468526,59,105
1553472086,80,90
1553477466,79,74
1553481067,58,94
1553482919,65,91
1553484668,91,65
1553488268,154,173
1553491869,90,93
1553495509,75,80
1553499065,70,46
1553502697,76,59
1553506278,80,60
1553509914,80,70
1553513465,65,61
1553517089,80,61
1553520686,73,78
1553524273,84,84
1553529706,75,72
1553533271,116,116
1553538709,102,70
1553542282,108,89
1553547692,146,145
1553553172,77,118
1553558471,73,112
1553562089,91,87
1553563892,77,83
1553567474,55,96
1553571106,80,85
1553572869,91,134
1553578267,92,81
1553581863,111,80
1553587273,79,67
1553589063,92,69
1553592680,90,60
1553596274,78,57
