DateTime,Entries,UniqueIPs
1553130146,6470,6470
1553131891,6386,6386
1553135473,6364,6364
1553139062,6324,6324
1553144469,6303,6303
1553146287,6322,6322
1553149907,6326,6326
1553153467,6332,6332
1553157091,6358,6358
1553160668,6374,6374
1553164285,6379,6379
1553166080,6384,6384
1553173301,6399,6399
1553175071,6393,6393
1553178688,6395,6395
1553180467,6397,6397
1553187703,6432,6432
1553191270,6434,6434
1553193153,6447,6447
1553194869,6448,6448
1553202080,6444,6444
1553203900,6458,6458
1553209302,6432,6432
1553212911,6359,6359
1553214675,6354,6354
1553218287,6354,6354
1553223683,6336,6336
1553225472,6300,6300
1553229068,6274,6274
1553232674,6288,6288
1553236287,6285,6285
1553239881,6301,6301
1553245271,6324,6324
1553248885,6341,6341
1553250668,6358,6358
1553256080,6354,6354
1553257888,6358,6358
1553261478,6356,6356
1553265151,6379,6379
1553268695,6375,6375
1553272287,6380,6380
1553275864,6381,6381
1553279464,6417,6417
1553283087,6428,6428
1553288503,6418,6418
1553293914,6377,6377
1553299273,6340,6340
1553301068,6343,6343
1553304679,6341,6341
1553308270,6311,6311
1553310079,6298,6298
1553315469,6271,6271
1553319079,6261,6261
1553324467,6289,6289
1553329882,6322,6322
1553333492,6337,6337
1553338875,6336,6336
1553340672,6356,6356
1553342480,6360,6360
1553347878,6372,6372
1553351464,6384,6384
1553355064,6404,6404
1553358676,6399,6399
1553362304,6405,6405
1553365873,6391,6391
1553369467,6390,6390
1553374865,6400,6400
1553380264,6363,6363
1553382070,6400,6400
1553383893,6312,6312
1553387467,6318,6318
1553391073,6298,6298
1553394683,6278,6278
1553398263,6267,6267
1553401866,6251,6251
1553403729,6251,6251
1553409087,6264,6264
1553412677,6274,6274
1553414483,6290,6290
1553418071,6311,6311
1553423470,6347,6347
1553427105,6362,6362
1553432479,6364,6364
1553434288,6371,6371
1553437915,6395,6395
1553441465,6388,6388
1553445077,6410,6410
1553448665,6424,6424
1553454074,6450,6450
1553455892,6459,6459
1553459502,6422,6422
1553463098,6411,6411
1553466664,6361,6361
1553468526,6315,6315
1553472086,6305,6305
1553477466,6310,6310
1553481067,6274,6274
1553482919,6248,6248
1553484668,6274,6274
1553488268,6255,6255
1553491869,6252,6252
1553495509,6247,6247
1553499065,6271,6271
1553502697,6288,6288
1553506278,6308,6308
1553509914,6318,6318
1553513465,6322,6322
1553517089,6341,6341
1553520686,6336,6336
1553524273,6336,6336
1553529706,6339,6339
1553533271,6339,6339
1553538709,6371,6371
1553542282,6390,6390
1553547692,6391,6391
1553553172,6350,6350
1553558471,6311,6311
1553562089,6315,6315
1553563892,6309,6309
1553567474,6268,6268
1553571106,6263,6263
1553572869,6220,6220
1553578267,6231,6231
1553581863,6262,6262
1553587273,6274,6274
1553589063,6297,6297
1553592680,6327,6327
1553596274,6348,6348
1553599890,6369,6369
1553601691,6337,6337
1553608913,6350,6350
1553610676,6369,6369
1553616100,6376,6376
1553617865,6375,6375
1553621552,6370,6370
1553626879,6389,6389
1553632267,6373,6373
1553634097,6377,6377
1553635880,6362,6362
1553639482,6338,6338
1553643066,6281,6281
1553646670,6297,6297
1553650282,6295,6295
1553653867,6283,6283
1553657493,6232,6232
1553661081,6283,6283
1553662879,6216,6216
1553664663,6233,6233
1553670074,6229,6229
1553671896,6251,6251
1553675475,6212,6212
1553679073,6272,6272
1553682709,6294,6294
1553686265,6320,6320
1553688080,6306,6306
1553693478,6320,6320
1553697077,6327,6327
1553698891,6358,6358
1553700671,6327,6327
1553702465,6358,6358
1553704280,6348,6348
1553709692,6392,6392
1553716866,6397,6397
1553718680,6407,6407
1553722314,6389,6389
1553724073,6360,6360
1553731313,6309,6309
1553733067,6290,6290
1553736676,6293,6293
1553740299,6241,6241
1553743875,6207,6207
1553745717,6199,6199
1553747492,6207,6207
1553749278,6207,6207
1553752903,6199,6199
1553754696,6214,6214
1553758272,6235,6235
1553760132,6252,6252
1553765481,6279,6279
1553769123,6275,6275
1553772689,6273,6273
1553776270,6268,6268
1553779873,6289,6289
1553785268,6320,6320
1553787102,6345,6345
1553790672,6353,6353
1553794280,6357,6357
1553796141,6363,6363
1553801500,6355,6355
1553805064,6362,6362
1553808709,6360,6360
1553812268,6322,6322
1553817675,6270,6270
1553819466,6243,6243
1553823070,6249,6249
1553824882,6219,6219
1553832156,6191,6191
1553833872,6195,6195
1553839267,6193,6193
1553841068,6206,6206
1553844665,6211,6211
1553848266,6222,6222
1553851913,6248,6248
1553853676,6268,6268
1553859072,6297,6297
1553860883,6297,6297
1553866272,6315,6315
1553869867,6293,6293
1553873473,6328,6328
1553877114,6335,6335
1553880681,6337,6337
1553884270,6333,6333
1553887872,6337,6337
1553891473,6358,6358
1553895063,6333,6333
1553896886,6356,6356
1553900486,6330,6330
1553904075,6293,6293
1553905888,6298,6298
1553909488,6303,6303
1553913085,6264,6264
1553916689,6243,6243
1553920297,6233,6233
1553923885,6255,6255
1553929269,6253,6253
1553931081,6254,6254
1553934665,6280,6280
1553938277,6299,6299
1553943693,6331,6331
1553945486,6327,6327
1553950879,6358,6358
1553954516,6360,6360
1553956275,6368,6368
1553959871,6367,6367
1553963473,6377,6377
1553967094,6367,6367
1553972477,6370,6370
1553974267,6364,6364
1553977866,6365,6365
1553981487,6352,6352
1553985065,6320,6320
1553988681,6300,6300
1553994242,6289,6289
1554000003,6262,6262
1554003842,6236,6236
1554007682,6230,6230
1554011522,6225,6225
1554015362,6241,6241
1554017283,6256,6256
1554021122,6285,6285
1554024964,6305,6305
1554028803,6326,6326
1554030722,6342,6342
1554036722,6351,6351
1554042482,6356,6356
1554044410,6357,6357
1554046562,6389,6389
1554050403,6416,6416
1554054243,6413,6413
1554058082,6439,6439
1554062445,6440,6440
1554064322,6450,6450
1554066242,6390,6390
1554072008,6346,6346
1554076322,6365,6365
1554080163,6351,6351
1554084017,6385,6385
1554086162,6371,6371
1554090002,6332,6332
1554093843,6344,6344
1554097682,6360,6360
1554101522,6389,6389
1554105363,6400,6400
1554111122,6425,6425
1554114962,6443,6443
1554118803,6463,6463
1554122642,6425,6425
1554124563,6475,6475
1554126482,6479,6479
1554130321,6467,6467
1554134162,6468,6468
1554139922,6524,6524
1554142082,6538,6538
1554148082,6549,6549
1554152422,6532,6532
1554154323,6484,6484
1554158163,6451,6451
1554162002,6431,6431
1554165843,6400,6400
1554169683,6400,6400
1554173524,6384,6384
1554177363,6375,6375
1554179523,6380,6380
1554183604,6385,6385
1554185523,6380,6380
1554187442,6400,6400
1554191282,6403,6403
1554195121,6382,6382
1554198962,6387,6387
1554200883,6377,6377
1554202813,6387,6387
1554204723,6404,6404
1554208564,6417,6417
1554212404,6430,6430
1554216243,6456,6456
1554221283,6470,6470
1554223202,6511,6511
1554227043,6509,6509
1554230882,6533,6533
1554234722,6535,6535
1554238563,6500,6500
1554240483,6445,6445
1554245765,6431,6431
1554249615,6418,6418
1554251522,6389,6389
1554253443,6399,6399
1554259202,6387,6387
1554261123,6399,6399
1554263042,6365,6365
1554264962,6373,6373
1554270723,6374,6374
1554274815,6399,6399
1554276722,6399,6399
1554280562,6417,6417
1554284403,6410,6410
1554288242,6458,6458
1554290162,6468,6468
1554294016,6466,6466
1554300011,6456,6456
1554301922,6476,6476
1554306003,6465,6465
1554308163,6470,6470
1554312004,6478,6478
1554313922,6502,6502
1554317762,6514,6514
1554321613,6523,6523
