DateTime,AddedIPs,RemovedIPs
1553729118,82,0
1553730019,2,0
1553730318,0,1
1553737819,79,0
1553738118,0,1
1553742617,0,1
1553745018,23,0
1553746817,0,1
1553750117,68,0
1553751318,1,0
1553752219,28,0
1553755818,1,0
1553757017,0,1
1553758517,1,0
1553759418,41,0
1553760618,3,0
1553761218,1,0
1553764818,0,2
1553766919,55,0
1553768119,0,1
1553771117,0,1
1553772018,6,0
1553773219,29,0
1553775620,1,0
1553777717,0,1
1553780419,0,1
1553781020,51,0
1553782819,33,0
1553783421,0,1
1553784917,1,0
1553785519,1,0
1553786419,0,1
1553787922,147,0
1553789119,0,1
1553790320,60,0
1553790918,1,0
1553791821,770,0
1553793619,6,0
1553800218,2,0
1553802021,8,0
1553807118,18,0
1553810421,1,1
1553815219,10,0
1553820019,0,1
1553821820,10,0
1553826918,1,0
1553827217,0,1
1553827819,57,0
1553832618,0,9
1553834417,35,0
1553836820,48,0
1553837419,17,0
1553841320,80,0
1553843420,0,1
1553847619,24,0
1553851524,0,1
1553853318,19,0
1553861718,0,1
1553862021,21,0
1553862623,48,0
1553865919,0,1
1553868318,1,0
1553869521,16,0
1553870418,0,1
1553871318,0,2
1553872819,1,0
1553874918,87,0
1553875818,28,0
1553877621,0,1
1553878819,1,0
1553879418,35,0
1553881218,0,1
1553884520,3,0
1553884820,0,1
1553887820,0,1
1553892917,0,1
1553893819,1,0
1553894417,81,0
1553895021,17,0
1553898918,1,1
1553901920,22,0
1553904025,0,1
1553905520,5,0
1553912719,9,0
1553919018,1,0
1553921716,35,0
1553923218,1,0
1553925019,1,0
1553928918,1,0
1553930419,1,0
1553931318,44,0
1553934918,39,0
1553938518,14,0
1553941219,0,1
1553943020,11,0
1553945717,52,0
1553947818,1,0
1553953820,1,0
1553955018,32,0
1553955619,44,0
1553956821,2,1
1553961021,0,1
1553963718,3,0
1553964919,43,0
1553967319,1,0
1553969117,72,0
1553972718,2,0
1553973919,1,0
1553974819,3,0
1553975420,24,0
1553976320,1,0
1553982019,2,0
1553982918,16,0
1553986822,2,0
1553989218,1,0
1553990118,35,0
1553996118,1,0
1553997318,8,0
1553999119,0,1
1554004218,1,0
1554005118,2,0
1554006019,22,0
1554011419,1,0
1554015318,1,0
1554016217,43,0
1554019818,25,0
1554020723,1,0
1554023418,0,1
1554023719,75,0
1554024320,2,0
1554025219,4,0
1554025820,6,0
1554031219,0,1
1554037520,2,1
1554038719,1,0
1554044719,3,0
1554045618,118,0
1554053717,0,1
1554055518,2,0
1554056418,25,0
1554058518,43,0
1554061820,0,1
1554067220,2,0
1554068418,97,0
1554069318,1,0
1554075317,4,0
1554077418,25,0
1554087019,3,0
1554087318,0,1
1554087919,82,0
1554092717,48,0
1554095118,2,0
1554096620,0,1
1554097218,36,2
1554099618,1,0
1554100818,1,0
1554101421,16,0
1554105917,1,0
1554106219,0,1
1554110720,0,1
1554111320,28,0
1554116424,0,1
1554118519,1,0
1554119120,0,1
1554120619,60,0
1554124818,5,0
1554126019,57,0
1554126619,1,1
1554127818,16,0
1554130821,0,1
1554131419,0,1
1554135018,0,1
1554135621,564,0
1554136518,1,0
1554137420,13,0
1554139518,15,0
1554144319,0,1
1554145518,6,0
1554148517,0,1
1554152422,1,0
1554154220,2,0
1554158117,4,0
1554158720,0,1
1554159318,49,0
1554160819,1,0
1554162917,1,0
1554165020,1,0
1554166221,2,0
1554167118,1,0
1554168019,6,0
1554176417,0,1
1554177917,4,0
1554179418,109,0
1554188718,2,0
1554189619,12,0
1554193522,0,2
1554194419,1,0
1554195018,33,0
1554201320,2,0
1554204622,0,3
1554205820,0,1
1554206119,0,1
1554206421,0,1
1554207924,0,1
1554209421,21,0
1554209718,51,0
1554210319,0,1
1554212121,16,0
1554212420,10,0
1554217521,3,0
1554218420,54,0
1554223218,2,0
1554224721,34,0
1554226222,0,1
1554233720,11,0
1554234622,86,0
1554235820,0,1
1554238820,0,1
1554239121,15,0
1554245718,3,0
1554246618,41,0
1554249319,1,0
1554251119,1,0
1554252018,23,0
1554257718,13,0
1554261320,46,0
1554262219,1,0
1554262819,0,1
1554265218,25,0
1554265521,3,0
1554266418,14,0
1554268818,1,0
1554270924,22,0
1554272728,1,0
1554273322,19,0
1554274222,2,0
1554279024,0,1
1554279622,10,0
1554280522,4,0
1554287720,127,0
1554288623,132,1
1554288920,24,0
1554292521,0,1
1554294026,40,0
1554299724,29,0
1554301524,31,0
1554302424,0,1
1554303626,0,1
1554305123,389,0
1554305426,170,0
1554306021,3,0
1554307519,1,0
1554308420,2,0
1554310518,3,1
1554314721,5,0
1554317718,14,0
1554322220,1,0
1554324022,8,0
1554324621,0,1
1554331218,0,1
1554331519,1,0
1554332719,1,0
1554333618,33,0
1554339318,14,0
1554339917,1,0
1554341118,1,0
1554347118,23,0
1554351918,37,0
1554353717,19,0
1554354319,1,0
1554358818,1,0
1554360018,15,0
1554363318,0,1
1554366018,52,0
1554366918,0,1
1554367821,1,0
1554369920,0,1
1554371421,2,0
1554372619,2,0
1554375022,0,1
1554376220,1,0
1554379819,1,0
1554380719,2,0
1554381619,67,0
1554384319,0,1
1554384918,481,0
1554387919,15,0
1554390319,55,0
1554397820,159,0
1554403219,5,0
1554404717,1,0
1554405018,0,1
1554407422,2,0
1554409519,0,1
1554411019,14,0
1554411317,0,1
1554413120,1,0
1554414619,1,0
1554415818,20,0
1554418221,0,29
1554418517,0,2
1554418819,0,7
1554419118,0,5
1554419417,2,4
1554419719,46,10
1554420019,0,12
1554420623,40,8
1554420918,205,0
1554424219,0,1
1554424518,1,0
1554425118,34,0
1554425717,1,0
1554426318,3,0
1554427518,3,0
1554431118,25,0
1554433218,0,1
1554434418,28,0
1554435316,2,0
1554438318,44,0
1554438918,20,0
1554439218,1,0
1554441017,33,0
1554447917,148,0
1554448518,64,0
1554450019,1,0
1554453019,0,1
1554453318,50,0
1554455417,1,0
1554456019,1,0
1554457818,1,0
1554458117,0,1
1554461419,2,0
1554462618,22,0
1554465622,280,0
1554466218,0,3
1554466821,2,0
1554471319,176,0
1554474620,0,1
1554475819,1,0
1554476421,5,0
1554478821,4,0
1554483623,9,0
1554483918,22,0
1554490218,3,0
1554491417,13,0
1554491717,0,1
1554494718,1,0
1554495918,1,0
1554498319,20,0
1554501318,30,0
1554502820,45,0
1554509118,5,0
1554514220,149,0
1554514818,1,0
1554515419,6,0
1554520818,1,0
1554521717,23,0
1554527118,1,0
1554529218,10,0
1554534319,125,0
1554534619,22,0
1554540618,12,0
1554543619,1,0
1554544518,23,0
1554551420,12,0
1554555318,220,0
1554556820,10,0
1554558019,10,0
1554560419,1,0
1554562221,11,0
1554563419,29,0
1554567619,3,0
1554568518,38,0
1554572419,10,0
1554575119,42,0
1554579317,8,0
1554580518,38,0
1554581418,34,0
1554588318,33,0
1554594019,6,0
1554599419,3,0
1554604518,3,0
1554605420,0,1
1554605718,18,0
1554611120,41,0
1554618918,0,1
1554621019,1,0
1554622518,3,0
1554622819,49,0
1554624319,73,0
1554629718,23,0
1554631220,0,1
1554632721,25,0
1554635419,26,0
1554637820,10,0
1554638117,399,0
1554641718,1,0
1554642319,3,0
1554643219,12,0
1554650120,23,0
1554652520,0,1
1554654319,39,0
1554659419,0,1
1554660918,23,0
1554661218,11,0
1554663022,0,1
1554666918,4,0
1554668119,0,1
1554669619,1,0
1554673219,14,0
1554679219,3,0
1554679518,35,0
1554682219,2,0
1554684020,1,0
1554684918,1,0
1554685520,8,0
1554690321,7,0
1554691820,6,0
1554697219,17,1
1554697522,15,0
1554705020,1,0
1554705619,23,0
1554711621,0,1
1554712818,81,0
1554717919,2,0
1554719718,11,0
1554721819,0,2
1554727820,1,0
1554728722,3,0
1554729921,37,0
1554733521,0,1
1554734119,11,0
1554734419,1,0
1554735020,13,0
1554737119,0,1
1554742221,11,0
1554747620,1,0
1554750619,1,0
1554752118,60,0
1554753318,0,1
1554754219,8,0
1554758419,1,0
1554758718,35,0
1554767717,72,0
1554774020,16,0
1554777020,0,1
1554780918,15,0
1554781820,1,0
1554784219,75,0
1554784519,47,0
1554784818,49,0
1554785119,10,0
1554789919,3,0
1554790818,63,0
1554794719,0,1
1554795020,0,1
1554796220,6,0
1554808218,0,2
1554810620,0,3
1554810919,80,0
1554817820,29,0
1554818120,7,0
1554818721,18,0
1554820519,6,0
1554823219,26,0
1554825320,0,1
1554827718,1,0
1554828620,35,0
1554832518,2,0
1554836117,1,0
1554836718,1,0
1554837019,0,1
1554837920,50,0
1554838821,22,0
1554840319,2,1
1554841219,1,0
1554842418,50,0
1554844819,0,1
1554848720,10,0
1554852918,6,0
1554856518,34,0
1554861319,12,0
1554863120,0,1
1554865518,2,0
1554866720,21,0
1554871220,30,0
1554873619,89,0
1554873922,3,0
1554875421,42,0
1554877219,0,1
1554878420,0,1
1554879318,1,0
1554879919,35,0
1554880220,0,1
1554882018,0,1
1554884118,1,1
1554884722,46,0
1554885619,0,1
1554889521,0,1
1554890118,58,0
