DateTime,AddedIPs,RemovedIPs
1551658813,12,8
1551661942,519,836
1551666733,13,21
1551671942,124,73
1551697695,12,15
1551730345,610,973
1551741128,11,14
1551744017,1742,1869
1551746408,12,11
1551752650,15,3
1551758343,443,45
1551787205,11,18
1551810032,585,1385
1551825850,6,0
1551830418,1788,2158
1551831368,8,14
1551837370,15,8
1551844742,234,63
1551868833,572,871
1551872166,14,18
1551896170,379,384
1551911060,8,8
1551917302,7,19
1551922566,1724,1965
1551931143,164,78
1551957127,9,17
1551988817,610,1270
1551999368,5,8
1552003217,1781,1528
1552006334,20,20
1552010888,19,6
1552017542,128,84
1552045684,30,10
1552078954,611,1520
1552084325,19,11
1552089618,1302,1154
1552091049,14,9
1552095850,16,0
1552103942,104,65
1552128493,616,0
1552130422,13,22
1552172893,6,16
1552176017,1522,1033
1552179365,14,19
1552184419,18,24
1552187533,547,1078
1552190343,116,85
1552218969,18,20
1552257612,9,0
1552262416,1455,1335
1552264087,12,20
1552269129,13,18
1552276742,113,82
1552279474,526,1144
1552284535,149,0
1552303685,23,21
1552318361,582,446
1552344967,430,0
1552346166,18,15
1552348816,1774,1343
1552352895,19,11
1552357688,11,16
1552363142,100,84
1552392247,18,23
1552425372,597,988
1552427074,113,0
1552430650,13,0
1552434514,159,0
1552435216,1550,1511
1552437847,13,17
1552440020,170,0
1552442165,16,19
1552449542,127,111
1552476728,19,31
1552480810,554,0
1552497639,362,376
1552500524,108,0
1552504845,143,139
1552510606,158,207
1552519452,13,17
1552521617,1554,2090
1552522570,19,8
1552530258,429,554
1552531230,12,11
1552532920,109,0
1552536734,159,116
1552536989,64,0
1552540354,109,0
1552545634,222,0
1552548510,95,0
1552552106,156,0
1552555473,114,0
1552559795,114,0
1552561925,34,0
1552563163,96,0
1552567231,107,96
1552588570,331,699
1552589553,81,0
1552592437,72,0
1552599159,163,0
1552602250,47,0
1552602651,45,0
1552604422,7,4
1552606363,114,0
1552608017,1493,1438
1552611368,10,7
1552616164,17,20
1552622342,116,120
1552628169,519,0
1552638760,268,0
1552641643,128,0
1552645247,128,0
1552648130,97,0
1552650727,15,28
1552651478,84,173
1552655323,137,0
1552659378,111,134
1552663484,116,411
1552666817,107,0
1552684127,324,0
1552690504,172,0
1552694416,1286,1525
1552696085,20,12
1552696831,171,0
1552700437,122,0
1552702093,11,0
1552708742,142,84
1552711453,225,0
