DateTime,AddedIPs,RemovedIPs
1554516722,1,0
1554517326,1,0
1554517924,4,0
1554518402,71,8
1554518523,1,0
1554519766,0,1
1554520323,0,169
1554520922,1,0
1554522243,87,0
1554524522,1,0
1554526083,70,97
1554527523,1,1
1554529322,2,0
1554530567,3,1
1554531123,1,0
1554531843,76,162
1554532323,1,0
1554532922,1,0
1554533762,66,0
1554534166,16,0
1554535322,4,0
1554536523,1,0
1554537622,67,85
1554537766,0,1
1554538323,2,0
1554539522,87,0
1554540123,4,0
1554541365,0,3
1554541922,1,0
1554543363,75,60
1554543723,10,0
1554545026,0,1
1554547204,78,59
1554548565,1,2
1554549122,0,72
1554551042,82,0
1554551523,5,0
1554552123,1,0
1554552964,0,49
1554555122,1,0
1554555723,10,0
1554555766,14,1
1554556805,86,0
1554556923,1,0
1554557523,2,0
1554558723,84,159
1554559366,0,4
1554559923,1,0
1554562562,73,0
1554562967,2,1
1554564123,4,0
1554564723,1,0
1554565324,11,0
1554565922,8,0
1554566423,78,136
1554566567,0,2
1554567723,1,0
1554568322,87,0
1554570123,1,0
1554570166,0,2
1554570722,5,0
1554572403,76,18
1554572523,1,0
1554573827,1,3
1554574323,8,123
1554574922,2,0
1554575522,1,0
1554576243,88,0
1554577367,0,2
1554578522,2,0
1554579722,5,0
1554580083,75,161
1554580323,2,0
1554581037,2,3
1554581522,1,0
1554582123,2,1
1554582722,13,0
1554583323,3,1
1554583923,76,0
1554584523,1,0
1554584567,8,0
1554585844,4,77
1554586922,4,0
1554587762,61,0
1554588123,2,0
1554589323,4,0
1554589684,56,89
1554590523,1,0
1554591723,2,0
1554592323,1,0
1554592922,9,0
1554593523,0,96
1554594123,3,0
1554595442,93,0
1554595922,0,1
1554597362,33,6
1554597723,2,0
1554599283,0,149
1554600123,1,0
1554600722,1,0
1554601203,62,0
1554601323,1,0
1554602523,2,0
1554602627,0,1
1554603723,1,0
1554604323,1,0
1554605043,68,186
1554606167,1,3
1554607323,1,0
1554608882,91,0
1554609946,0,1
1554610323,1,1
1554610925,2,0
1554611522,12,0
1554612122,3,0
1554612723,72,177
1554613426,2,0
1554614522,6,0
1554615723,8,0
1554616563,81,0
1554617026,1,1
1554618123,2,0
1554618483,71,7
1554620420,0,108
1554620566,1,2
1554621722,3,0
1554622322,43,1
1554624243,22,55
1554624723,1,9
1554625323,1,0
1554625922,1,0
1554626162,80,0
1554627768,0,2
1554628322,2,0
1554628922,1,0
1554630002,86,11
1554630123,5,0
1554630723,2,0
1554631322,1,0
1554631924,0,109
1554633842,81,0
1554634923,1,0
1554634972,1,1
1554636123,2,0
1554637322,7,0
1554637683,75,42
1554638567,1,12
1554639722,1,0
1554640923,1,0
1554641523,67,132
1554642123,5,0
1554642166,0,3
1554643323,2,0
1554644523,1,0
1554645362,83,0
1554645826,1,1
1554646323,3,0
1554647282,80,13
1554648123,3,0
1554649209,13,80
1554649366,18,0
1554649922,2,0
1554650162,79,75
1554650523,1,0
1554651123,57,45
1554651723,3,0
1554652923,1,0
1554654122,2,0
1554654723,1,0
1554654962,73,14
1554655922,14,60
1554656523,2,0
1554656628,0,1
1554657122,4,0
1554657843,4,59
1554658923,2,0
1554660123,10,0
1554660723,73,0
1554661323,6,0
1554662643,76,12
1554663842,1,127
1554664923,2,0
1554665525,6,0
1554666123,1,0
1554666482,82,0
1554667368,2,1
1554667923,2,0
1554668522,1,0
1554669723,14,0
1554670562,83,23
1554670967,1,0
1554671523,1,148
1554672123,1,0
1554673923,1,0
1554674414,86,0
1554674628,1,1
1554675123,2,0
1554676322,60,22
1554676923,1,0
1554677283,0,177
1554678168,1,0
1554678723,2,0
1554679322,1,0
1554680161,88,0
1554680655,4,0
1554681767,32,0
1554682925,5,0
1554684003,48,13
1554684123,1,0
1554684963,13,122
1554685367,0,2
1554686523,1,0
1554686883,0,101
1554687122,1,0
1554687843,64,0
1554688322,1,0
1554688922,1,0
1554688968,0,2
1554690122,3,0
1554691323,1,0
1554691682,77,6
1554692642,2,152
1554693723,3,2
1554694923,1,0
1554695523,94,0
1554696483,0,108
1554698525,1,0
1554699363,79,0
1554699828,1,0
1554700323,0,1
1554701282,0,73
1554702123,3,0
1554702482,73,0
1554703214,475,36
1554703373,5,2
1554704524,6,0
1554705123,106,478
1554705724,7,0
1554706967,1,2
1554707523,16,0
1554708242,0,122
1554708723,1,0
1554708962,61,0
1554709923,1,0
1554710523,1,0
1554710567,0,2
1554711723,2,0
1554712802,80,11
1554713283,11,60
1554714723,1,0
1554716645,84,25
1554717768,0,1
1554719044,0,89
1554720481,98,0
1554721368,4,1
1554722522,3,0
1554723723,4,0
1554724563,79,20
1554725044,24,60
