DateTime,AddedIPs,RemovedIPs
1554427688,132,79
1554428413,19,14
1554429297,124,159
1554430354,25,10
1554431421,67,95
1554432252,30,11
1554432955,57,110
1554433381,124,169
1554434195,22,20
1554435020,75,1
1554436113,12,8
1554437406,125,261
1554438029,20,16
1554438620,49,0
1554439929,12,13
1554440107,76,164
1554441875,13,20
1554442093,102,87
1554443772,26,30
1554444021,77,173
1554445692,73,126
1554446121,56,131
1554447632,23,36
1554448521,101,113
1554449558,11,30
1554450008,86,103
1554451477,23,42
1554452120,95,139
1554452890,47,2
1554453393,24,26
1554453735,36,134
1554455292,22,20
1554455646,116,99
1554457213,31,29
1554457521,80,141
1554458217,99,59
1554459153,280,1236
1554460220,90,104
1554461070,29,30
1554461453,100,117
1554461768,59,1
1554462975,516,0
1554463686,127,118
1554464892,24,35
1554465623,75,150
1554466836,26,19
1554467421,104,102
1554468748,94,19
1554469221,105,222
1554470670,34,20
1554471020,78,110
1554471601,87,174
1554472570,49,24
1554473415,447,307
1554474738,25,26
1554475346,410,271
1554476899,29,24
1554477247,137,104
1554478813,27,20
1554478929,93,165
1554480751,27,21
1554480920,117,147
1554482658,24,17
1554482990,128,122
1554483911,188,148
1554484590,37,17
1554485420,77,1
1554486493,37,24
1554486607,86,233
1554488432,26,20
1554488890,104,119
1554490333,26,13
1554490470,1067,163
1554492253,16,25
1554492487,109,188
1554493345,62,386
1554494207,20,28
1554494427,69,0
1554496094,88,221
1554496218,31,0
1554498037,26,29
1554498287,67,150
1554499955,112,158
1554501367,117,183
1554501870,18,16
1554505013,165,1294
1554506047,107,87
1554506896,487,0
1554507726,95,123
1554508879,15,30
1554509718,124,146
1554510739,25,14
1554510907,291,402
1554511912,0,256
1554512693,18,19
1554513320,73,54
1554514094,103,132
1554514572,29,19
1554515408,59,306
1554516525,32,23
1554518431,100,186
1554518745,67,147
1554519376,70,0
1554520338,15,17
1554521404,64,142
1554522253,28,20
1554522320,64,148
1554524198,31,22
1554525022,111,121
1554526100,100,123
1554528013,76,81
1554528907,116,237
1554529949,30,23
1554530167,74,0
1554531856,29,13
1554532233,41,135
1554532807,50,147
1554533772,31,16
1554534310,75,178
1554534921,17,1
1554535713,28,28
1554536727,85,265
1554537632,26,24
1554537645,23,0
1554539561,121,183
1554541471,28,23
1554541523,102,475
1554543378,38,25
1554543736,63,187
1554543902,20,41
1554545292,37,1103
1554545720,71,357
1554547237,47,32
1554547346,123,239
1554549134,464,0
1554549320,50,125
1554550711,91,0
1554551055,54,16
1554551123,56,165
1554552990,45,18
1554554328,60,185
1554554550,89,233
1554554894,35,12
1554555374,47,0
1554556809,44,21
1554557287,95,104
1554558155,63,231
1554558751,48,17
1554560047,114,125
1554560666,40,21
1554561921,59,185
1554562582,37,25
1554563017,77,253
1554564527,83,22
1554565028,48,0
1554566439,120,289
1554567320,123,138
1554568352,28,19
1554569120,113,203
