DateTime,AddedIPs,RemovedIPs
1554307923,0,1
1554308523,1,0
1554309723,0,1
1554310923,2,0
1554311523,1,0
1554312124,1,0
1554313323,1,0
1554313923,1,0
1554314522,1,0
1554315123,1,0
1554316923,1,0
1554318122,1,0
1554319322,2,0
1554322323,2,0
1554322923,5,0
1554324124,5,0
1554325323,4,1
1554325923,1,0
1554326524,2,0
1554327723,1,0
1554329523,5,0
1554330122,1,0
1554333723,0,1
1554334922,2,0
1554337322,1,0
1554338523,2,0
1554339723,1,0
1554340923,1,1
1554342123,1,0
1554344523,2,0
1554345723,2,0
1554346924,2,0
1554348723,1,0
1554350523,2,0
1554351123,2,0
1554351724,1,0
1554352323,1,1
1554356522,2,0
1554357723,2,0
1554358923,1,0
1554360122,2,0
1554362523,3,0
1554363723,1,0
1554364322,1,0
1554364922,3,0
1554365523,4,0
1554366123,1,0
1554366722,1,0
1554367922,2,0
1554368523,2,0
1554369723,1,0
1554370323,1,0
1554370922,1,0
1554371523,1,0
1554372124,5,0
1554375724,6,0
1554378122,1,0
1554381723,9,0
1554384123,1,0
1554384723,3,1
1554386523,2,0
1554387123,0,1
1554387723,3,0
1554390724,1,0
1554391323,1,0
1554391923,9,0
1554392522,1,0
1554393725,2,0
1554394323,1,0
1554395523,1,0
1554396123,3,0
1554398524,2,0
1554399723,1,0
1554400924,2,0
1554402123,10,0
1554403323,2,0
1554404523,1,0
1554405723,2,0
1554406923,4,0
1554408123,3,0
1554409323,1,0
1554410523,2,0
1554411723,1,0
1554414123,1,0
1554416523,1,0
1554418323,1,0
1554418923,2,0
1554420123,2,0
1554420723,1,0
1554422525,1,0
1554423123,1,0
1554423723,2,0
1554424924,1,0
1554425523,2,0
1554426722,3,0
1554427323,2,0
1554429723,6,0
1554430323,1,0
1554430926,4,0
1554431523,1,0
1554432123,25,0
1554433924,2,0
1554434523,2,0
1554435723,1,0
1554436923,0,1
1554437522,1,0
1554439324,1,0
1554440522,2,0
1554447722,5,0
1554448923,3,0
1554449523,2,0
1554450123,1,0
1554451324,1,1
1554452524,1,0
1554453723,0,1
1554454923,2,0
1554455524,2,0
1554458523,5,0
1554460923,0,1
1554462123,0,1
1554462723,0,1
1554464523,2,0
1554465123,2,0
1554466323,1,0
1554468123,1,0
1554469323,6,0
1554470523,0,1
1554472323,4,0
1554474122,0,1
1554477023,0,1
1554478324,16,0
1554478923,1,0
1554479522,15,0
1554481323,1,0
1554482522,1,0
1554483723,1,0
1554484923,0,1
1554487322,5,0
1554487923,2,0
1554488523,1,0
1554490923,3,0
1554494523,2,0
1554495723,1,0
1554496923,12,0
1554498122,2,0
1554499322,1,0
1554501124,1,0
1554501723,1,0
