DateTime,Entries,UniqueIPs
1553921533,3780,3780
1553923452,3766,3766
1553925391,3748,3748
1553927289,3739,3739
1553929240,3729,3729
1553931156,3723,3723
1553933059,3706,3706
1553934974,3705,3705
1553936899,3682,3682
1553938833,3670,3670
1553940743,3654,3654
1553942673,3650,3650
1553944574,1955,1955
1553946492,1943,1943
1553948427,2626,2626
1553950332,2623,2623
1553952250,2609,2609
1553954189,2618,2618
1553956089,2617,2617
1553958020,2625,2625
1553959962,2619,2619
1553961876,2623,2623
1553963772,2624,2624
1553965707,2641,2641
1553967612,2656,2656
1553969555,2652,2652
1553971452,2684,2684
1553973375,2688,2688
1553975313,2687,2687
1553977210,2697,2697
1553979130,2685,2685
1553981052,2688,2688
1553982986,2666,2666
1553984898,2650,2650
1553986842,2639,2639
1553988743,2622,2622
1553990680,3235,3235
1553992587,3223,3223
1553994762,3205,3205
1553996657,3211,3211
1553998570,3204,3204
1554000493,3201,3201
1554002434,3190,3190
1554004331,3185,3185
1554006276,3171,3171
1554008173,3172,3172
1554010092,3155,3155
1554012021,3145,3145
1554014009,3134,3134
1554015860,3134,3134
1554017768,3148,3148
1554019711,3149,3149
1554021610,3136,3136
1554023532,3114,3114
1554025468,3108,3108
1554027381,1313,1313
1554029297,1327,1327
1554031228,1887,1887
1554033152,1893,1893
1554035050,1881,1881
1554036984,1862,1862
1554038890,1872,1872
1554040816,1874,1874
1554042999,1897,1897
1554044915,1950,1950
1554046809,2005,2005
1554048729,2055,2055
1554050670,2102,2102
1554052571,2146,2146
1554054489,2187,2187
1554056671,2207,2207
1554058568,2250,2250
1554060487,2290,2290
1554062501,2307,2307
1554064357,2338,2338
1554066278,2361,2361
1554068171,2388,2388
1554070089,2294,2294
1554072035,2306,2306
1554074454,2786,2786
1554076356,2800,2800
1554078256,2804,2804
1554080174,2803,2803
1554082115,2812,2812
1554084057,2853,2853
1554086207,2902,2902
1554088101,2965,2965
1554090014,3033,3033
1554091933,3056,3056
1554093869,3094,3094
1554095785,3125,3125
1554097695,3146,3146
1554099632,3171,3171
1554101540,3189,3189
1554103472,3234,3234
1554105389,3270,3270
1554107289,3292,3292
1554109259,3306,3306
1554111154,3321,3321
1554113265,2246,2246
1554115227,2267,2267
1554117136,2741,2741
1554119296,2754,2754
1554121237,2792,2792
1554123148,2818,2818
1554125070,2883,2883
1554126993,2922,2922
1554128915,2956,2956
1554130814,2984,2984
1554132754,2994,2994
1554134659,3003,3003
1554136608,3006,3006
1554138515,3015,3015
1554140412,3027,3027
1554142329,3029,3029
1554144271,3033,3033
1554146181,3047,3047
1554148094,3041,3041
1554150286,3033,3033
1554152480,3044,3044
1554154347,3046,3046
1554156270,3051,3051
1554158172,3046,3046
1554160128,3467,3467
1554162033,3471,3471
1554163977,3479,3479
1554165854,3495,3495
1554167778,3511,3511
1554169716,3507,3507
1554171617,3510,3510
1554173532,3518,3518
1554175458,3517,3517
1554177370,3511,3511
1554179544,3530,3530
1554181701,3559,3559
1554183617,3585,3585
1554185554,3618,3618
1554187455,3622,3622
1554189382,3618,3618
1554191293,3616,3616
1554193235,3617,3617
