DateTime,AddedIPs,RemovedIPs
1554439523,976,826
1554440424,990,982
1554441323,893,885
1554442224,1038,1025
1554443121,1074,818
1554444024,1077,876
1554444924,1025,896
1554445823,1018,927
1554446725,1001,1075
1554447623,1079,976
1554448523,986,903
1554449427,1137,1050
1554450322,1025,1089
1554451223,957,1064
1554452125,1026,1074
1554453027,1022,1103
1554453923,1013,767
1554454824,956,786
1554455725,985,841
1554456623,1182,1109
1554457525,1085,916
1554458426,1005,1046
1554459329,1085,835
1554460227,1165,867
1554461123,1082,920
1554462027,1345,1111
1554462925,1271,1046
1554463824,1330,986
1554464724,1272,1340
1554465622,1200,1381
1554466524,1363,1471
1554467422,1200,1241
1554468324,1184,1351
1554469222,1271,1212
1554470125,1217,950
1554471025,1099,1153
1554471924,1097,1151
1554472825,1338,1107
1554473723,1097,1083
1554474626,1226,1327
1554475523,1110,1564
1554476424,1048,1301
1554477325,984,1363
1554478222,1008,872
1554479123,1123,906
1554480024,966,789
1554480924,1015,759
1554481821,1262,979
1554483620,3195,1920
1554484519,1412,1328
1554485423,1393,1181
1554486320,1272,1358
1554487220,1289,1606
1554488120,1440,1781
1554489023,1133,1289
1554489925,1069,1090
1554490821,1068,1350
1554491722,1050,1246
1554492621,1043,1625
1554493523,1200,1477
1554494422,990,1199
1554495319,989,1106
1554496219,1114,986
1554497119,921,925
1554498017,914,1410
1554498919,1011,1105
1554499820,887,787
1554500721,914,945
1554501620,878,901
1554502518,941,595
1554504318,1708,1456
1554505220,902,964
1554506118,934,721
1554507018,822,946
1554507921,889,1082
1554508821,809,1049
1554509724,927,757
1554510619,965,925
1554511522,875,911
1554512418,941,731
1554513318,925,668
1554514216,825,624
1554515118,813,637
1554516020,842,673
1554516947,727,414
1554517818,296,46
1554518721,425,86
1554519618,409,75
1554520519,438,108
1554521419,399,61
1554522318,421,57
1554523218,435,74
1554524117,436,22
1554525017,377,66
1554525916,397,36
1554526817,588,49
1554527717,443,40
1554528617,419,55
1554529516,740,153
1554530414,330,88
1554531313,195,41
1554532214,201,52
1554533114,316,31
1554534013,255,101
1554534914,220,197
1554535814,202,186
1554536712,318,168
1554537611,337,163
1554538512,251,202
1554539413,250,212
1554540311,313,281
1554541211,287,373
1554542110,354,349
1554543010,301,407
1554543910,206,376
1554544810,294,402
1554545708,264,414
1554546607,300,424
1554547508,276,363
1554548408,410,390
1554549307,250,555
1554550206,359,443
1554551107,430,398
1554552005,358,726
1554552904,522,337
1554553804,534,270
1554554705,439,194
1554555604,491,604
1554556503,349,914
1554557403,373,859
1554558303,386,772
1554559202,368,914
1554560102,277,932
1554561002,431,656
1554561901,286,235
1554562801,232,269
1554563702,379,243
1554564602,407,351
1554565502,303,291
1554566402,291,172
1554567302,258,216
1554568202,200,206
1554569102,397,261
1554570001,208,217
1554570902,390,373
1554571802,174,192
1554572701,186,320
1554573601,176,364
1554574502,462,232
1554575402,385,488
1554576302,1293,462
1554577202,3526,425
1554578102,2994,476
1554579002,2169,356
1554579903,1442,348
1554580803,876,388
1554581703,1101,384
1554582603,777,301
1554583503,611,456
1554584403,641,258
1554585303,630,226
1554586203,559,374
1554587102,593,370
1554588002,645,266
1554588903,442,274
1554589802,489,258
1554590703,533,202
1554591603,525,371
1554592503,523,228
1554593403,489,403
1554594303,417,171
1554595202,395,177
1554596103,456,194
1554597002,458,446
1554597903,492,352
1554598803,417,979
1554599702,481,2510
1554600602,509,2461
1554601503,363,2088
1554602402,387,1346
1554603305,314,873
1554604203,370,1069
1554605104,308,746
1554606008,278,623
1554606904,686,663
1554607803,676,644
1554608702,1875,520
1554609603,1203,536
1554610502,651,594
1554611403,578,422
1554612302,652,438
1554613203,737,474
1554614103,597,496
1554615002,658,483
1554615902,585,440
1554616803,573,368
1554617703,655,361
1554618602,586,449
1554619502,625,444
1554620402,735,440
1554621302,595,558
1554622203,692,902
1554623103,832,714
1554624002,712,382
1554624903,795,355
1554625803,655,254
1554626703,777,327
1554627603,669,284
1554628503,570,279
1554629402,636,509
1554630303,716,554
1554631202,304,1801
1554632102,223,1222
1554633003,271,712
1554633902,284,590
1554634802,951,667
