DateTime,Entries,UniqueIPs
1554439523,3736,3736
1554440424,3744,3744
1554441323,3752,3752
1554442224,3765,3765
1554443121,4021,4021
1554444024,4222,4222
1554444924,4351,4351
1554445823,4442,4442
1554446725,4368,4368
1554447623,4471,4471
1554448523,4554,4554
1554449427,4641,4641
1554450322,4577,4577
1554451223,4470,4470
1554452125,4422,4422
1554453027,4341,4341
1554453923,4587,4587
1554454824,4757,4757
1554455725,4901,4901
1554456623,4974,4974
1554457525,5143,5143
1554458426,5102,5102
1554459329,5352,5352
1554460227,5650,5650
1554461123,5812,5812
1554462027,6046,6046
1554462925,6271,6271
1554463824,6615,6615
1554464724,6547,6547
1554465622,6366,6366
1554466524,6258,6258
1554467422,6217,6217
1554468324,6050,6050
1554469222,6109,6109
1554470125,6376,6376
1554471025,6322,6322
1554471924,6268,6268
1554472825,6499,6499
1554473723,6513,6513
1554474626,6412,6412
1554475523,5958,5958
1554476424,5705,5705
1554477325,5326,5326
1554478222,5462,5462
1554479123,5679,5679
1554480024,5856,5856
1554480924,6112,6112
1554481821,6395,6395
1554483620,7670,7670
1554484519,7754,7754
1554485423,7966,7966
1554486320,7880,7880
1554487220,7563,7563
1554488120,7222,7222
1554489023,7066,7066
1554489925,7045,7045
1554490821,6763,6763
1554491722,6567,6567
1554492621,5985,5985
1554493523,5708,5708
1554494422,5499,5499
1554495319,5382,5382
1554496219,5510,5510
1554497119,5506,5506
1554498017,5010,5010
1554498919,4916,4916
1554499820,5016,5016
1554500721,4985,4985
1554501620,4962,4962
1554502518,5308,5308
1554504318,5560,5560
1554505220,5498,5498
1554506118,5711,5711
1554507018,5587,5587
1554507921,5394,5394
1554508821,5154,5154
1554509724,5324,5324
1554510619,5364,5364
1554511522,5328,5328
1554512418,5538,5538
1554513318,5795,5795
1554514216,5996,5996
1554515118,6172,6172
1554516020,6341,6341
1554516947,6654,6654
1554517818,6904,6904
1554518721,7243,7243
1554519618,7577,7577
1554520519,7907,7907
1554521419,8245,8245
1554522318,8609,8609
1554523218,8970,8970
1554524117,9384,9384
1554525017,9695,9695
1554525916,10056,10056
1554526817,10595,10595
1554527717,10998,10998
1554528617,11362,11362
1554529516,11949,11949
1554530414,12191,12191
1554531313,12345,12345
1554532214,12494,12494
1554533114,12779,12779
1554534013,12933,12933
1554534914,12956,12956
1554535814,12972,12972
1554536712,13122,13122
1554537611,13296,13296
1554538512,13345,13345
1554539413,13383,13383
1554540311,13415,13415
1554541211,13329,13329
1554542110,13334,13334
1554543010,13228,13228
1554543910,13058,13058
1554544810,12950,12950
1554545708,12800,12800
1554546607,12676,12676
1554547508,12589,12589
1554548408,12609,12609
1554549307,12304,12304
1554550206,12220,12220
1554551107,12252,12252
1554552005,11884,11884
1554552904,12069,12069
1554553804,12333,12333
1554554705,12578,12578
1554555604,12465,12465
1554556503,11900,11900
1554557403,11414,11414
1554558303,11028,11028
1554559202,10482,10482
1554560102,9827,9827
1554561002,9602,9602
1554561901,9653,9653
1554562801,9616,9616
1554563702,9752,9752
1554564602,9808,9808
1554565502,9820,9820
1554566402,9939,9939
1554567302,9981,9981
1554568202,9975,9975
1554569102,10111,10111
1554570001,10102,10102
1554570902,10119,10119
1554571802,10101,10101
1554572701,9967,9967
1554573601,9779,9779
1554574502,10009,10009
1554575402,9906,9906
1554576302,10737,10737
1554577202,13838,13838
1554578102,16356,16356
1554579002,18169,18169
1554579903,19263,19263
1554580803,19751,19751
1554581703,20468,20468
1554582603,20944,20944
1554583503,21099,21099
1554584403,21482,21482
1554585303,21886,21886
1554586203,22071,22071
1554587102,22294,22294
1554588002,22673,22673
1554588903,22841,22841
1554589802,23072,23072
1554590703,23403,23403
1554591603,23557,23557
1554592503,23852,23852
1554593403,23938,23938
1554594303,24184,24184
1554595202,24402,24402
1554596103,24664,24664
1554597002,24676,24676
1554597903,24816,24816
1554598803,24254,24254
1554599702,22225,22225
1554600602,20273,20273
