DateTime,AddedIPs,RemovedIPs
1548205838,3,4
1548213042,8,0
1548222640,7,7
1548231642,9,9
1548240046,6,10
1548250241,7,6
1548259240,7,0
1548268239,7,6
1548278440,6,10
1548286840,7,7
1548295240,7,9
1548303047,5,0
1548313844,4,10
1548323439,8,9
1548332439,6,4
1548343255,4,6
1548352241,6,8
1548362438,4,0
1548371440,7,11
1548381039,7,11
1548390038,6,8
1548399038,6,6
1548408043,2,8
1548415844,5,6
1548424239,5,0
1548433237,7,9
1548443443,9,8
1548453039,8,9
1550078440,0,1255
1550093436,8,8
1550099438,19,11
1550110226,8,10
1550124025,14,22
1550136625,22,11
1550148626,9,8
1550163626,13,10
1550177425,11,8
1550190024,11,18
1550201425,11,0
1550213423,10,6
1550226024,13,9
1550239225,11,17
1550251824,8,0
1550264425,8,8
1550275824,13,10
1550288424,7,17
1550302824,10,8
1550316023,10,19
1550329824,12,9
1550343023,7,20
1550355024,9,9
1550366423,12,5
1550377823,11,10
1550389823,9,19
1550401223,13,6
1550412623,11,12
1550424624,9,20
1550435423,10,11
1550445623,9,7
1550457023,11,12
1550469023,14,13
1550481622,9,10
1550494224,15,5
1550506223,10,8
1550517624,9,9
1550528423,10,12
1550539223,9,8
1550550023,9,14
1550562026,7,8
1550574623,14,20
1550585424,10,0
1550598623,11,23
1550610623,14,20
1550622023,12,0
1550632823,11,16
1550644223,10,9
1550655023,6,17
1550665224,8,11
1550677223,8,11
1550687423,11,11
1550698224,8,7
1550707823,7,10
1550718623,10,10
1550730623,6,16
1550741424,12,9
1550752224,13,8
1550763623,9,17
1550776223,10,10
1550788823,11,20
1550799622,12,8
1550810422,11,10
1550821823,8,12
1550832623,12,12
1550843424,8,18
1550855423,9,10
1550865623,10,11
1550875822,8,12
1550886622,14,12
1550896823,10,21
1550908222,12,9
1550918422,12,11
1550929222,10,9
1550940031,12,11
1550952026,12,7
1550961622,9,8
1550971839,9,15
1550981422,6,11
1550992822,8,8
1551003023,13,19
1551013823,12,11
1551023422,14,11
1551034233,6,11
1551045023,12,18
1551054622,5,0
1551063022,11,0
1551073822,9,0
1551085222,11,0
1551094822,8,0
1551106822,6,0
1551117623,9,0
1551129023,11,0
1551139241,9,0
1551150022,9,0
1551159622,7,0
1551170422,9,0
1551180621,12,0
1551190222,12,0
1551202222,10,0
1551212422,8,0
1551222622,8,0
1551233423,10,0
1551241824,7,0
1551251422,9,0
1551262222,6,0
1551271223,12,0
1551280822,5,0
1551292223,9,0
1551301222,10,0
1551310222,7,0
1551318624,7,0
1551328823,8,0
1551337822,9,0
1551348023,9,0
1551358222,10,0
1551366023,7,0
1551373223,8,0
1551381024,9,0
1551390023,5,0
1551398436,7,0
1551406824,10,0
1551424223,9,0
1551438623,8,0
1551453623,6,0
1551466823,7,0
1551479423,9,0
1551490223,7,0
1551500423,12,0
1551511823,11,0
1551522023,4,0
1551533422,9,0
1551544223,10,0
1551555022,11,0
1551564623,11,0
1551574222,11,0
1551579624,9,0
1551586223,10,0
1551591624,5,0
1551599424,13,0
1551606625,8,0
1551613825,8,0
1551621629,5,0
1551628825,10,0
1551636025,7,0
1551643825,8,0
1551651625,5,0
1551658825,8,0
1551667226,9,0
1551675026,5,0
1551684027,6,0
1551693026,10,0
1551702027,9,0
1551724224,7,0
1551736225,8,0
1551743425,8,0
1551757226,7,0
1551773425,8,0
1551783025,12,0
1551797425,10,0
1551811825,8,0
1551823825,10,0
1551833425,10,0
1551844825,9,0
1551855625,7,0
1551866425,7,0
1551876625,8,0
1551888025,13,0
1551897625,8,0
1551908425,7,0
1551919826,9,0
1551930625,9,0
1551943225,8,0
1551955226,9,0
1551967826,11,0
1551979225,8,0
1551990625,7,0
1552000825,9,0
1552011627,12,0
1552022425,7,0
1552032625,10,0
1552044627,8,0
1552056026,8,0
1552067425,8,0
1552078225,6,0
1552088426,10,0
1552099226,8,0
1552108225,3,0
1552119626,9,0
1552130426,7,0
1552140626,6,0
1552152026,8,0
1552163426,9,0
1552173026,7,0
1552183827,7,0
1552194627,12,0
1552205426,8,0
1552216827,5,0
1552227627,9,0
1552237827,9,0
1552248627,8,0
1552259427,10,0
1552270227,12,0
1552281027,10,0
1552291827,8,0
1552303827,7,0
1552314027,6,0
1552324827,8,0
1552335627,7,0
1552346427,6,0
1552357228,7,0
1552368026,6,0
1552378828,8,0
1552389627,7,0
1552401628,12,0
1552413027,10,0
1552424428,7,0
1552434027,7,0
1552445428,7,0
1552455628,10,0
1552466428,7,0
1552478428,5,0
1552488628,2,0
1552499427,8,0
1552510829,6,0
1552521028,8,0
1552531828,8,0
1552542028,5,0
1552552829,6,0
1552564228,10,0
1552575028,5,0
1552585827,8,0
1552596629,11,0
1552607428,7,0
1552617628,12,0
1552626628,7,0
1552637429,9,0
1552647028,6,0
1552657828,8,0
1552669229,7,11
1552680029,4,0
1552689029,10,6
