DateTime,AddedIPs,RemovedIPs
1548196839,26,26
1548205838,25,26
1548213042,25,25
1548222640,22,21
1548231642,25,25
1548240046,26,26
1548250241,25,25
1548259240,25,25
1548268239,26,26
1548278440,24,25
1548286840,27,25
1548295240,24,27
1548303047,25,24
1548313844,18,19
1548323439,26,24
1548332439,23,25
1548343255,23,23
1548352241,22,22
1548362438,25,24
1548371440,25,25
1548381039,26,25
1548390038,24,25
1548399038,25,24
1548408043,27,26
1548415844,25,26
1548424239,25,26
1548433237,24,23
1548443443,26,26
1548453039,26,26
1550093436,23,25
1550099438,26,24
1550110226,23,26
1550124025,27,23
1550136625,24,25
1550148626,26,26
1550163626,24,24
1550177425,19,19
1550190024,24,26
1550201425,26,23
1550213423,27,27
1550226024,23,26
1550239225,24,23
1550251824,22,23
1550264425,24,23
1550275824,27,25
1550288424,23,26
1550302824,18,16
1550316023,23,22
1550329824,25,26
1550343023,23,24
1550355024,22,20
1550366423,25,27
1550377823,25,24
1550389823,21,21
1550401223,26,26
1550412623,27,26
1550424624,24,24
1550435423,27,27
1550445623,23,25
1550457023,27,25
1550469023,26,26
1550481622,23,25
1550494224,24,24
1550506223,25,24
1550517624,24,24
1550528423,27,26
1550539223,25,27
1550550023,23,24
1550562026,19,19
1550574623,24,22
1550585424,27,26
1550598623,25,27
1550610623,24,23
1550622023,25,25
1550632823,22,25
1550644223,24,22
1550655023,21,23
1550665224,26,23
1550677223,22,22
1550687423,25,25
1550698224,25,26
1550707823,24,25
1550718623,24,23
1550730623,23,23
1550741424,27,25
1550752224,26,27
1550763623,24,25
1550776223,20,21
1550788823,24,22
1550799622,27,26
1550810422,25,27
1550821823,23,23
1550832623,25,23
1550843424,23,24
1550855423,25,25
1550865623,22,24
1550875822,23,23
1550886622,24,21
1550896823,27,27
1550908222,26,27
1550918422,27,26
1550929222,26,26
1550940031,24,24
1550952026,25,27
1550961622,26,24
1550971839,27,27
1550981422,26,26
1550992822,24,27
1551003023,27,24
1551013823,27,27
1551023422,26,27
1551034233,21,25
1551045023,27,22
1551054622,22,27
1551063022,23,20
1551073822,24,23
1551085222,26,26
1551094822,26,26
1551106822,24,25
1551117623,25,23
1551129023,27,27
1551139241,25,27
1551150022,24,24
1551159622,27,25
1551170422,26,26
1551180621,27,27
1551190222,23,25
1551202222,23,22
1551212422,25,25
1551222622,26,26
1551233423,25,25
1551241824,25,25
1551251422,25,26
1551262222,22,22
1551271223,27,25
1551280822,26,27
1551292223,24,25
1551301222,21,21
1551310222,26,25
1551318624,24,26
1551328823,24,22
1551337822,25,25
1551348023,26,25
1551358222,25,25
1551366023,27,27
1551373223,26,27
1551381024,25,24
1551390023,23,27
1551398436,23,23
1551406824,26,22
1551424223,25,25
1551438623,23,24
1551453623,23,23
1551466823,23,23
1551479423,23,22
1551490223,23,26
1551500423,27,24
1551511823,22,25
1551522023,20,21
1551533422,20,16
1551544223,23,25
1551555022,25,24
1551564623,24,24
1551574222,25,26
1551579624,25,25
1551586223,23,24
1551591624,22,24
1551599424,26,22
1551606625,20,21
1551613825,21,20
1551621629,22,24
1551628825,26,24
1551636025,26,26
1551643825,25,26
1551651625,20,23
1551658825,24,22
1551667226,26,23
1551675026,22,25
1551684027,23,23
1551693026,25,22
1551702027,23,26
1551724224,21,19
1551736225,24,24
1551743425,24,26
1551757226,22,20
1551773425,21,21
1551783025,25,25
1551797425,24,25
1551811825,22,22
1551823825,25,24
1551833425,27,26
1551844825,26,26
1551855625,24,27
1551866425,25,24
1551876625,27,25
1551888025,26,26
1551897625,26,27
1551908425,26,26
1551919826,21,22
1551930625,24,22
1551943225,20,21
1551955226,23,23
1551967826,23,23
1551979225,26,25
1551990625,25,26
1552000825,24,26
1552011627,25,22
1552022425,22,23
1552032625,24,26
1552044627,26,23
1552056026,23,25
1552067425,24,23
1552078225,24,25
1552088426,27,25
1552099226,24,25
1552108225,21,26
1552119626,23,18
1552130426,25,26
1552140626,25,25
1552152026,19,17
1552163426,24,26
1552173026,26,25
1552183827,25,26
1552194627,27,25
1552205426,21,23
1552216827,23,23
1552227627,24,22
1552237827,24,27
1552248627,24,23
1552259427,27,25
1552270227,25,25
1552281027,25,25
1552291827,26,27
1552303827,23,23
1552314027,24,26
1552324827,26,24
1552335627,22,24
1552346427,24,24
1552357228,25,24
1552368026,23,23
1552378828,24,23
1552389627,25,26
1552401628,25,23
1552413027,25,25
1552424428,23,24
1552434027,23,24
1552445428,22,23
1552455628,24,21
1552466428,22,24
1552478428,19,19
1552488628,17,21
1552499427,21,16
1552510829,22,23
1552521028,25,23
1552531828,24,26
1552542028,21,23
1552552829,22,21
1552564228,25,22
1552575028,23,25
1552585827,25,24
1552596629,26,25
1552607428,24,26
1552617628,27,25
1552626628,26,27
1552637429,25,25
1552647028,26,26
1552657828,23,24
1552669229,26,24
1552680029,20,24
1552689029,27,23
1552698629,26,27
1552709428,23,25
1552720229,24,22
1552731628,22,21
1552743029,21,22
1552752028,25,26
1552762229,24,23
1552773028,22,25
1552783229,22,21
1552794629,23,23
1552804830,26,23
1552816230,21,21
1552826430,26,27
1552836030,26,25
1552846831,26,26
1552857031,26,27
1552867233,23,25
1552876231,27,24
1552885832,26,27
1552896630,25,24
1552907431,27,27
1552918230,24,24
1552929032,25,25
1552939231,27,27
1552947631,25,27
1552956631,23,24
1552966831,25,23
1552975231,21,25
1552985431,23,20
1552995031,27,25
1553004631,27,27
1553014830,24,27
1553025031,27,24
1553034030,27,27
1553044231,24,26
1553055630,25,24
1553065830,24,25
1553077230,24,23
1553086831,26,26
1553096430,26,26
1553106631,25,25
1553116830,27,26
1553127030,22,26
1553136030,26,23
1553144430,26,26
1553153430,25,24
1553161831,21,27
1553172030,23,21
1553182830,25,21
1553194831,25,27
1553204431,26,24
1553215830,27,27
1553226031,25,27
