DateTime,AddedIPs,RemovedIPs
1554180967,7,6
1554181687,8,12
1554182165,10,8
1554182645,8,7
1554183127,7,7
1554183608,8,10
1554184084,10,6
1554184566,7,6
1554185288,7,12
1554186007,9,6
1554186490,5,4
1554186964,4,11
1554187446,8,7
1554187926,9,6
1554188421,5,8
1554188889,8,9
1554189368,12,8
1554189850,6,5
1554190327,7,7
1554190805,6,5
1554191286,7,8
1554191765,8,11
1554192245,6,3
1554192725,5,8
1554193208,10,3
1554193688,2,0
1554253926,4,7
1554254405,5,6
1554254888,11,9
1554255367,10,13
1554255846,9,6
1554256328,10,12
1554256810,7,7
1554257288,7,7
1554257769,10,7
1554258245,7,8
1554258725,10,9
1554259207,9,7
1554259687,7,5
1554260165,4,5
1554260649,8,9
1554261127,11,12
1554261604,11,5
1554262085,8,11
1554262564,8,10
1554263050,9,6
1554263525,7,7
1554264012,7,8
1554264486,8,7
1554264967,6,8
1554265446,9,8
1554265925,8,8
1554266405,8,7
1554266892,7,8
1554267364,7,7
1554267844,7,6
1554268326,9,6
1554268808,5,5
1554269289,5,7
1554269765,9,12
1554270245,8,7
1554270729,10,7
1554271448,4,9
1554271930,11,9
1554272404,6,6
1554272885,7,8
1554273367,8,8
1554273846,9,13
1554274332,11,9
1554274829,7,6
1554275529,10,12
1554276004,10,9
1554276489,7,8
1554276964,5,6
1554277444,8,10
1554277924,7,5
1554278405,11,12
1554279128,8,9
1554279605,9,3
1554280087,2,0
1554306488,1,1
1554307686,1,1
1554339845,0,1
1554340325,4,10
1554340806,6,6
1554341288,11,8
1554341764,9,8
1554342245,7,8
1554342724,11,10
1554343215,7,10
1554343684,9,9
1554344166,6,8
1554344646,11,10
1554345129,7,8
1554345606,9,6
1554346085,7,10
1554346565,8,6
1554347046,6,10
1554347524,11,6
1554348005,10,8
1554348486,4,6
1554348965,8,10
1554349446,10,9
1554349926,5,5
1554350422,5,7
1554350890,6,4
1554351369,4,10
1554351845,8,6
1554352327,7,8
1554352805,6,8
1554353290,8,7
1554353766,4,10
1554354489,13,10
1554354964,6,6
1554355444,6,6
1554355927,7,11
1554356406,12,7
1554356884,11,11
1554357365,7,7
1554358085,9,8
1554358566,7,9
1554359044,10,7
1554359528,7,17
1554360004,17,15
1554360485,12,8
1554360967,8,10
1554361445,9,9
1554361925,12,8
1554362404,8,5
1554362887,4,7
1554363364,7,4
1554363844,5,3
1554364324,7,8
1554364825,12,12
1554365285,9,8
1554366011,7,5
1554366485,3,0
1554376087,1,1
1554377045,1,1
1554419525,1,1
1554422429,1,1
1554422886,1,1
1554426486,0,6
1554426967,9,9
1554427444,6,7
1554427927,9,10
1554428406,8,11
1554428883,9,9
1554429365,11,10
1554430085,9,5
1554430564,7,7
1554431044,5,6
1554431525,8,6
1554432006,5,8
1554432488,8,9
1554432964,9,3
1554433444,3,5
1554434167,8,8
1554434647,10,9
1554435128,4,7
1554435605,7,7
1554436087,5,5
1554436566,8,4
1554437286,5,10
1554437768,6,10
1554438245,10,10
1554438728,11,9
1554439206,8,7
1554439686,8,7
1554440166,7,6
1554440645,6,6
1554441126,7,6
1554441847,5,8
1554442327,9,6
1554442805,6,3
1554443284,7,7
1554443768,7,10
1554444486,9,7
1554444965,9,10
1554445445,7,10
1554445925,10,9
1554446404,12,10
1554447128,11,8
1554447624,8,8
1554448085,5,6
1554448569,6,9
1554449046,10,9
1554449528,6,6
1554450008,6,10
1554450489,10,6
1554450967,8,8
1554451448,7,8
1554451930,6,7
1554452405,5,1
1554452886,1,1
1554453366,1,0
1554479765,0,1
1554480486,1,0
1554499688,1,1
1554500885,1,1
1554508830,0,1
1554509286,1,0
1554510244,1,1
1554512647,0,6
1554513129,8,6
1554513605,9,10
1554514084,9,7
1554514566,8,11
1554515045,9,11
1554515524,9,6
1554516017,6,12
1554516490,10,7
1554516966,9,6
1554517449,6,6
1554517925,7,10
1554518408,10,7
1554518887,11,5
1554519365,8,10
1554519845,7,4
1554520327,6,7
1554520804,8,14
1554521288,11,9
1554521763,9,11
1554522247,10,8
1554522724,9,9
1554523222,6,6
1554523684,9,8
1554524167,6,7
1554524646,9,11
1554525125,9,6
1554525606,5,7
1554526090,10,9
1554526565,7,10
1554527045,9,6
1554527528,7,9
1554528008,8,5
1554528485,5,7
1554529208,9,7
1554529688,7,8
1554530165,8,10
1554530645,9,5
1554531125,7,10
1554531604,7,12
1554532088,12,9
1554532806,9,26
1554533288,9,8
1554533768,10,10
1554534245,8,8
1554534727,10,10
1554535204,6,4
1554535687,7,13
1554536165,9,3
1554536644,9,10
1554537124,6,7
1554537625,13,11
1554538090,5,6
1554538565,5,7
1554539044,6,3
1554539529,1,1
1554549846,1,1
1554550808,1,1
1554553685,1,1
1554554648,1,1
1554566430,1,1
1554566890,1,1
1554568805,1,1
1554569764,1,1
1554599288,1,5
1554599764,6,7
1554600245,5,7
1554600725,8,9
1554601207,8,8
1554601689,10,7
1554602166,6,9
1554602644,8,7
1554603127,10,9
1554603608,8,5
1554604085,5,7
1554604564,6,5
1554605048,8,11
1554605524,8,6
1554606013,11,9
1554606485,4,10
1554606967,14,10
1554607445,11,11
1554607925,9,10
1554608404,9,11
1554608889,10,7
1554609365,8,8
1554609844,8,4
1554610325,5,7
1554610808,6,7
1554611289,8,7
1554611765,6,5
1554612245,7,6
1554612726,5,7
1554613447,6,10
1554613927,10,8
1554614405,7,10
1554614886,10,6
