DateTime,AddedIPs,RemovedIPs
1554479522,76,42
1554480124,47,45
1554481323,37,66
1554481923,29,31
1554482522,27,0
1554483123,29,79
1554483723,43,41
1554484323,44,0
1554484923,46,40
1554485523,29,0
1554486123,43,32
1554487322,43,30
1554487923,33,52
1554488523,43,32
1554489723,35,39
1554490323,34,0
1554490923,47,0
1554492123,64,26
1554493323,34,40
1554494523,48,43
1554495723,38,38
1554496923,73,73
1554498122,47,0
1554499322,39,36
1554500523,38,48
1554501124,33,33
1554501723,33,37
1554502923,33,38
1554504722,31,34
1554505323,26,70
1554505923,31,0
1554506522,50,0
1554507123,47,41
1554507722,31,41
1554508925,22,43
1554509524,26,0
1554510123,48,76
1554511323,29,39
1554512522,37,90
1554513123,48,38
1554513723,39,38
1554514923,25,77
1554515523,27,0
1554516123,46,41
1554516722,48,28
1554517326,46,49
1554517924,35,0
1554518523,29,39
1554519122,23,40
1554519723,36,28
1554520323,34,0
1554520922,32,41
1554522124,34,44
1554522723,42,88
1554523323,29,0
1554523923,36,45
1554524522,29,45
1554525722,36,26
1554526923,23,0
1554527523,34,71
1554528123,41,0
1554528725,32,44
1554529322,38,0
1554529922,34,78
1554530523,35,0
1554531123,37,36
1554531722,34,48
1554532323,43,0
1554532922,48,0
1554534123,38,80
1554534723,40,45
1554535322,43,32
1554536523,34,141
1554537123,35,0
1554537723,35,49
1554538323,24,0
1554538923,46,61
1554539522,61,36
1554540123,36,0
1554541324,35,57
1554541922,36,88
1554542522,36,34
1554543723,33,35
1554544922,35,0
1554546122,28,80
1554547323,31,72
1554548522,26,41
1554549122,33,0
1554549723,37,22
1554550323,39,0
1554550923,26,29
1554551523,48,44
1554552123,45,36
1554553323,36,83
1554554523,43,37
1554555122,30,37
1554555723,27,0
1554556323,27,26
1554556923,40,0
1554557523,32,29
1554558123,41,0
1554558723,31,39
1554559323,30,58
1554559923,29,0
1554560523,21,0
1554561723,49,54
1554562923,60,0
1554563524,32,36
1554564123,35,0
1554564723,38,28
1554565324,34,121
1554565922,45,0
1554566523,34,125
1554567723,29,33
1554568922,34,28
1554570123,28,58
1554570722,36,78
1554571322,25,0
1554571923,35,65
1554572523,30,37
1554573723,39,48
1554574323,45,32
1554574922,41,0
1554575522,39,32
1554576123,27,25
1554577322,32,28
1554578522,37,33
1554579722,41,55
1554580323,29,32
1554580923,33,40
1554581522,15,0
1554582123,31,37
1554582722,68,0
1554583323,42,0
1554583923,33,74
1554584523,28,0
1554585722,47,76
1554586322,47,0
1554586922,53,0
1554588123,35,66
1554589323,29,61
1554589922,19,0
1554590523,26,0
1554591723,16,39
1554592922,26,100
1554593522,40,33
1554594123,54,0
1554595324,31,28
1554595922,35,56
1554596524,30,0
1554597723,35,52
1554598922,34,0
1554599523,26,40
1554600123,32,73
1554601323,46,0
1554602523,43,53
1554603723,36,86
1554604323,39,43
1554604922,35,61
1554606122,31,71
1554607323,30,57
1554607923,25,0
1554608523,45,0
1554609722,21,80
1554610323,41,27
1554610925,34,0
1554611522,32,35
1554612122,27,0
1554613323,39,77
1554613923,37,0
