DateTime,AddedIPs,RemovedIPs
1554479522,80,80
1554480124,80,80
1554481323,80,80
1554481923,80,80
1554482522,80,80
1554483123,80,80
1554483723,80,80
1554484323,80,80
1554484923,80,80
1554485523,80,80
1554486123,79,79
1554487322,80,80
1554487923,80,80
1554488523,80,80
1554489723,80,80
1554490323,80,80
1554490923,80,80
1554492123,80,80
1554493323,80,80
1554494523,80,80
1554495723,80,80
1554496923,80,80
1554498122,80,80
1554499322,80,80
1554500523,79,79
1554501124,80,80
1554501723,80,80
1554502923,80,80
1554504722,77,77
1554505323,80,80
1554505923,79,79
1554506522,80,80
1554507123,80,80
1554507722,80,80
1554508925,77,77
1554509524,80,80
1554510123,79,79
1554511323,80,80
1554512522,80,80
1554513123,80,80
1554513723,80,80
1554514923,80,80
1554515523,80,80
1554516123,80,80
1554516722,80,80
1554517326,80,80
1554517924,80,80
1554518523,80,80
1554519122,80,80
1554519723,80,80
1554520323,80,80
1554520922,80,80
1554522124,80,80
1554522723,80,80
1554523323,80,80
1554523923,80,80
1554524522,80,80
1554525722,80,80
1554526923,80,80
1554527523,80,80
1554528123,79,79
1554528725,79,79
1554529322,80,80
1554529922,80,80
1554530523,80,80
1554531123,76,76
1554531722,80,80
1554532323,80,80
1554532922,80,80
1554534123,80,80
1554534723,80,80
1554535322,80,80
1554536523,80,80
1554537123,80,80
1554537723,80,80
1554538323,80,80
1554538923,80,80
1554539522,80,80
1554540123,80,80
1554541324,80,80
1554541922,80,80
1554542522,80,80
1554543723,78,78
1554544922,80,80
1554546122,80,80
1554547323,80,80
1554548522,80,80
1554549122,80,80
1554549723,80,80
1554550323,80,80
1554550923,79,79
1554551523,80,80
1554552123,80,80
1554553323,79,79
1554554523,80,80
1554555122,80,80
1554555723,80,80
1554556323,80,80
1554556923,78,78
1554557523,80,80
1554558123,80,80
1554558723,80,80
1554559323,80,80
1554559923,80,80
1554560523,80,80
1554561723,80,80
1554562923,80,80
1554563524,80,80
1554564123,80,80
1554564723,79,79
1554565324,80,80
1554565922,80,80
1554566523,79,79
1554567723,80,80
1554568922,80,80
1554570123,80,80
1554570722,80,80
1554571322,80,80
1554571923,80,80
1554572523,80,80
1554573723,80,80
1554574323,80,80
1554574922,80,80
1554575522,80,80
1554576123,75,75
1554577322,76,76
1554578522,80,80
1554579722,80,80
1554580323,80,80
1554580923,80,80
1554581522,79,79
1554582123,80,80
1554582722,80,80
1554583323,80,80
1554583923,80,80
1554584523,80,80
1554585722,80,80
1554586322,80,80
1554586922,80,80
1554588123,80,80
1554589323,80,80
1554589922,79,79
1554590523,80,80
1554591723,80,80
1554592922,80,80
1554593522,80,80
1554594123,80,80
1554595324,80,80
1554595922,80,80
1554596524,80,80
1554597723,80,80
1554598922,80,80
1554599523,79,79
1554600123,80,80
1554601323,80,80
1554602523,80,80
1554603723,80,80
1554604323,80,80
1554604922,80,80
1554606122,80,80
1554607323,80,80
1554607923,80,80
1554608523,80,80
1554609722,80,80
1554610323,80,80
1554610925,80,80
1554611522,80,80
1554612122,80,80
1554613323,80,80
1554613923,80,80
1554614522,80,80
1554615723,80,80
1554616323,80,80
1554616922,80,80
1554618123,80,80
1554619322,80,80
1554619923,80,80
1554620523,80,80
1554621722,80,80
1554622923,80,80
1554624123,80,80
1554624723,80,80
1554625323,80,80
1554625922,80,80
1554626523,80,80
1554627123,80,80
1554627722,79,79
1554628322,80,80
1554628922,80,80
1554630123,80,80
1554630723,80,80
1554631322,80,80
1554632523,79,79
1554633722,80,80
1554634323,80,80
1554634923,80,80
1554636123,80,80
1554636722,78,78
1554637322,80,80
1554638522,80,80
1554639722,80,80
1554640923,80,80
1554641523,80,80
1554642123,80,80
1554643323,80,80
1554644523,80,80
1554645122,80,80
1554645723,80,80
1554646323,78,78
1554646923,80,80
1554648123,80,80
1554648723,80,80
1554649323,80,80
1554649922,80,80
1554650523,80,80
1554651123,80,80
1554651723,80,80
1554652923,80,80
1554653523,80,80
1554654122,80,80
1554654723,80,80
1554655322,80,80
1554655922,80,80
1554656523,80,80
1554657122,80,80
1554657724,80,80
