DateTime,AddedIPs,RemovedIPs
1554424924,0,72
1554425523,2,0
1554426123,0,26
1554426722,4,0
1554427323,1,21
1554427923,1,0
1554428523,2,0
1554429723,12,84
1554430926,28,0
1554432123,46,51
1554433322,15,36
1554433923,3,49
1554434523,6,13
1554435123,14,26
1554435723,1,0
1554436923,20,35
1554437522,2,1
1554438122,3,3
1554439324,25,118
1554440522,1,0
1554441722,3,45
1554442923,1,0
1554444122,5,36
1554445323,8,4
1554445923,5,0
1554446523,0,11
1554447722,53,69
1554448324,20,0
1554448923,12,27
1554450123,6,0
1554451323,2,37
1554451922,9,16
1554452523,1,0
1554453722,1,20
1554454322,0,16
1554454923,1,34
1554455523,8,0
1554456123,7,0
1554457322,4,25
1554458523,42,58
1554459722,5,0
1554460922,3,27
1554462123,0,14
1554462723,0,16
1554464523,0,19
1554466923,0,1
1554468123,16,36
1554469323,74,0
1554470522,0,34
1554471722,14,32
1554472924,9,0
1554474122,2,19
1554476524,2,48
1554477723,3,39
1554478323,40,0
1554478923,4,0
1554479522,0,61
1554480123,4,19
1554481323,8,37
1554482522,7,0
1554483123,4,16
1554483723,9,37
1554484923,2,9
1554485522,3,0
1554486123,4,10
1554487322,32,20
1554487922,7,52
1554488522,9,51
1554489723,10,34
1554490923,17,0
1554492123,9,22
1554493323,4,54
1554494523,7,40
1554495723,16,23
1554496922,1,23
1554499322,19,18
1554500523,22,19
1554501123,8,6
1554501723,3,20
1554502322,3,0
1554502922,6,0
1554504722,6,20
1554505322,11,50
1554506522,69,0
1554507122,2,11
1554507722,0,3
1554508924,2,12
1554510123,14,1
1554511323,8,0
1554512522,2,6
1554513723,0,12
1554514923,15,23
1554516123,51,40
1554516722,2,0
1554517325,1,45
1554518523,9,0
1554519723,8,27
1554520922,12,15
1554521522,2,26
1554522124,6,5
1554522723,6,22
1554523323,4,0
1554524522,10,42
1554525722,32,4
1554526323,10,0
1554526923,3,0
1554527523,4,4
1554528123,2,0
1554529322,4,10
1554531722,0,17
1554532323,3,0
1554532922,6,0
1554534123,41,57
1554535322,22,41
1554536523,11,9
1554537722,0,8
1554538923,3,5
1554539522,2,0
1554541323,7,1
1554542522,6,30
1554543722,63,33
1554544922,11,0
1554546122,5,12
1554547323,0,1
1554548522,1,0
1554549722,0,1
1554550923,1,0
1554551523,0,1
1554552123,3,1
1554553323,2,1
1554554523,9,79
1554555122,2,0
1554555723,63,0
1554556923,4,16
1554559323,1,14
1554561722,4,1
1554562923,4,0
1554563523,4,6
1554565324,33,48
1554566523,13,16
1554567723,6,8
1554568322,1,0
1554568922,4,0
1554570123,11,10
1554571322,5,2
1554571923,2,6
1554572523,0,37
