DateTime,AddedIPs,RemovedIPs
1553090402,224,0
1553094003,209,0
1553097602,173,0
1553101202,142,0
1553104803,146,0
1553108402,136,0
1553112003,156,0
1553115602,183,0
1553119202,123,0
1553122802,133,0
1553126403,124,4152
1553130002,180,0
1553133602,151,0
1553137202,144,0
1553140802,111,0
1553144403,144,0
1553148003,154,0
1553151602,156,0
1553155202,115,0
1553158802,214,0
1553162403,215,0
1553166003,275,0
1553169602,165,0
1553173203,233,0
1553176802,187,0
1553180402,167,0
1553184002,173,0
1553187602,156,0
1553191202,194,0
1553194802,160,0
1553198402,150,0
1553202002,156,0
1553205602,138,0
1553209202,150,0
1553212803,171,4483
1553216402,161,0
1553220002,161,0
1553223602,145,0
1553227202,129,0
1553230803,172,0
1553234402,166,0
1553238002,190,0
1553241603,180,0
1553245202,182,0
1553248802,181,0
1553252402,240,0
1553256002,269,0
1553259603,187,0
1553263202,218,0
1553266802,262,1
1553270403,201,0
1553274002,176,0
1553277602,159,0
1553281203,170,0
1553284802,188,0
1553288402,192,0
1553292002,188,0
1553295602,164,0
1553299202,186,4223
1553302802,190,0
1553306402,200,0
1553310002,208,0
1553313602,183,0
1553317202,256,0
1553320802,203,0
1553324402,183,0
1553328002,218,0
1553331602,171,0
1553335202,224,0
1553338802,195,0
1553342402,217,0
1553346003,158,0
1553349602,178,0
1553353203,167,0
1553356802,174,0
1553360402,151,0
1553364003,154,0
1553367602,129,0
1553371202,178,0
1553374803,183,0
1553378403,147,0
1553382002,111,0
1553385603,118,4407
1553389202,119,0
1553392802,182,0
1553396402,163,0
1553400003,282,0
1553403602,198,0
1553407203,162,0
1553410802,163,0
1553414402,171,0
1553418002,204,0
1553421602,221,0
1553425202,172,0
1553428802,167,0
1553432403,373,0
1553436002,177,0
1553439602,156,0
1553443202,294,0
1553446802,142,0
1553450402,141,0
1553454002,138,0
1553457602,136,0
1553461202,159,0
1553464802,123,0
1553468402,149,0
1553472003,124,4218
1553475602,166,0
1553479202,166,0
1553482802,192,0
1553486403,178,0
1553490002,180,0
1553493602,252,0
1553497203,242,0
1553500802,220,0
1553504402,194,0
1553508003,192,0
1553511602,185,0
1553515203,192,0
1553518802,215,0
1553522403,213,0
1553526002,194,0
1553529602,179,0
1553533202,174,0
1553536803,245,0
1553540402,164,0
1553544002,196,0
1553547602,251,0
1553551203,226,0
1553554802,188,0
1553558403,228,4442
1553562002,221,0
1553565602,177,0
1553569203,131,0
1553572802,148,0
1553576402,143,0
1553580003,230,0
1553583602,242,0
1553587203,393,0
1553590803,202,0
1553594402,238,0
1553598002,250,0
1553601602,222,0
1553605202,214,0
1553608802,246,0
1553612402,188,0
1553616002,160,0
1553619602,186,0
1553624102,218,0
1553627702,191,0
1553631302,200,0
1553634902,191,0
1553638502,170,0
1553642102,146,0
1553645702,152,4827
1553649302,168,0
1553652902,203,0
1553656502,176,0
1553660102,169,0
1553663702,144,0
1553667302,184,0
1553670902,202,0
1553674502,211,0
1553678102,216,0
1553681702,170,0
1553685302,243,0
1553688902,210,0
1553692502,172,0
1553697002,211,0
1553700602,182,0
1553704202,166,0
1553707802,214,0
1553711402,210,0
1553715002,197,0
1553718602,163,0
1553722202,182,0
1553726702,194,0
1553730302,171,0
1553733902,154,4935
1553737502,219,0
1553741102,215,0
1553744702,231,0
1553748302,223,0
1553751901,214,0
1553755502,282,0
1553759102,312,0
1553762702,318,0
1553766302,361,0
1553769902,291,0
1553773502,298,0
1553777102,305,0
1553780702,270,0
1553784302,299,0
1553787902,245,0
1553791502,202,0
1553795102,160,0
1553798702,135,0
1553802302,161,0
1553805901,190,0
1553809502,162,0
1553813102,162,0
1553816702,164,0
1553820302,178,4283
1553823902,189,0
1553827502,198,0
1553831102,170,0
1553834702,162,0
1553838302,192,0
1553841902,240,0
1553845502,197,0
1553849102,258,0
1553852702,185,0
1553856302,254,0
1553859902,278,0
1553863502,255,0
1553867102,228,0
1553870702,234,0
1553874302,198,0
1553877902,189,0
1553881502,192,0
1553885101,213,0
1553888702,178,0
1553892302,182,0
1553895902,230,0
1553899502,154,0
1553903102,187,0
1553906702,167,5086
1553910302,169,0
1553913902,181,0
1553917502,194,0
1553921102,232,0
1553924702,248,0
1553928302,245,0
1553931902,185,0
1553935502,207,0
1553939102,176,0
1553942702,241,0
1553946302,181,0
1553949902,200,0
1553953502,143,0
1553957102,148,0
1553960702,140,0
1553964302,146,0
1553967902,120,0
1553971502,130,0
1553975102,114,0
1553978702,126,0
1553982302,117,0
1553985902,142,0
1553989502,132,0
1553993102,109,5268
1553996702,137,0
1554000302,184,0
1554003902,115,0
1554007502,131,0
1554011102,128,0
1554014702,129,0
1554018302,150,0
1554021902,163,0
1554025502,157,0
1554029101,145,0
1554032702,159,0
1554036302,110,0
1554039902,126,0
1554043502,141,0
1554047102,140,0
1554050702,126,0
1554054302,142,0
1554057902,98,0
1554062402,136,0
1554066002,119,0
1554069602,127,0
1554074102,139,0
1554077702,133,4240
1554081302,145,0
1554084902,143,0
1554088502,170,0
1554092102,131,0
1554095702,166,0
1554099302,237,0
1554102902,308,0
1554106502,226,0
1554110102,235,0
1554113702,357,0
1554117302,343,0
1554120902,264,0
1554124502,228,0
1554128102,313,0
1554131702,292,0
1554135302,276,0
1554138901,156,0
1554142502,163,0
1554146102,202,0
1554149702,147,0
1554153302,181,0
1554156902,119,0
1554160502,127,0
1554164102,116,3231
1554167702,155,0
1554171302,163,0
1554174902,143,0
1554178502,165,0
1554182102,155,0
1554185702,179,0
1554189301,195,0
1554192901,224,0
1554196502,181,0
1554200102,228,0
1554203702,225,0
1554207302,175,0
1554210902,207,0
1554214502,176,0
1554218102,162,0
1554221702,161,0
1554225302,143,0
1554228902,127,0
1554232502,153,0
1554236102,126,0
1554239702,206,0
1554243302,134,0
1554246902,126,0
1554250502,97,5011
1554254102,160,0
1554257702,196,0
1554261302,134,0
1554264902,160,0
1554268503,169,0
1554272102,199,0
1554275703,161,0
1554279302,196,0
1554282903,184,0
1554286502,224,0
1554290102,210,0
1554293702,178,0
1554297302,179,0
1554300902,151,0
1554304502,148,0
1554308102,142,0
1554311702,156,0
1554315302,170,0
1554318902,379,0
1554322502,184,0
1554326102,132,0
1554329702,123,0
1554333302,139,0
1554336902,175,4132
1554340502,231,0
1554344102,198,0
1554347702,207,0
1554351302,181,0
1554354902,198,0
1554358502,189,0
1554362102,217,0
1554365702,226,0
1554369302,211,0
1554372902,184,0
1554376502,185,0
1554380102,185,0
1554383702,207,0
1554387301,194,0
1554390902,193,0
1554394502,198,0
1554398102,169,0
1554401701,208,0
1554405302,177,0
1554408902,183,0
1554412501,185,0
1554416102,185,0
1554419701,173,0
1554423302,167,4098
1554426901,226,0
1554430502,193,0
1554434102,191,0
1554437702,210,0
1554441302,210,0
1554444902,234,0
1554448501,215,0
1554452102,277,0
1554455702,359,0
1554459301,208,0
1554462902,185,0
1554466502,186,0
1554470102,165,0
1554473702,202,0
1554477302,156,0
1554480902,172,0
1554484502,121,0
1554488102,136,0
1554491702,122,0
1554495302,105,0
1554498902,129,0
1554502502,128,0
1554506102,127,0
1554509702,133,4042
1554513302,140,0
1554516901,164,0
1554520501,143,0
1554524102,162,0
1554527702,131,0
1554531302,162,0
1554534902,175,0
1554538502,165,0
1554542102,170,0
