DateTime,AddedIPs,RemovedIPs
1552450836,3,5
1552458065,4,3
1552465239,3,1
1552472437,2,2
1552473514,0,6
1552476948,16,0
1552479635,2,1
1552486845,9,3
1552490440,1,0
1552494038,4,3
1552501236,5,3
1552508438,1,1
1552516528,5,2
1552522835,3,4
1552530042,4,1
1552533630,0,1
1552537237,3,4
1552544433,2,4
1552551645,4,6
1552558840,4,3
1552559738,8,1
1552566027,4,2
1552573233,6,1
1552579540,0,9
1552584074,0,1
1552585859,0,1
1552587631,4,5
1552594829,4,0
1552598430,0,11
1552602033,2,3
1552609235,5,3
1552616438,2,3
1552623623,3,1
1552630834,3,6
1552631735,0,1
1552638025,3,2
1552645225,4,1
1552649735,9,1
1552652434,1,7
1552659626,3,3
1552666835,1,4
1552674035,5,3
1552681226,7,6
1552689333,1,8
1552696534,3,2
1552705529,1,2
1552706433,0,1
1552710032,4,2
1552717225,3,4
1552725324,2,1
1552732524,1,6
1552737023,0,4
1552739723,12,3
1552746035,1,1
1552746931,0,1
1552750535,1,0
1552751426,0,1
1552752332,0,1
1552753235,2,3
1552761329,4,2
1552764930,0,1
1552767629,3,2
1552768527,0,1
1552774832,2,1
1552782032,1,2
1552789228,0,3
1552796431,2,2
1552798227,1,0
1552803625,4,4
1552810816,6,3
1552818034,2,1
1552823429,5,0
1552825228,1,1
1552826133,0,1
1552832418,3,2
1552836031,0,1
1552839626,2,1
1552846845,1,2
1552849537,0,1
1552850432,1,0
1552851334,0,1
1552854025,1,3
1552861242,19,22
1552868427,1,1
1552870229,1,0
1552875636,0,3
1552882825,3,3
1552886434,0,1
1552890926,3,4
1552893630,1,0
1552897244,5,1
1552904432,2,4
1552905335,11,0
1552908031,0,1
1552908930,0,145
1552911624,4,2
1552918828,21,2
1552926031,1,4
1552933221,3,3
1552939528,0,2
1552940424,4,5
1552947626,4,1
1552954830,4,0
1552956628,1,0
1552963836,3,4
1552969229,3,4
1552977326,4,5
1552983634,9,2
1552988126,0,1
1552989929,1,0
1552990833,2,6
1552995335,8,1
1552998021,2,4
1553006125,3,9
1553012429,2,4
1553019625,8,2
1553026823,4,3
1553028625,1,0
1553034027,5,1
1553034927,0,1
1553041229,0,1
1553046622,1,0
1553048417,3,6
1553055623,4,3
1553059223,0,1
1553062821,3,6
1553070020,5,1
1553073634,1,0
1553077235,1,2
1553078134,6,0
1553080835,1,0
1553081736,0,14
1553084427,6,1
1553091633,3,0
1553098828,4,2
1553106032,6,6
1553113234,4,0
1553120432,2,3
1553127632,1,1
1553134826,2,2
1553136625,0,1
1553142026,6,5
1553149231,2,6
1553156427,4,2
1553163624,5,1
1553164691,0,6
1553165557,0,1
1553168130,3,1
1553170823,3,2
1553178030,1,4
1553185223,5,7
1553187034,0,1
1553191525,2,0
1553193328,3,4
1553199626,4,3
1553206824,1,3
1553214040,3,2
1553215825,1,0
1553221225,1,6
1553228425,3,2
1553235622,2,5
1553242825,5,1
1553250036,3,2
1553250920,6,0
1553254517,0,5
1553255425,0,1
1553257218,2,1
1553264427,2,3
1553271621,2,3
1553278816,5,4
1553286011,2,3
1553293217,1,1
1553300420,2,4
1553307613,0,4
1553314817,3,6
1553322018,5,7
1553329212,2,4
1553332813,0,1
1553336415,4,1
1553340928,4,0
1553343621,1,3
1553350823,4,7
1553355321,0,1
1553358021,1,10
1553365220,6,6
1553369731,1,0
1553371529,1,0
1553372431,2,5
1553380524,3,2
1553381425,0,1
1553386825,2,1
1553394019,1,4
1553401232,2,5
1553404823,0,1
1553408420,3,9
1553414733,0,1
1553415624,1,1
1553422818,1,3
1553423727,5,0
1553426422,0,1
1553428228,0,8
1553430030,1,12
1553435425,0,1
1553437222,3,7
1553444422,2,5
1553447121,1,0
1553451620,5,0
1553458820,4,0
1553466017,0,2
1553473221,2,0
1553480415,0,3
1553482223,1,0
1553484017,2,1
1553487623,2,5
1553490318,0,2
1553494822,5,3
1553499316,1,0
1553502020,2,5
1553504718,0,1
1553509222,4,2
1553510270,0,11
1553512025,1,0
1553513719,4,1
1553516420,1,3
1553520014,0,1
1553523620,2,4
1553530819,1,4
1553538015,2,2
1553545219,4,3
1553548815,0,1
1553552415,1,3
1553559614,1,1
1553561417,1,1
1553566815,3,2
1553574019,6,2
1553581220,1,4
1553584820,1,0
1553588414,3,6
1553592016,0,1
1553595614,11,2
1553596519,7,2
1553600114,0,7
1553602819,0,3
1553610013,3,2
1553615414,1,0
1553617217,6,2
1553624413,2,5
1553631617,4,2
1553633424,0,1
1553638822,4,1
1553646021,1,0
1553649617,0,1
1553653222,1,1
1553655029,1,1
1553660417,6,4
1553667623,5,3
1553674822,2,2
1553682019,5,4
1553683077,0,7
1553686524,8,1
1553690123,2,1
1553697319,0,3
1553703619,2,2
1553709033,0,1
1553711737,3,3
1553718025,3,2
1553726130,2,2
1553732428,1,3
1553733329,0,1
1553739631,0,6
1553743232,0,1
1553746833,5,3
1553754929,5,4
1553762120,5,3
1553768416,2,3
1553769320,4,1
1553772920,0,5
1553775623,0,4
1553782818,4,5
1553790926,3,3
1553797222,8,0
1553804421,5,6
1553806221,1,0
1553812512,1,3
1553818814,1,3
1553826025,4,4
1553833214,5,3
1553840420,4,2
1553842211,0,1
1553847612,1,2
1553851227,1,0
1553854822,3,2
1553855886,0,5
1553859319,9,0
1553862023,8,2
1553869217,4,2
1553870119,0,1
1553876426,3,3
1553884516,1,2
1553890818,3,3
1553894417,0,1
1553898029,6,2
1553899821,1,0
1553902523,0,1
1553905223,1,1
1553912422,2,4
1553918723,0,1
1553919627,6,2
1553923217,0,1
1553926823,3,4
1553934018,5,1
1553939421,0,1
1553941236,0,1
1553943111,0,2
1553943929,3,0
1553945729,0,6
1553948423,2,2
1553955622,4,4
1553962914,4,3
1553964626,2,0
1553970023,1,3
1553977223,3,2
1553983528,0,1
1553984426,3,2
1553991621,4,3
1553998821,0,7
1554006026,6,3
1554009625,0,1
1554013228,3,4
1554020427,3,1
1554026722,1,0
1554027626,1,5
1554028677,0,8
1554032128,4,0
1554033915,0,2
1554034828,0,1
1554038424,0,1
1554042029,6,1
1554049234,0,2
1554056431,6,3
1554063625,2,2
1554070823,3,0
1554078025,2,2
1554085230,5,5
1554092429,7,5
1554099621,3,7
1554106831,4,1
1554114029,6,3
1554114930,9,0
1554118527,0,7
1554121230,3,4
1554127527,1,0
1554128421,5,3
1554132023,0,1
1554133820,0,2
1554135627,0,5
1554142827,5,2
1554150021,4,1
1554158124,2,1
1554164426,1,2
1554166229,0,1
1554171620,2,7
1554174325,0,1
1554178832,3,5
1554186026,4,2
1554189626,0,1
1554193224,7,3
1554200423,1,8
1554201423,0,6
1554204134,0,1
1554204926,9,0
1554207623,8,4
1554214827,7,3
1554222028,2,1
1554229221,0,2
1554237332,4,3
1554243622,4,0
1554250821,5,2
1554252618,1,0
1554258024,1,5
1554265223,5,2
1554272425,5,5
1554279627,2,3
1554286829,5,1
1554287728,7,1
1554290421,0,1
1554291315,0,5
1554294021,1,3
1554301219,4,1
1554308422,1,5
1554315622,4,2
1554322822,3,3
1554330019,4,4
1554337221,3,1
1554344435,2,5
1554351626,8,3
1554358822,1,7
1554366022,4,1
1554373236,5,1
1554374261,0,7
1554377722,7,1
1554380426,0,6
1554387630,4,2
1554395737,4,2
1554402031,1,2
1554409225,3,7
1554416423,3,3
1554420931,1,0
1554421826,1,1
1554423623,0,3
1554430836,1,7
1554436230,1,0
1554438019,3,3
1554445223,2,5
1554448826,0,1
1554452423,7,5
1554459631,3,6
1554464120,0,7
1554466823,1,3
1554474021,6,5
1554481225,10,4
1554488428,13,4
1554495625,3,1
1554496520,1,0
1554502826,4,1
1554504623,0,1
1554510021,7,2
1554513620,1,0
1554516320,0,1
1554517222,2,7
1554519929,0,1
1554524427,5,3
1554531632,3,4
1554538821,6,4
1554546024,4,0
1554548833,0,3
1554550516,10,1
1554553226,3,5
1554560423,15,1
1554567622,4,2
1554569431,0,2
1554574824,5,4
1554582024,6,3
1554590119,11,0
1554596426,4,2
1554600032,1,0
1554603630,7,4
1554610822,4,6
1554618036,4,3
1554625217,4,2
1554632440,5,1
1554633338,12,1
1554636924,0,3
1554639631,2,4
1554643223,0,1
1554646819,4,1
1554654022,2,3
1554661221,2,6
1554668420,8,4
1554675635,1,3
1554682825,29,2
1554686437,0,1
1554690927,2,4
1554698131,6,4
1554704427,5,3
1554711616,3,3
1554718834,4,3
1554719874,0,6
1554723335,7,2
