DateTime,AddedIPs,RemovedIPs
1552867343,1,1
1552878204,1,1
1552881804,2,3
1552885404,2,0
1552889004,0,3
1552892606,4,2
1552896144,1,2
1552899806,1,2
1552903344,1,0
1552907004,2,6
1552910544,1,0
1552914204,20,0
1552917745,3,2
1552921344,1,2
1552924945,1,0
1552928604,2,1
1552932204,1,1
1552935806,1,1
1552939412,3,2
1552942946,4,0
1552946605,1,0
1552950145,0,1
1552953805,2,0
1552957405,1,1
1552960945,1,1
1552964613,1,3
1552968146,1,0
1552971746,3,3
1552975405,1,0
1552979005,4,5
1552982545,3,0
1552986209,1,0
1552989805,1,2
1552997006,1,1
1553004146,1,1
1553007806,2,0
1553011405,0,2
1553015006,5,0
1553018606,2,1
1553022146,1,0
1553025754,4,4
1553029406,1,0
1553032946,1,0
1553040207,0,2
1553043754,1,0
1553047406,2,2
1553051006,2,0
1553054614,1,5
1553058206,2,0
1553061806,1,3
1553065406,3,2
1553069006,1,0
1553072546,1,1
1553079810,5,0
1553083356,1,1
1553086946,1,0
1553090606,2,2
1553094147,1,4
1553097807,3,0
1553101416,5,1
1553104953,1,2
1553108546,3,1
1553112146,0,3
1553115807,0,2
1553119358,2,2
1553122946,1,0
1553126547,0,2
1553130207,2,0
1553133807,0,1
1553137407,3,2
1553140947,2,5
1553144550,1,0
1553148207,0,1
1553151747,1,5
1553155407,3,1
1553159010,2,0
1553162607,1,0
1553166208,2,3
1553169747,2,0
1553173347,0,2
1553180607,4,0
1553184148,1,4
1553187807,2,3
1553191408,0,3
1553194947,3,1
1553198608,1,0
1553202155,1,3
1553209408,0,1
1553212948,2,2
1553220208,1,2
1553223808,2,3
1553227408,1,1
1553231008,1,2
1553234608,1,3
1553238148,2,7
1553241808,3,0
1553245348,0,2
1553249009,2,1
1553252548,2,0
1553256212,0,1
1553259749,1,0
1553263408,1,7
1553266956,1,0
1553274149,1,3
1553277808,4,9
1553281349,0,6
1553285009,2,0
1553288609,1,5
1553295748,0,1
1553299409,1,0
1553302948,0,1
1553310149,1,4
1553313809,2,0
1553317408,2,6
1553321009,2,0
1553324557,2,4
1553328149,0,4
1553331751,2,0
1553335356,1,1
1553339016,1,5
1553346149,1,18
1553349809,3,0
1553353349,1,0
1553356949,0,12
1553360550,2,0
1553364150,3,2
1553367750,1,0
1553371416,1,1
1553375011,3,0
1553378551,1,0
1553382150,1,1
1553385749,1,0
1553392958,0,1
1553400151,2,3
1553403750,1,0
1553407351,2,3
1553411013,1,3
1553418211,1,4
1553421815,1,2
1553425415,1,0
1553432555,2,1
1553436158,0,5
1553439752,1,0
1553443350,1,0
1553446950,2,5
1553450610,2,0
1553454150,2,2
1553457750,2,5
1553465010,0,1
1553472211,2,2
1553475811,0,1
1553483011,0,2
1553486551,1,0
1553490152,4,2
1553493811,0,5
1553497411,2,0
1553500951,0,6
1553504612,2,0
1553508151,1,2
1553511752,3,0
1553515351,1,3
1553519013,2,1
1553526211,0,2
1553529811,1,0
1553533351,0,1
1553536952,1,1
1553540616,2,3
1553544156,2,0
1553547751,0,1
1553551419,1,0
1553555018,1,1
1553565812,3,0
1553569411,1,2
1553572951,3,4
1553576551,1,0
1553580153,0,1
1553583812,2,0
1553587413,1,1
1553590953,13,2
1553594553,1,0
1553598152,0,3
1553605357,1,1
1553612616,2,3
1553616153,4,0
1553623352,2,2
1553627013,1,0
1553630613,2,3
1553634153,3,0
1553637814,1,0
1553641355,0,1
1553644953,0,2
1553648554,1,3
1553655753,0,2
1553659354,5,7
1553663015,5,0
1553670154,1,3
1553673814,0,1
1553677354,1,0
1553680959,3,2
1553688214,1,0
1553691814,0,3
1553695361,1,3
1553699015,0,1
1553702614,1,1
1553706215,1,1
1553709756,2,0
1553713414,1,0
1553716955,3,0
1553720555,2,5
1553724216,1,1
1553731354,1,2
1553742155,1,4
1553745760,2,0
1553749356,3,1
1553753014,1,1
1553756617,1,0
1553760155,3,1
1553763816,0,1
1553771020,0,1
1553778155,2,0
1553781755,1,0
1553785358,1,1
1553788962,2,3
1553792616,2,4
1553796155,4,0
1553799815,1,0
1553803355,4,3
1553814156,0,1
1553821416,1,1
1553824956,1,0
1553828566,2,1
1553832220,2,2
1553835815,4,1
1553839361,0,1
1553843016,1,4
1553850220,1,0
1553853756,2,0
1553857356,2,0
1553860956,5,1
1553868156,4,1
1553871756,1,3
1553875356,2,0
1553879016,1,1
1553882556,0,1
1553886162,3,4
1553893416,3,1
1553897028,2,0
1553900624,2,0
1553904216,0,2
1553907756,1,0
1553911421,0,5
1553915016,1,0
1553918622,3,4
1553922157,1,0
1553925817,2,2
1553929417,3,0
1553932957,2,4
1553940159,0,1
1553943757,1,3
1553951021,2,3
1553954565,1,1
1553958228,2,0
1553961757,1,0
1553965417,1,1
1553969017,0,1
1553972564,3,1
1553976165,0,1
1553979763,2,1
1553983362,2,0
1553987017,2,0
1553990627,1,0
1553994163,0,1
1553997766,0,1
1554001425,4,1
