DateTime,AddedIPs,RemovedIPs
1552993352,1,0
1552997006,1,2
1553004146,3,2
1553007806,2,0
1553011405,0,4
1553015006,5,2
1553018606,2,2
1553022146,1,1
1553025754,5,3
1553029406,1,3
1553032946,1,1
1553036607,0,2
1553040207,0,2
1553043754,1,0
1553047406,2,2
1553051006,2,2
1553054614,1,4
1553058206,2,2
1553061806,1,21
1553065406,3,6
1553069006,3,0
1553072546,1,1
1553079810,5,3
1553083356,1,0
1553086946,1,0
1553090606,2,3
1553094147,2,0
1553097807,5,4
1553101416,5,3
1553104953,2,0
1553108546,23,4
1553112146,0,2
1553115807,2,4
1553119358,3,1
1553122946,1,0
1553126547,1,2
1553130207,2,2
1553133807,0,3
1553137407,3,4
1553140947,3,1
1553144550,1,2
1553148207,1,5
1553151747,1,1
1553155407,3,6
1553159010,4,2
1553162607,1,1
1553166208,2,0
1553169747,2,1
1553173347,1,2
1553176947,1,0
1553180607,5,7
1553184148,1,0
1553187807,2,3
1553191408,0,10
1553194947,3,2
1553198608,1,4
1553202155,1,1
1553205808,0,4
1553209408,0,1
1553212948,2,1
1553216615,1,1
1553220208,1,0
1553223808,2,3
1553227408,1,2
1553231008,2,4
1553234608,1,5
1553238148,2,4
1553241808,5,4
1553245348,1,0
1553249009,2,2
1553252548,2,1
1553256212,1,4
1553259749,2,2
1553263408,2,16
1553266956,1,0
1553270608,0,12
1553274149,1,1
1553277808,4,2
1553281349,0,1
1553285009,2,2
1553288609,1,0
1553299409,2,1
1553306549,0,1
1553310149,1,1
1553313809,2,2
1553317408,2,1
1553321009,2,3
1553324557,3,3
1553328149,1,0
1553331751,2,3
1553335356,1,1
1553339016,1,3
1553342609,0,1
1553346149,1,1
1553349809,4,2
1553353349,2,3
1553360550,2,1
1553364150,4,4
1553367750,1,4
1553371416,2,3
1553375011,3,3
1553378551,1,0
1553382150,1,1
1553385749,2,1
1553389354,0,2
1553392958,1,1
1553400151,2,2
1553403750,1,2
1553407351,2,1
1553411013,1,4
1553414615,0,1
1553418211,1,7
1553421815,1,2
1553425415,2,0
1553429011,0,2
1553432555,2,1
1553436158,0,2
1553439752,2,2
1553443350,1,0
1553446950,2,1
1553450610,3,2
1553454150,2,3
1553457750,3,1
1553461410,1,0
1553465010,0,2
1553468618,0,1
1553472211,2,1
1553486551,1,3
1553490152,4,6
1553497411,2,2
1553500951,1,1
1553504612,2,3
1553508151,1,0
1553511752,3,2
1553515351,3,1
1553519013,2,0
1553522611,1,1
1553526211,1,2
1553529811,1,1
1553533351,2,0
1553536952,1,3
1553540616,2,1
1553544156,2,2
1553547751,0,1
1553551419,1,1
1553555018,2,2
1553558613,0,2
1553562152,1,0
1553565812,3,3
1553569411,1,3
1553572951,3,5
1553576551,1,2
1553583812,2,4
1553587413,2,0
1553590953,13,1
1553594553,1,1
1553598152,0,2
1553601812,1,2
1553605357,3,1
1553609017,0,4
1553612616,2,3
1553616153,4,1
1553619753,1,1
1553623352,2,1
1553627013,1,0
1553630613,3,0
1553634153,4,5
1553637814,1,1
1553641355,0,1
1553644953,0,1
1553648554,1,2
1553652161,1,0
1553659354,5,4
1553663015,5,1
1553670154,1,1
1553673814,1,2
1553677354,3,0
1553680959,3,1
1553684554,1,1
1553688214,1,0
1553691814,0,1
1553695361,1,0
1553699015,0,2
1553702614,1,3
1553706215,1,2
1553709756,2,2
1553713414,1,0
1553716955,4,1
1553720555,2,2
1553724216,1,0
1553731354,1,1
1553734954,1,0
1553738616,0,2
1553742155,1,1
1553745760,2,3
1553749356,4,1
1553753014,2,2
1553756617,1,2
1553760155,3,3
1553763816,1,0
1553771020,0,1
1553774555,1,0
1553778155,2,1
1553781755,2,1
1553785358,1,2
1553788962,2,1
1553792616,2,1
1553796155,4,1
1553799815,1,2
1553803355,4,3
1553806956,0,1
1553814156,0,1
1553817756,0,1
1553821416,1,1
1553824956,2,1
1553828566,2,4
1553832220,2,2
1553835815,4,2
1553839361,0,1
1553843016,1,1
1553846558,1,2
1553850220,1,2
1553853756,2,0
1553857356,2,1
1553860956,5,4
1553864556,0,2
1553868156,4,2
1553871756,2,1
1553875356,2,0
1553879016,1,1
1553882556,0,1
1553886162,3,1
1553889756,0,2
1553893416,4,1
1553897028,3,0
1553900624,2,0
1553904216,0,1
1553907756,1,1
1553911421,1,1
1553915016,1,1
1553918622,3,2
1553922157,1,1
1553925817,2,3
1553929417,3,6
1553932957,2,2
1553936621,0,1
1553940159,0,1
1553943757,1,0
1553947357,0,3
1553951021,2,2
1553954565,1,0
1553958228,2,3
1553961757,1,0
1553965417,2,1
1553969017,0,4
1553972564,3,1
1553976165,1,1
1553979763,2,1
1553983362,2,2
1553987017,2,1
1553990627,2,0
1553994163,0,1
1553997766,0,1
1554001425,4,5
1554005024,2,4
1554008628,1,1
1554012226,1,2
1554013178,3,1
1554019419,2,3
1554023019,1,1
1554026619,1,2
1554030219,2,1
1554033758,0,9
1554037358,1,1
1554040959,5,2
1554044618,0,1
1554048158,0,1
1554051759,3,1
1554055364,2,0
1554059019,1,1
1554062571,1,2
1554066159,1,1
1554069826,0,1
1554073359,1,0
1554076985,2,0
1554080619,0,1
1554084218,6,0
1554087759,3,2
1554091360,3,3
1554094959,2,1
1554098619,1,1
1554102160,2,5
1554105760,3,1
1554109369,1,2
1554113026,5,0
